YEAR,MONTH,DAY,HOUR,LAT,LONG,BAROMETER  (ENGL.MAASS.),,THERMOMETER (F),,,
,,,,,,MIN,MAX,MIN,MAX,,
1831,3,7,1200,-31.24.00,-72.19.00,29.95,30.00,58.00,64.00,,
1831,3,9,1200,-27.59.00,-71.58.45,29.85,29.95,60.00,65.00,,
1831,3,21,1200,-26.09.00,-71.02.30,29.96,30.05,64.00,68.00,,
1831,3,22,1200,-24.45.27,-71.24.30,30.05,30.09,63.00,74.00,,
1831,3,23,1200,-23.03.07,-71.24.30,30.04,30.07,66.00,70.00,,
1831,3,24,1200,-21.12.00,-71.24.30,29.95,30.02,70.00,72.50,,
1831,3,25,1200,-20.12.00,-70.12.30,,,,,,
1831,4,11,1200,-17.30.00,-71.57.00,30.01,30.05,68.00,74.00,,
1831,4,27,1200,-16.59.00,-72.38.45,30.00,30.04,70.00,74.00,,
1831,4,28,1200,-16.43.00,-73.59.00,29.96,30.04,70.00,76.00,,
1831,4,29,1200,-15.42.00,-76.05.45,29.96,30.04,68.00,74.00,,
1831,4,30,1200,-12.45.30,-77.03.30,29.94,30.00,67.00,71.00,,
1831,5,22,1200,-12.16.00,-79.13.00,30.02,30.05,63.00,65.50,,
1831,5,23,1200,-11.48.00,-82.14.00,29.94,30.05,68.00,72.00,,
1831,5,24,1200,-11.18.00,-84.37.15,29.97,30.06,70.00,74.00,,
1831,5,25,1200,-10.44.00,-87.18.00,29.99,30.07,72.00,76.00,,
1831,5,26,1200,-10.01.00,-90.37.30,30.00,30.08,73.00,77.00,,
1831,5,27,1200,-9.20.00,-93.53.00,29.99,30.05,74.00,76.50,,
1831,5,28,1200,-8.19.00,-96.08.00,29.95,30.08,74.00,77.00,,
1831,5,29,1200,-7.17.00,-98.34.37,29.98,30.06,73.50,83.00,,
1831,5,30,1200,-6.19.00,-101.00.00,29.98,30.04,76.00,90.00,,
1831,5,31,1200,-5.21.00,-103.24.00,29.94,29.99,77.00,82.00,,
1831,6,1,1200,-5.10.00,-105.45.45,29.91,30.00,77.00,82.00,,
1831,6,2,1200,-5.07.00,-108.17.45,29.93,30.05,77.00,83.00,,
1831,6,3,1200,-5.19.00,-111.20.15,29.94,30.05,78.00,84.00,,
1831,6,4,1200,-4.43.00,-113.59.15,30.04,30.06,77.00,87.00,,
1831,6,5,1200,-3.55.00,-116.06.15,29.99,30.07,78.00,93.00,,
1831,6,6,1200,-2.39.00,-118.26.52,29.99,30.08,78.00,86.00,,
1831,6,7,1200,-1.01.00,-120.40.00,29.95,30.02,77.00,97.00,,
1831,6,8,1200,0.54.30,-122.06.33,29.93,30.02,76.00,88.00,,
1831,6,9,1200,2.49.30,-124.18.27,29.86,30.02,78.00,88.00,,
1831,6,10,1200,4.43.30,-126.27.57,29.90,29.99,79.00,86.00,,
1831,6,11,1200,6.18.00,-127.39.00,29.89,29.99,78.00,86.00,,
1831,6,12,1200,8.00.00,-127.40.30,,,,,,
1831,6,13,1200,9.33.00,-130.21.07,29.95,30.00,79.00,85.00,,
1831,6,14,1200,11.01.00,-133.25.27,29.96,30.05,77.00,86.00,,
1831,6,15,1200,12.20.00,-136.43.52,29.99,30.06,77.00,83.00,,
1831,6,16,1200,13.45.00,-139.06.22,30.03,30.08,73.00,82.00,,
1831,6,17,1200,15.32.30,-141.29.45,30.02,30.07,73.00,78.00,,
1831,6,18,1200,17.07.00,-144.23.00,30.05,30.10,71.00,83.00,,
1831,6,19,1200,18.22.00,-146.54.30,30.08,30.15,72.00,83.00,,
1831,6,20,1200,19.17.00,-149.13.45,29.99,30.23,72.00,81.00,,
1831,6,21,1200,20.05.30,-151.30.26,30.15,30.18,73.00,80.00,,
1831,6,22,1200,20.52.00,-154.22.15,30.08,30.13,70.00,82.00,,
1831,6,23,1200,21.21.00,-157.03.30,30.05,30.09,74.00,76.00,,
1831,7,3,1200,19.51.00,-160.09.30,30.10,30.13,76.00,83.00,,
1831,7,4,1200,18.23.00,-162.55.15,,,,,,
1831,7,5,1200,17.43.00,-165.48.00,,,,,,
1831,7,6,1200,17.34.00,-168.38.52,,,,,,
1831,7,7,1200,17.03.00,-171.23.15,,,,,,
1831,7,8,1200,16.52.00,-173.53.00,,,79.00,81.50,,
1831,7,9,1200,15.51.00,-176.28.00,29.99,30.12,79.50,84.00,,
1831,7,10,1200,15.48.00,-179.23.42,29.97,30.06,80.00,87.00,,
1831,7,11,1200,15.51.00,177.16.57,30.03,30.08,79.00,82.00,,
1831,7,12,1200,15.50.46,174.17.48,,,,,,
1831,7,13,1200,16.02.00,171.45.11,,,,,,
1831,7,14,1200,15.28.45,168.58.15,,,,,,
1831,7,15,1200,15.34.00,166.30.45,,,,,,
1831,7,16,1200,15.39.00,164.22.15,,,,,,
1831,7,17,1200,15.34.00,161.52.45,,,,,,
1831,7,18,1200,15.17.00,159.40.24,,,,,,
1831,7,19,1200,15.14.30,156.57.15,,,,,,
1831,7,20,1200,14.54.30,154.04.54,,,82.50,84.00,,
