YEAR,MONTH,DAY,LAT,LONG,BAROMETER,,,,,,,,,,,
,,,,,MIN,MEAN,MAX,,,,,,,,,
1837,4,20,-30.24.01,-73.46.00,29.96,29.990,30.02,,,,,,,,,
1837,4,21,-27.49.35,-73.45.15,29.93,29.972,30.05,,,,,,,,,
1837,4,22,-25.34.18,-72.59.45,29.93,29.940,29.95,,,,,,,,,
1837,4,23,-24.52.55,-72.46.45,29.94,30.022,30.20,,,,,,,,,
1837,4,24,-24.09.29,-72.05.00,29.98,30.005,30.04,,,,,,,,,
1837,4,25,Cobija Bay,,29.90,29.966,29.99,,,,,,,,,
1837,5,2,-21.37.11,-70.41.00,29.91,29.960,30.00,,,,,,,,,
1837,5,3,-20.15.38,-71.47.45,30.04,30.052,30.07,,,,,,,,,
1837,5,4,-18.41.10,-71.34.45,30.04,30.045,30.05,,,,,,,,,
1837,5,5,Arica Bay,,,,,,,,,,,,,
1837,5,19,-18.13.20,-71.46.00,29.94,29.962,29.98,,,,,,,,,
1837,5,20,-18.01.44,-72.14.15,29.92,29.950,29.98,,,,,,,,,
1837,5,21,-17.38.13,-72.55.15,29.94,29.960,30.00,,,,,,,,,
1837,5,22,-16.56.16,-74.41.15,30.00,30.010,30.02,,,,,,,,,
1837,5,23,-15.36.40,-76.42.15,29.92,29.958,30.00,,,,,,,,,
1837,5,24,-13.18.24,-77.30.30,29.95,29.988,30.02,,,,,,,,,
1837,5,25,Callao,,30.01,30.022,30.03,,,,,,,,,
1837,6,29,-13.01.00,-78.26.00,29.90,29.921,29.95,,,,,,,,,
1837,6,30,-14.51.00,-79.58.00,29.90,29.936,29.97,,,,,,,,,
1837,7,1,-16.40.03,-81.13.45,29.93,29.937,29.95,,,,,,,,,
1837,7,2,-18.43.26,-83.10.45,29.90,29.937,29.97,,,,,,,,,
1837,7,3,-20.52.43,-83.03.45,29.95,29.963,30.00,,,,,,,,,
1837,7,4,-21.19.15,-81.39.30,29.90,29.935,29.95,,,,,,,,,
1837,7,5,-22.04.55,-80.31.30,29.95,29.993,30.04,,,,,,,,,
1837,7,6,-22.35.42,-78.32.15,30.00,30.004,30.02,,,,,,,,,
1837,7,7,-22.56.06,-76.45.30,30.00,30.030,30.06,,,,,,,,,
1837,7,8,-22.45.47,-76.01.30,30.03,30.053,30.08,,,,,,,,,
1837,7,9,-21.32.53,-73.59.00,30.04,30.083,30.10,,,,,,,,,
1837,7,10,-19.56.59,-71.21.30,29.93,29.958,30.00,,,,,,,,,
1837,7,11,-19.51.47,-71.00.45,29.93,29.971,30.00,,,,,,,,,
1837,7,12,-19.50.15,-70.44.00,30.00,30.003,30.02,,,,,,,,,
1837,7,13,-18.42.32,-70.32.00,29.96,29.976,30.00,,,,,,,,,
1837,7,18,-18.53.54,-70.24.00,29.98,29.993,30.00,,,,,,,,,
1837,7,19,-18.57.54,-70.28.48,29.94,29.952,29.96,,,,,,,,,
1837,7,20,-18.58.00,-70.30.28,29.93,29.953,29.99,,,,,,,,,
1837,7,21,-18.58.49,-70.28.28,29.96,29.980,30.00,,,,,,,,,
1837,7,22,-19.08.19,-70.07.28,29.93,29.940,29.95,,,,,,,,,
1837,7,23,-19.29.06,-70.06.28,29.95,29.980,30.06,,,,,,,,,
1837,7,24,-20.03.09,-71.36.15,30.05,30.080,30.10,,,,,,,,,
1837,7,25,Iquique ,,30.08,30.105,30.12,,,,,,,,,
1837,8,1,-19.35.07,-70.34.00,30.04,30.060,30.08,,,,,,,,,
1837,8,2,Arica,,30.06,30.070,30.08,,,,,,,,,
1837,8,5,-17.59.44,-71.21.30,30.05,30.050,30.05,,,,,,,,,
1837,8,6,-17.22.14,-72.48.30,30.00,30.004,30.02,,,,,,,,,
1837,8,7,-16.27.56,-74.38.00,29.95,29.975,30.00,,,,,,,,,
1837,8,8,-15.30.14,-78.00.00,,29.900,,,,,,,,,,
1837,8,9,-13.28.06,-78.50.00,29.90,29.920,29.94,,,,,,,,,
1837,8,10,-12.07.34,-78.15.00,29.92,29.970,30.00,,,,,,,,,
1837,8,11,Callao,,29.95,29.970,30.00,,,,,,,,,
1837,12,11,19.41.24,115.51.45,30.05,30.081,30.12,,,,,,,,,
1837,12,12,17.17.10,118.09.30,29.87,29.929,29.98,,,,,,,,,
1837,12,13,15.55.28,119.26.45,29.80,29.837,29.86,,,,,,,,,
1837,12,14,16.09.48,119.31.00,29.78,29.840,29.90,,,,,,,,,
1837,12,15,14.12.45,120.15.00,29.88,29.896,29.91,,,,,,,,,
1837,12,16,14.22.00,120.44.45,29.89,29.910,29.93,,,,,,,,,
1838,2,3,14.15.57,119.57.30,29.92,29.920,29.92,,,,,,,,,
1838,2,4,14.15.38,117.53.30,29.87,29.895,29.91,,,,,,,,,
1838,2,5,14.03.17,115.31.00,29.90,29.908,29.94,,,,,,,,,
1838,2,6,13.22.12,113.25.45,29.92,29.940,30.00,,,,,,,,,
1838,2,7,11.31.52,111.29.30,29.94,29.953,29.97,,,,,,,,,
1838,2,8,9.03.17,109.22.00,29.96,29.978,30.00,,,,,,,,,
1838,2,9,5.42.46,108.58.30,29.94,29.968,30.00,,,,,,,,,
1838,2,10,3.24.42,108.18.35,29.93,29.943,29.97,,,,,,,,,
1838,2,11,1.21.18,106.54.15,29.94,29.945,29.95,,,,,,,,,
1838,2,12,-1.20.18,107.13.15,29.92,29.933,29.95,,,,,,,,,
1838,2,13,-2.57.00,106.59.00,29.92,29.933,29.95,,,,,,,,,
1838,2,14,-4.58.43,106.13.45,29.93,29.935,29.94,,,,,,,,,
1838,2,15,-6.01.16,105.42.30,29.90,29.913,29.92,,,,,,,,,
1838,2,16,-6.11.20,105.00.00,29.86,29.870,29.88,,,,,,,,,
1838,2,17,-7.01.56,104.36.00,29.80,29.843,29.87,,,,,,,,,
1838,2,18,-7.51.49,104.02.30,29.83,29.837,29.85,,,,,,,,,
1838,2,19,-8.33.01,104.05.00,29.82,29.858,29.88,,,,,,,,,
1838,2,20,-9.35.25,103.47.00,29.85,29.866,29.88,,,,,,,,,
1838,2,21,-9.13.42,104.06.45,29.80,29.845,29.90,,,,,,,,,
1838,2,22,-10.07.24,103.16.45,29.84,29.863,29.88,,,,,,,,,
1838,2,23,-11.55.16,100.43.30,29.84,29.870,29.92,,,,,,,,,
1838,2,24,-13.29.48,98.02.30,29.80,29.825,29.86,,,,,,,,,
1838,2,25,-14.52.29,94.56.30,29.82,29.815,29.83,,,,,,,,,
1838,2,26,-16.10.24,91.48.45,29.82,29.838,29.84,,,,,,,,,
1838,2,27,-17.38.58,89.06.15,29.82,29.841,29.88,,,,,,,,,
1838,2,28,-18.51.09,86.32.00,29.88,29.880,29.88,,,,,,,,,
1838,3,1,-20.39.57,84.19.30,29.87,29.885,29.90,,,,,,,,,
1838,3,2,-21.07.30,81.51.30,29.88,29.890,29.90,,,,,,,,,
1838,3,3,-21.22.12,78.51.30,29.78,29.844,29.90,,,,,,,,,
1838,3,4,-21.52.06,76.49.45,29.78,29.808,29.86,,,,,,,,,
1838,3,5,-22.12.01,75.24.15,29.82,29.897,29.97,,,,,,,,,
1838,3,6,-22.33.52,73.40.45,29.95,29.972,30.00,,,,,,,,,
1838,3,7,-23.29.24,71.35.30,30.00,30.027,30.05,,,,,,,,,
1838,3,8,-24.34.25,69.19.45,30.05,30.070,30.09,,,,,,,,,
1838,3,9,-25.03.44,67.24.45,30.04,30.055,30.07,,,,,,,,,
1838,3,10,-25.04.19,65.42.30,30.02,30.033,30.05,,,,,,,,,
1838,3,11,-25.45.18,63.12.00,30.00,30.023,30.05,,,,,,,,,
1838,3,12,-26.09.05,60.10.00,30.05,30.080,30.11,,,,,,,,,
1838,3,13,-26.33.00,57.11.30,30.10,30.118,30.14,,,,,,,,,
1838,3,14,-27.16.08,54.30.00,30.01,30.065,30.10,,,,,,,,,
1838,3,15,-27.56.38,52.34.00,29.92,29.996,30.01,,,,,,,,,
1838,3,16,-28.28.10,50.18.45,29.89,29.914,29.92,,,,,,,,,
1838,3,17,-29.10.31,47.43.30,29.72,29.795,29.89,,,,,,,,,
1838,3,18,-29.14.48,45.42.30,29.74,29.824,30.07,,,,,,,,,
1838,3,19,-29.32.08,43.25.15,30.08,30.131,30.16,,,,,,,,,
1838,3,20,-30.01.13,42.10.15,30.13,30.151,30.17,,,,,,,,,
1838,3,21,-30.24.31,39.59.30,30.17,30.186,30.20,,,,,,,,,
1838,3,22,-31.06.41,37.46.00,30.18,30.200,30.22,,,,,,,,,
1838,3,23,-32.07.50,35.19.45,30.08,30.135,30.20,,,,,,,,,
1838,3,24,-33.27.55,32.14.45,29.84,29.960,30.05,,,,,,,,,
1838,3,25,-34.21.50,30.40.00,29.71,29.815,29.94,,,,,,,,,
1838,3,26,-34.30.48,29.32.15,29.93,30.131,30.27,,,,,,,,,
1838,3,27,-34.44.34,26.47.30,30.20,30.232,30.27,,,,,,,,,
1838,3,28,-35.32.23,22.52.30,29.93,30.037,30.16,,,,,,,,,
1838,3,29,-35.51.29,20.35.30,29.78,29.841,29.88,,,,,,,,,
1838,3,30,-36.11.27,20.15.45,29.80,29.840,29.93,,,,,,,,,
1838,3,31,-35.28.40,17.42.45,29.93,29.970,30.02,,,,,,,,,
1838,4,1,-34.39.43,15.58.50,29.90,29.948,30.00,,,,,,,,,
1838,4,2,-32.30.34,13.09.30,29.90,29.957,30.07,,,,,,,,,
1838,4,3,-30.35.48,10.16.15,30.07,30.106,30.13,,,,,,,,,
1838,4,4,-28.40.04,8.23.45,30.02,30.078,30.12,,,,,,,,,
1838,4,5,-27.05.14,6.29.45,29.99,30.011,30.04,,,,,,,,,
1838,4,6,-25.57.32,5.09.45,30.03,30.069,30.10,,,,,,,,,
1838,4,7,-24.51.18,3.55.15,30.08,30.090,30.10,,,,,,,,,
1838,4,8,-23.28.07,1.30.30,30.07,30.080,30.10,,,,,,,,,
