YEAR	MONTH	DAY	THERMOMETER						BAROMETER	
			400	800	1200	1600	2000	2400	1200	2400
1838	10	27	78.5	84.0	87.5	86.0			29.98	
1838	10	28		84.0	87.5	86.0	82.0	80.0	29.98	29.97
1838	10	29	79.0	87.0	87.0	88.0		82.0	29.98	29.95
1838	10	30		83.0	85.5	90.0	83.0	84.0	29.95	29.94
1838	10	31	85.0	85.0	87.0	85.0			29.95	
1838	11	1		83.5	86.0	87.0	83.0	82.0	29.97	29.96
1838	11	2	82.0	82.0	85.0	87.0	84.0	83.0	30.00	29.99
1838	11	3	83.0	82.0	86.0	89.0	86.0		30.03	
1838	11	4	80.0	83.0	87.0	88.5		82.0	29.96	29.96
1838	11	5	82.0	83.0	86.0	85.5	82.0	85.0	29.98	29.97
1838	11	6	80.0	82.0	87.0	85.0	82.0	82.0	29.97	29.91
1838	11	7	81.0	82.0	87.0	87.0	82.0		29.96	
1838	11	8	82.0	80.0		82.5	81.0	85.0		29.86
1838	11	9		83.0	85.0	84.0		80.0	29.90	29.86
1838	11	10	80.0	84.0	86.0	86.0	83.0	81.0	29.95	29.90
1838	11	11	83.0	85.0	85.0	84.0	83.0	83.0	29.90	29.86
1838	11	12		83.5	85.0		83.0		29.90	
1838	11	13	81.0	84.0	85.5	84.5	84.0	80.0	29.92	29.87
1838	11	14	83.0	83.0	85.5	84.5	84.0	83.0	29.85	29.86
1838	11	15	83.0	84.0	86.0	82.0	83.0	83.0	29.87	29.87
1838	11	16	82.0	84.0	85.5	84.5	83.0	83.0	29.88	29.85
1838	11	17	83.0	84.0	88.0	86.5		84.0	29.90	29.87
1838	11	18		86.0	89.0	85.5	85.0	84.0	29.87	29.83
1838	11	19	85.0	86.5	89.0	88.0	85.0	85.0	29.85	29.83
1838	11	20	85.0	88.0	90.0	94.5	90.0	85.0	29.84	29.86
1838	11	21	85.0		91.5	88.0	87.0	86.0	29.88	29.93
1838	11	22		86.0	88.0	88.5	85.0		29.83	
1838	11	23	86.0	85.0	89.0			86.0	29.86	
1838	11	24		89.0	88.0	88.0	85.0	86.0	29.90	29.88
1838	11	25	87.0	87.0	88.5		88.5		29.88	
1838	11	26	84.0	85.0	88.5	91.0	85.5	83.0	29.88	29.85
1838	11	27	83.0	83.0	90.5	87.0	87.0	79.0	29.89	29.90
1838	11	28	81.5	86.0	85.5		82.5	84.0	29.85	29.88
1838	11	29	84.0	85.0				85.0		29.95
1838	11	30	85.0	86.0	91.0	90.0	85.0		29.91	29.90
1838	12	1	86.0	86.5	87.0	87.0	87.0	84.0	29.95	29.90
1838	12	2	83.0	84.0	87.0	87.0	80.0	85.0	29.90	29.90
1838	12	3	85.0	90.0	90.0	86.5	84.0	83.0	29.90	29.84
1838	12	4	83.0	86.0	87.0		85.0	84.0	29.90	29.90
1838	12	5	84.0	85.0						
1838	12	6			89.5	85.5	83.5	83.0	29.92	29.90
1838	12	7	84.5	87.0	88.0	89.0	84.0	80.0	29.88	29.85
1838	12	8	84.0	84.0	86.5	88.0	88.0	86.0	29.80	29.82
1838	12	9		85.0	88.0	87.5	85.0	83.5	29.86	29.84
1838	12	10	83.0	86.0	86.5	84.5	85.0	80.0	29.87	29.90
1838	12	11	83.0	86.0	87.5	85.0	85.0	83.0	29.87	29.90
1838	12	12	83.0	84.0	82.0	85.0	82.0	83.0	29.86	29.90
1838	12	13	83.5	86.0	83.5	83.5	84.5	84.0	29.82	29.85
1838	12	14	82.0	81.0	84.0	85.0	84.0	84.0	29.87	29.90
1838	12	15	84.0	86.0	87.0	85.0	85.0	84.0	29.85	29.90
1838	12	16	83.0	86.0	88.0	88.0	84.0	84.0	29.93	29.88
1838	12	17	84.0	86.0	88.0	89.0	85.0	84.0	29.85	29.84
1838	12	18		84.0						
1838	12	19		84.0	92.0	87.0	85.0	84.0	29.87	29.88
