,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vessel and Vessel Movements,,,,,,,,,Wind,,,,,Current,,Data Characteristics,,,,
Start Date,Time of reading,Image Numbers,Document Title,Vessel,Ship Type,Owner of Port of Registry,Vessel Movements,Latitude ,Longitude ,Barometer,Air Temperature,Water Temperature,Direction,Force,Course,Distance,Distance by Log,Direction,Drift,Meteorology,Oceanography,Confirmed Sea Ice Observations,Other data,Notes
28/04/1947,Noon,1983_011_0003_0006,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,12.03S,77.13W,,,,,,,,,,,,,,,
28/04/1947,17:00,1983_011_0003_0006,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,,,,S,2,,,,,,,,,,
29/04/1947,01:00,1983_011_0003_0008,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,,,,S.E.,2,,,,,,,,,,
29/04/1947,Noon,1983_011_0003_0008,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,11.43S,78.10W,,,,,,308,60.5,,,,,,,,
29/04/1947,13:00,1983_011_0003_0008,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,,,,S.E.,3,,,,,,,,,,
30/04/1947,01:00,1983_011_0003_0010,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,,,,S.E.,3,,,,,,,,,,
30/04/1947,09:00,1983_011_0003_0010,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,,,,S.E.,4,,,,,,,,,,
30/04/1947,Noon,1983_011_0003_0010,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,11.05S,78.45W,,,,,,333,51.6,40,S.E.,11.6,,,,,
30/04/1947,13:00,1983_011_0003_0010,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1024,72,74,S.E.,3,,,,,,,,,,
30/04/1947,17:00,1983_011_0003_0010,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,,,,S.E.,3,,,,,,,,,,
01/05/1947,Noon,1983_011_0003_0012,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,10.45S,79.25W,,,,,,318,56.5,32,S.E.,24.5,,,,,
01/05/1947,13:00,1983_011_0003_0012,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,,,,S.E.,3,,,,,,,,,,
02/05/1947,01:00,1983_011_0003_0014,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,,,,S.E.,4,,,,,,,,,,
02/05/1947,Noon,1983_011_0003_0014,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,10.22S,80.20W,,,,,,308,59.6,30,S.E.,29.6,,,,,
02/05/1947,13:00,1983_011_0003_0014,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.5,72,74,S.E.,4,,,,,,,,,,
03/05/1947,Noon,1983_011_0003_0016,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,10.05S,81.29W,,,,,,280,71,35,S.E.,36,,,,,
03/05/1947,13:00,1983_011_0003_0016,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,72,77,S.E.,1,,,,,,,,,,
04/05/1947,01:00,1983_011_0003_0018,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,,,,S.E.,3,,,,,,,,,,
04/05/1947,Noon,1983_011_0003_0018,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,9.40S,81.55W,,,,,,280,36.1,20,S.E.,16.1,,,,,
05/05/1947,Noon,1983_011_0003_0020,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,9.32S,82.03W,,,,,,280,24,20,S.E.,4,,,,,
