YEAR,MONTH,DAY,HOUR,LAT,,LONG,,Barometer in,Air Temperature,,Nasskäl- te dos Psychro- ,Water Temperature,,Weather and Wind,,,
,,, ,,,,,Englischem Maass,Reaum.,Cels.,meters nach Hr. August.,Reaum.,Cels., ,,,
1830,11,21,8,25.56,S,43.42,W,29.82,19.00,23.70,18.10,,,ONO. Bewolkt. Himm,,,
1830,11,21,12,,,,,29.74,20.00,25.00,18.60,,,ONO. Desgl.,,,
1830,11,21,16,,,,,29.72,20.30,25.30,18.80,,,NNO. Desgl.,,,
1830,11,21,18,,,,,29.72,19.80,24.70,18.60,18.50,23.12,NNO. Wenig bewolkt,,,
1830,11,21,20,,,,,29.75,19.60,24.50,18.60,18.40,23.00,NzW. Desgl,,,
1830,11,22,8,26.31,S,44.10,W,29.83,16.70,20.80,14.60,17.80,22.20,S. Sehr feiner Regen,,,
1830,11,22,12,,,,,29.85,17.40,21.70,14.40,18.20,22.75,SSO. Es sturmt,,,
1830,11,22,16,,,,,29.88,16.80,21.00,14.40,18.20,22.75,SSO. Bewolkt,,,
1830,11,22,18,,,,,29.89,15.80,19.70,13.40,18.20,22.75,SSO. Desgl.,,,
1830,11,22,20,,,,,29.93,16.90,21.10,13.20,18.20,22.75,SSO. Windstille,,,
1830,11,23,1,29.11,S,44.38,W,29.96,16.90,21.10,13.60,18.40,23.00,SO. Sternheller Himm.,,,
1830,11,23,8,,,,,29.99,16.20,20.20,14.00,18.50,23.12,S. desgl.,,,
1830,11,23,12,,,,,30.05,17.10,21.70,13.50,18.60,23.25,S. Flauer Wind,,,
1830,11,23,13,,,,,30.05,17.10,21.30,12.70,18.60,23.25,S. Schones Wetter,,,
1830,11,23,14,,,,,30.05,16.90,21.10,12.70,18.60,23.25,S. Desgl.,,,
1830,11,23,15,,,,,30.05,16.80,21.00,12.70,18.50,23.12,S. Desgl.,,,
1830,11,23,16,,,,,30.05,16.70,20.80,12.60,18.50,23.12,S. Desgl.,,,
1830,11,23,17,,,,,30.05,16.70,20.80,12.40,18.30,22.87,S. Desgl.,,,
1830,11,23,18,,,,,30.05,16.70,20.80,12.60,18.20,22.75,SO.z.S. desgl.,,,
1830,11,23,19,,,,,30.08,16.50,20.60,12.30,18.00,22.50,SO.z.S. desgl.,,,
1830,11,23,20,,,,,30.08,16.50,20.60,12.50,17.80,22.25,SO. Mussiger Wind,,,
1830,11,23,21,,,,,30.08,16.60,20.70,12.40,17.80,22.25,SO.z.S. desgl.,,,
1830,11,23,22,,,,,30.08,16.70,20.80,12.60,17.80,22.25,SO. Desgl.,,,
1830,11,23,23,,,,,30.08,16.60,20.70,12.40,17.80,22.25,SO. Desgl.,,,
1830,11,23,24,,,,,30.08,16.50,20.60,12.80,17.90,22.37,SO. Desgl.,,,
1830,11,24,1,27.47,S,45.00,W,30.08,16.40,20.50,12.40,17.90,22.39,SO. Sternheller Himm.,,,
1830,11,24,2,,,,,30.07,16.40,20.50,12.60,17.70,22.12,OSO. Desgl.,,,
1830,11,24,3,,,,,30.06,,,12.80,17.70,22.12,OSO. Desgl.,,,
1830,11,24,4,,,,,30.06,16.20,20.20,12.60,17.60,22.00,OSO. Desgl.,,,
1830,11,24,5,,,,,30.07,15.90,19.80,12.10,17.60,22.00,OSO. Klares Wettermit.,,,
1830,11,24,6,,,,,30.07,16.10,20.10,12.40,,,SO.z.O. leightem Wnd.,,,
1830,11,24,7,,,,,30.08,16.90,21.10,12.60,,,SO.z.O. desgl.,,,
1830,11,24,8,,,,,30.08,17.60,22.00,13.40,17.50,21.80,SO.z.O. desgl.,,,
1830,11,24,12,,,,,30.08,,, ,,,O.z.N. Leichter Wind.,,,
1830,11,24,13,,,,,30.10,18.60,23.20,14.20,,,O.z.N. Wenig Wind.,,,
1830,11,24,14,,,,,30.10,18.60,23.20,14.50,,,O. z. N. desgl.,,,
1830,11,24,15,,,,,30.10,18.80,23.50,14.60,,,O. z. N. desgl.,,,
1830,11,24,16,,,,,30.10,18.50,23.10,,18.00,22.50,O. z. N. Klarer Himmel.,,,
1830,11,24,17,,,,,30.08,18.10,22.60,14.00,,,O.z.N. desgl.,,,
1830,11,24,18,,,,,30.08,17.70,22.10,13.80,,,O.z.N. desgl.,,,
1830,11,24,19,,,,,30.08,17.00,21.20,13.40,,,O. z. N. desgl.,,,
1830,11,24,20,,,,,30.10,16.80,21.00,13.40,18.00,22.50,O. z. N. desgl.,,,
1830,11,24,21,,,,,30.11,16.70,20.80,13.40,,,O. z. N. desgl.,,,
1830,11,24,22,,,,,,16.70,20.80,13.20,,,O.z.N. desgl.,,,
1830,11,24,23,,,,,,16.60,20.70,13.50,,,O.z.N. desgl.,,,
1830,11,24,24,,,,,,16.60,20.70,13.50,17.70,22.10,O. z. N. desgl.,,,
1830,11,25,1,29.30,S,45.40,W,30.04,16.50,20.60,13.60,,,O.z.N. Klarer Himmel.,,,
1830,11,25,2,,,,,30.04,16.40,20.50,13.40,,,O.z.N. desgl.,,,
1830,11,25,3,,,,,30.04,16.50,20.60,13.40,,,O. z. N. desgl.,,,
1830,11,25,4,,,,,30.01,16.60,20.70,13.40,17.60,22.00,O. z. N. desgl.,,,
1830,11,25,5,,,,,30.06,16.40,20.50,13.50,,,O.z.N. desgl.,,,
1830,11,25,6,,,,,30.06,17.40,21.70,13.90,,,O. z. N. desgl.,,,
1830,11,25,7,,,,,30.07,17.60,22.00,13.80,,,O. z. N. desgl.,,,
1830,11,25,8,,,,,30.08,17.10,21.30,13.60,17.60,22.00,O.z.N. desgl.,,,
1830,11,25,9,,,,,30.09,17.10,21.30,13.80,,,O. z. N. desgl.,,,
1830,11,25,10,,,,,30.08,17.30,21.30,14.00,,,NNW. Klar. Himm.mit,,,
1830,11,25,11,,,,,30.07,18.20,22.70,14.70,,,W. Sonnenschein.,,,
1830,11,25,12,,,,,30.08,19.00,23.70,15.10,17.20,21.50,NNW. desgl.,,,
1830,11,25,14,,,,,30.04,19.20,24.00,16.20,,,NNW. desgl.,,,
1830,11,25,16,,,,,30.01,19.00,23.70,16.60,,,NNW. desgl.,,,
1830,11,25,17,,,,,,18.30,22.80,16.70,16.90,21.10,NNW. desgl.,,,
1830,11,25,18,,,,, ,17.10,21.30,16.20,16.80,21.00,"NNW. Schön, klar. Wt.",,,
1830,11,25,20,,,,, ,17.10,21.30,16.20,16.40,20.50,NNW. desgl.,,,
1830,11,25,21,,,,, ,17.00,21.20,16.00,,,NNW. desgl.,,,
1830,11,25,22,,,,, ,17.00,21.20,16.00,,,NNW. desgl.,,,
1830,11,25,23,,,,, ,17.00,21.20,15.70,,,NNW. desgl.,,,
1830,11,25,24,,,,,29.98,16.80,21.00,15.20,16.00,20.00,NNW. desgl.,,,
1830,11,26,1,31.57,S,46.45,W,29.98,16.60,20.70,15.20, ,,NN W. Schön. klar. Wt.,,,
1830,11,26,2,,,,,29.98,16.40,20.50,15.10,,,NN,,,
1830,11,26,3,,,,,29.98,16.40,20.50,14.80,,,"NNW. Schön, klar. Wt.",,,
1830,11,26,4,,,,,29.98,16.40,20.50,14.80,15.90,19.80,NNW. desgl.,,,
1830,11,26,5,,,,,29.97,16.60,20.70,14.90,, ,NNW. desgl.,,,
1830,11,26,6,,,,,29.98,16.60,20.70,14.80, , ,NNW. desgl.,,,
1830,11,26,7,,,,,29.98,16.70,20.80,14.60, , ,NNW. desgl.,,,
1830,11,26,8,,,,,29.98,16.80,21.00,15.00,15.40,19.25,NNW. desgl.,,,
1830,11,26,9,,,,,29.98,17.00,21.20,15.30, , ,NNW. desgl.,,,
1830,11,26,10,,,,,29.98,17.80,22.20,16.00, , ,NNW. desgl.,,,
1830,11,26,11,,,,,29.98,18.50,23.10,16.10, , ,NNW. desgl.,,,
1830,11,26,12,,,,,29.98,18.80,23.50,16.40,15.60,19.50,NNW. desgl.,,,
1830,11,26,13,,,,,29.97,19.30,24.10,16.80, , ,NNW. desgl.,,,
1830,11,26,14,,,,,29.97,19.10,23.80,16.70, , ,NNW. desgl.,,,
1830,11,26,15,,,,,29.97,19.10,23.80,16.90, , ,NNW. desgl.,,,
1830,11,26,16,,,,,29.97,19.10,23.80,16.90, , ,NNW. desgl.,,,
1830,11,26,19,,,,,29.90,17.00,21.20,15.60,15.90,19.80,NNW. desgl.,,,
1830,11,27,4,34.36,S,46.23,W,29.82,16.50,20.60,14.80,15.00,18.75,NW. Etw.bewölkt.Him.,,,
1830,11,27,8,,,,,29.93,16.40,20.30,15.20,14.70,18.30,NW. desgl.,,,
1830,11,27,9,,,,,29.92,16.40,20.50,15.20,, ,NW. desgl.,,,
1830,11,27,10,,,,,29.93,16.50,20.60,15.30, , ,NW. Trübes Wetter.,,,
1830,11,27,12,,,,,29.94,16.80,21.00,15.20,15.20,19.00,NW. desgl.,,,
1830,11,27,13,,,,,29.90,15.60,19.50,14.30, , ,NW. desgl.,,,
1830,11,27,14,,,,,29.92,15.20,19.00,13.60, , ,S. desgl.,,,
1830,11,27,15,,,,,29.92,15.00,18.70,13.20, , ,S. desgl.,,,
1830,11,27,16,,,,,29.92,14.60,18.20,12.30,,,S. desgl.,,,
1830,11,27,17,,,,,29.93,14.30,17.80,11.90,,,S. Durchbrochen. Hirn.,,,
1830,11,27,18,,,,,29.93,14.20,7.70,11.00,11.60,18.20,S. desgl.,,,
1830,11,27,19,,,,,29.93,13.80,17.20,11.20, , ,S. desgl.,,,
1830,11,27,20,,,,,29.96,13.60,17.00,10.70,14.40,18.00,SSO. llewölkt. lljiiini.,,,
1830,11,27,24,,,,,30.01,13.30,16.60,9.80,14.30,17.85,SSO. desgl.,,,
1830,11,28,3,36.22,S,47.35,W,30.04,13.30,16.60,9.30,,17.70,SSO.,,,
1830,11,28,5,,,,,30.06,12.90,16.12,10.40,,17.50,O. Klarer Himmel.,,,
1830,11,28,8,,,,,30.06,13.40,16.70,12.10,14.00,17.50,O. desgl.,,,
1830,11,28,12,,,,,30.09,14.80,18.50,11.80,14.10,17.62,O. desgl.,,,
1830,11,28,16,,,,,30.05,13.90,17.30,12.00,14.20, ,O. desgl.,,,
1830,11,28,18,,,,,30.05,14.00,17.50,12.00,,17.70,O. desgl.,,,
1830,11,28,20,,,,,29.94,13.70,17.10,12.70,13.60,17.00,NO. z. N. desgl.,,,
1830,11,28,24,,,,,29.91,13.70,17.10,12.70,13.50,16.87,NO. z.N. Etw. bewölkt.,,,
1830,11,29,4,39.40,S,49.42,W,29.77,13.80,17.20,12.40,13.40,16.75,O.z.N. Sturm.,,,
1830,11,29,8,,,,,29.60,13.00,16.20,13.20,13.40,16.75,,,,
1830,11,29,9,,,,,29.60,13.70,17.10,14.10,13.60,17.00,O. Stark. Regen.,,,
1830,11,29,12,,,,,29.48,14.80,18.50,14.10,12.70,15.80,W.z.W. desgl.,,,
1830,11,29,16,,,,,29.50,14.90,18.60,12.40,12.20,15.20,SW.z.W. desgl.,,,
1830,11,29,18,,,,,29.50,13.20,16.50,10.80,11.30,14.10,W.z.W. desgl.,,,
1830,11,29,20,,,,,29.61,11.80,14.70,9.80,9.20,11.50,SW. Heller Himmel.,,,
1830,11,29,24,,,,,29.70,10.60,13.20,9.60,8.90,11.12,SW. desgl.,,,
1830,11,30,8,40.31,S,49.15,W,29.77,10.40,13.00,10.30,8.90,11.12,WSW. Schön. Wetter.,,,
1830,11,30,12,,,,,29.77,11.70,14.60,10.80,9.25,11.50,WSW. desgl.,,,
1830,11,30,16,,,,,29.81,13.00,16.20,9.60,9.60,12.00,WSW. desgl.,,,
1830,11,30,18,,,,,29.78,11.20,14.00,8.40,9.50,11.80,WSW. Wenig Wind.,,,
1830,11,30,20,,,,,29.80,9.80,12.30,8.60,9.30,11.60,SW. z. S. desgl.,,,
1830,11,30,24,,,,,29.80,9.50,11.80,8.80,9.10,11.30,N W. z. N. desgl.,,,
1830,12,1,1,41.23,S,49.51,W,29.74,9.60,12.00,9.00, , ,W. z. N. Etwas bewölkt.,,,
1830,12,1,8,,,,,29.67,9.80,12.30,9.00,9.00,11.25,W. z. N. desgl.,,,
1830,12,1,12,,,,,29.65, , , ,9.60,12.00,W. z. N. Schön. Wetter.,,,
1830,12,1,13,,,,,29.62,12.50,15.60,10.80,9.60,12.00,W. z. N. desgl.,,,
1830,12,1,16,,,,,29.60,12.80,16.00,10.40,10.20,12.75,W. z. IV. desgl.,,,
1830,12,1,20,,,,,29.58,12.50,15.60,10.90,10.00,11.50,W. z. N. Es stürmt.,,,
1830,12,2,4,42.47,S,52.16,W,29.55,9.90,12.30,9.00,11.20,14.00,W. z. N. Es stürmt.,,,
1830,12,2,8,,,,,29.57,9.00,11.20,8.40,7.80,9.75,N W. z. W. Massig. Wd.,,,
1830,12,2,10,,,,,29.57,9.70,12.10,8.90,7.60,9.50,NW. z. W. desgl.,,,
1830,12,2,12,,,,,29.52,9.80,12.30,8.40,7.70,9.62,IV W. z. W. desgl.,,,
1830,12,2,13,,,,,29.53,9.50,11.80,8.10, , ,SW. Feiner Regen.,,,
1830,12,2,14,,,,,29.53,8.50,10.60,7.50,, ,SW. desgl.,,,
1830,12,2,15,,,,,29.51,8.10,10.20,7.40, , ,SW. desgl.,,,
1830,12,2,16,,,,,29.51,7.30,9.10,6.70,7.60,9.50,SW. desgl.,,,
1830,12,2,17,,,,,29.51,7.30,9.10,6.70,, ,SW. desgl.,,,
1830,12,2,18,,,,,29.15,7.50,9.30,6.90, , ,SO. Bewölkt und sehr,,,
1830,12,2,19,,,,,29.44,7.70,9.60,7.20, , ,SO. dunkel.,,,
1830,12,2,20,,,,,29.44,7.80,9.70,7.30,7.80,9.75,SO. desgl.,,,
1830,12,2,21,,,,,29.14,7.80,9.70,7.40, , ,SO. desgl.,,,
1830,12,2,22,,,,,29.44,7.60,9.50,7.00, , ,SO. Schwacher Wind.,,,
1830,12,2,23,,,,,29.38,7.60,9.50,7.10,,,SO. desgl.,,,
1830,12,2,24,,,,,29.38,7.60,9.50,7.20,7.40,9.25,,,,
1830,12,3,4,42.47,S,52.16,W,29.28,8.30,10.30,7.80,7.60,9.50,SO. Etwas Regen.,,,
1830,12,3,8,,,,,29.30,8.10,10.10,7.50,9.20,11.50,S. z. O. desgl.,,,
1830,12,3,12,,,,,29.50,8.60,10.70,7.50,9.40,11.70,S.z.W. Es stürmt.,,,
1830,12,3,16,,,,,29.60,8.40,10.50,7.00,9.80,12.25,S. z. O. desgl.,,,
1830,12,3,20,,,,,29.63,7.80,9.70,5.60,9.60,12.00,"S.Z. O. Sturm, Regen",,,
1830,12,3,24,,,,,29.82,6.80,8.50,5.10,9.10,11.37,S.z. O. und Hagel.,,,
1830,12,4,4,42.47,S,52.30,W,29.78,7.40,9.20,4.70, , ,"S.Z. O. Sturm, Regen",,,
1830,12,4,8,,,,,29.85,7.00,8.70,4.30,9.20,11.50,S.z. O. und Hagel.,,,
1830,12,4,12,,,,,29.82,8.30,10.30,6.40,9.10,11.37,WSW. Leicht bewölkt.,,,
1830,12,4,16,,,,,29.60,9.00,11.20,8.30,9.30,11.60,WSW. Etwas Regen.,,,
1830,12,4,20,,,,,29.64,8.50,10.60,6.80,9.20,11.50,WSW. Heftiger Sturm.,,,
1830,12,4,24,,,,,29.64,8.40,10.50,6.90,9.20,11.50,WSW. Zuweil. Regen.,,,
1830,12,5,4,42.31,S,53.09,W,29.65,7.80,9.70,6.80,9.10,11.37,WSW. Trüb. Himmel.,,,
1830,12,5,8,,,,,29.61,8.20,10.20,7.00,9.10,11.37,WSW. desgl.,,,
1830,12,5,12,,,,,29.78,9.30,11.60,8.00,9.20,11.50,WSW. desgl.,,,
