YEAR,MONTH,DAY,HOUR,LAT,,LONG,,Barometer in,,Air Temperature,,Nasskalte des,Water Temperature,,Weather and Wind
,,,,,,,,Franzosischem Maass,, ,,Psychrometers,,,
,,,,,,,,Z,L,Reaum.,Cels.,nach Hr. August,Reaum.,Cels.,
1830,9,30,10,49.30,N,4.18,W,28,1.90,10.60,13.25,9.00,11.00,13.75,SW.KleineWolken
1830,9,30,11,,,,,28,1.90,10.20,12.75,8.90,11.00,13.75,W. desgl.
1830,9,30,1130,,,,,28,1.70,11.60,14.50,9.00,11.00,13.75,W.Etw.Sonnensch
1830,9,30,12,,,,,28,1.50,10.80,13.50,8.70,11.00,13.75,W. desgl.
1830,9,30,13,,,,,28,1.30,10.20,12.75,8.30,11.00,13.75,W. Trubes Wetter
1830,9,30,14,,,,,28,1.20,10.20,12.75,8.50,11.50,14.37,W. desgl.
1830,9,30,15,,,,,28,1.00,11.80,14.75,8.40,11.50,14.37,W desgl.
1830,9,30,1630,,,,,28,1.00,10.60,13.25,8.50,11.30,14.12,W. desgl.
1830,9,30,18,,,,,28,1.00,10.20,12.75,8.20,,,W desgl.
1830,9,30,19,,,,,28,1.00,10.20,12.75,8.00,11.00,13.75,W. desgl.
1830,9,30,21,,,,,28,1.00,10.20,12.75,8.00,11.20,14.00,W. desgl.
1830,10,1,4,48.40,N,8.31,W,28,0.25,10.60,13.25,,10.30,12.87,SW. Trubes Wetter
1830,10,1,8,,,,,28,0.25,10.90,13.62,,10.50,13.12,SW.Staker Wlind.
1830,10,1,12,,,,,28,0.75,11.00,13.75,,10.50,13.12,SW. desgl.
1830,10,1,"16
.",,,,,28,0.75,11.10,13.87,,10.30,12.87,SW. desgl.
1830,10,1,20,,,,,28,0.75,11.20,14.00,,10.30,12.87,SW Starker Wind
1830,10,1,24,,,,,28,1.00,11.00,13.75,,10.30,12.87,SW. desgl.
1830,10,2,4,48.46,N,8.40,W,28,1.00,10.30,12.87,,10.30,12.80,SW. Trub. Wetter
1830,10,2,8,,,,,28,1.00,10.70,13.37,,10.30,12.80,SW. n. Stark. Wind.
1830,10,2,12,,,,,28,1.00,10.90,13.60,,10.30,12.80,W. Sturmisch.
1830,10,2,16,,,,,28,,10.80,13.50,,10.30,12.80,SW. desgl.
1830,10,2,20,,,,,28,,10.60,13.20,,10.40,13.00,SW. desgl.
1830,10,2,24,,,,,27,11.00,10.50,13.10,,10.40,13.00,SW. desgl.
1830,10,3,4,48.38,N,7.20,W,27,11.00,10.40,13.00,,10.50,13.10,SW.
1830,10,3,8,,,,,27,11.50,10.70,13.30,,10.50,13.10,SW. Bezog. Himm.
1830,10,3,12,,,,,28,0.50,11.10,13.80,,11.00,13.70,SW. desgl.
1830,10,3,17,,,,,28,1.00,10.70,13.30,,11.00,13.70,SW. desgl.
1830,10,3,20,,,,,28,1.50,10.60,13.20,,11.75,14.60,SW. desgl.
1830,10,3,24,,,,,28,2.50,10.50,13.10,,11.00,13.70,SW. desgl.
1830,10,4,4,48.28,N,8.32,W,28,2.25,11.10,13.70,11.00,11.00,13.70,SW.
1830,10,4,430,,,,,28,2.50,11.20,14.00,11.10,11.40,14.20,SW. Sehr bezogen.
1830,10,4,5,,,,,28,2.75,11.30,14.00,10.10,11.50,14.37,SW.
1830,10,4,530,,,,,28,2.75,11.20,14.00,11.10,11.40,14.20,W. Etw.Staubregen
1830,10,4,6,,,,,28,2.75,11.20,14.00,11.20,11.50,14.30,W. Truber Himmel
1830,10,4,630,,,,,28,2.75,11.40,14.25,11.40,11.60,14.50,W. desgl.
1830,10,4,7,,,,,28,2.75,11.50,14.37,11.40,11.60,14.50,W. desgl.
1830,10,4,730,,,,,28,2.75,11.70,14.62,11.10,11.60,14.50,W. desgl.
1830,10,4,8,,,,,28,3.00,11.80,14.75,11.60,11.60,14.50,W. desgl.
1830,10,4,830,,,,,28,3.33,11.80,14.75,11.70,11.70,14.62,W. desgl.
1830,10,4,930,,,,,28,3.33,11.80,14.75,11.70,11.70,14.62,W. desgl.
1830,10,4,10,,,,,28,3.50,12.40,15.50,11.90,11.80,14.75,NW. Bewolkt. Him.
1830,10,4,11,,,,,28,3.50,12.20,15.20,11.90,11.80,14.75,NO. desgl.
1830,10,4,12,,,,,28,3.50,11.20,14.00,11.00,11.80,14.75,NO. Etw. Sonnsch.
1830,10,4,13,,,,,28,3.50,11.00,13.75,10.50,11.60,14.50,NO. desgl.
1830,10,4,14,,,,,28,4.00,11.40,11.20,10.70,11.70,14.62,NW. Bewolkt. Him.
1830,10,4,15,,,,,28,4.00,11.50,14.30,10.50,11.70,14.62,NW. desgl.
1830,10,4,16,,,,,28,4.25,11.70,14.60,10.70,11.60,1.45,NW. Wolkigt. Him
1830,10,4,17,,,,,28,4.25,11.20,14.00,10.50,11.60,14.50,ON. desgl.
1830,10,4,18,,,,,28,4.50,11.00,13.75,10.30,11.60,14.50,ON. desgl.
1830,10,4,19,,,,,28,4.50,11.00,13.75,10.20,11.40,14.25,O. Bezogen.
1830,10,4,20,,,,,28,4.50,11.00,13.75,10.10,11.50,14.37,O. desgl.
1830,10,4,21,,,,,28,5.00,.11.1,13.80,9.60,11.90,14.87,O. desgl.
1830,10,4,22,,,,,28,5.00,11.20,14.00,9.50,12.20,15.25,O. desgl.
1830,10,4,23,,,,,28,5.00,11.20,14.00,9.60,12.20,15.25,O. desgl.
1830,10,4,24,,,,,28,5.00,11.00,13.75,9.60,12.10,15.12,O. desgl.
1830,10,5,1,46.30,N,14.31,W,28,5.00,11.00,13.75,10.00,12.10,15.12,O. Bezogener Himm.
1830,10,5,2,,,,,28,5.00,10.90,13.60,10.10,12.10,15.12,O.z.N. desgl.
1830,10,5,3,,,,,28,4.75,10.60,13.20,10.00,12.10,15.12,O.z.N. desgl.
1830,10,5,4,,,,,28,4.75,10.20,12.75,9.80,11.90,14.80,O.z.N. desgl.
1830,10,5,6,,,,,28,5.00,11.60,14.50,9.70,12.80,16.00,SO.z.O. desgl.
1830,10,5,630,,,,,28,5.00,11.60,14.50,9.70,12.80,16.00,SO.z.O. desgl.
1830,10,5,7,,,,,28,,11.50,14.30,9.60,12.80,16.00,SO. z. O. Trub. Wttr.
1830,10,5,8,,,,,28,,11.30,14.10,9.50,12.70,15.80,SO. z. O. desgl.
1830,10,5,9,,,,,28,5.00,11.70,14.60,9.40,12.50,15.60,O. z. S. desgl.
1830,10,5,10,,,,,28,5.00,11.70,14.60,9.40,12.60,15.70,O. z. S. desgl.
1830,10,5,11,,,,,28,5.00,11.90,14.80,9.80,12.60,15.70,O. z. S. Lebhaft. Wd
1830,10,5,12,,,,,28,5.00,11.90,14.80,9.60,12.70,15.80,SO.z.O.ganzbez.H.
1830,10,5,13,,,,,28,5.00,12.20,15.20,9.90,12.80,16.00,SO.z.O. desgl.
1830,10,5,14,,,,,28,4.75,12.00,15.00,10.10,12.80,16.00,SO.z.O. desgl.
1830,10,5,15,,,,,28,4.25,12.00,15.00,10.00,12.80,16.00,SO.z.O. desgl.
1830,10,5,18,,,,,28,4.25,11.80,14.70,9.80,12.70,15.87,SO.z.O. desgl.
1830,10,5,19,,,,,28,4.50,11.60,14.50,9.60,,,SO. z.O. desgl.
1830,10,5,20,,,,,28,4.50,11.60,14.50,9.50,12.40,15.50,SO.z.O.Staubregen.
1830,10,5,22,,,,,28,4.00,11.50,14.30,9.60,12.60,15.70,SO. z.O. desgl.
1830,10,5,23,,,,,28,4.00,11.40,14.20,9.60,12.60,15.70,SO. z.O. desgl.
1830,10,5,24,,,,,28,4.00,11.40,14.20,9.60,12.60,15.70,SO. z.O. desgl.
1830,10,6,1,43.44,N,14.31,W,28,4.00,11.80,14.75,10.00,12.60,15.70,O. Bewinkt. Himmel
1830,10,6,2,,,,,28,3.75,11.80,14.75,10.20,12.60,15.70,O. desgl.
1830,10,6,3,,,,,28,3.75,11.90,14.87,,12.80,16.00,O. desgl.
1830,10,6,6,,,,,28,3.25,12.00,15.00,,13.00,16.25,O. desgl.
1830,10,6,7,,,,,28,3.25,12.40,15.30,,13.20,16.50,O. desgl.
1830,10,6,9,,,,,28,3.25,13.50,16.87,11.40,14.10,17.60,O. desgl.
1830,10,6,10,,,,,28,3.25,13.60,17.00,11.20,14.30,17;87,O. desgl.
1830,10,6,11,,,,,28,3.25,13.60,17.00,11.40,14.20,17.75,O. desgl.
1830,10,6,12,,,,,28,2.75,13.90,17.30,12.60,14.30,17.87,O. Bewolkt Himmel.
1830,10,6,13,,,,,28,2.50,14.00,17.50,12.60,14.30,17.87,OSO. desgl.
1830,10,6,14,,,,,28,2.50,14.20,17.70,12.40,14.30,17.87,OSO. desgl.
1830,10,6,15,,,,,28,2.25,14.20,17.70,11.90,14.20,17.75,OSO. desgl.
1830,10,6,16,,,,,28,2.25,14.40,18.00,11.80,14.20,17.75,OSO. desgl.
1830,10,6,17,,,,,28,2.50,14.60,18.20,12.10,14.10,17.60,OSO. desgl.
1830,10,6,18,,,,,28,2.50,14.40,18.00,12.40,14.00,17.50,OSO. desgl.
1830,10,6,19,,,,,28,2.25,14.40,18.00,12.40,14.00,17.50,OSO. desgl.
1830,10,6,20,,,,,28,2.25,14.50,18.10,12.40,13.90,17.37,OSO. desgl.
1830,10,6,21,,,,,28,2.25,14.40,18.00,12.40,13.80,17.25,OSO. Frischer Wnd.
1830,10,6,22,,,,,28,2.25,14.40,18.00,12.50,13.80,17.25,OSO. desgl.
1830,10,6,23,,,,,28,2.25,14.40,18.00,12.30,14.00,17.50,OSO. Bezog. Himm.
1830,10,6,24,,,,,28,2.25,14.40,18.00,12.00,14.00,17.50,OSO. desgl.
1830,10,7,1,41.25,N,16.39,W,28,1.75,14.30,17.87,12.40,14.60,18.25,OSO. Surhfrisch. Wd.
1830,10,7,2,,,,,28,1.75,14.10,17.62,12.20,14.70,18.37,OSO. desgl.
1830,10,7,3,,,,,28,1.75,14.10,17.62,12.30,14.80,18.50,OSO. Durchbrch. H.
1830,10,7,4,,,,,28,1.50,14.00,17.50,11.90,14.60,18.25,OSO. desgl.
1830,10,7,5,,,,,28,1.25,14.10,17.62,12.00,,,OSO. desgl.
1830,10,7,6,,,,,28,1.50,14.10,17.62,12.20,,,OSO. desgl.
1830,10,7,7,,,,,28,1.75,14.20,17.75,12.20,,,OSO. desgl.
1830,10,7,8,,,,,28,1.75,14.60,18.25,12.40,15.20,19.00,OSO. desgl.
1830,10,7,9,,,,,28,1.50,15.10,18.80,12.60,,,OSO. desgl.
1830,10,7,10,,,,,28,1.50,15.60,19.50,12.80,,,OSO. Der Wd. wird massiger.
1830,10,7,1230,,,,,28,1.50,15.30,19.12,12.80,15.20,19.00,OSO. Der Wd. wird massiger.
1830,10,7,13,,,,,28,1.50,15.30,19.12,12.90,,,OSO. Der Wd. wird massiger.
1830,10,7,14,,,,,28,1.25,15.50,19.37,12.90,,,OSO. Das Wetter klartsich auf.
