,"METEOROLOGISCHE BEOBACHTUNGE, ANGESTELLT WAHREND",,,
,DES SOMMERS VON 1831 IN HONORURU AUF OAHU,,,
,,,,
YEAR,MONTH,DAY,HOUR,AIR TEMP
1831,7,3,800,77.00
1831,7,3,1230,82.00
1831,7,3,1800,
1831,7,4,800,76.50
1831,7,4,1230,81.00
1831,7,4,1800,
1831,7,5,800,77.00
1831,7,5,1230,82.00
1831,7,5,1800,
1831,7,6,800,76.00
1831,7,6,1230,82.00
1831,7,6,1800,
1831,7,7,800,76.00
1831,7,7,1230,81.00
1831,7,7,1800,
1831,7,8,800,76.00
1831,7,8,1230,82.00
1831,7,8,1800,78.00
1831,7,9,800,77.00
1831,7,9,1230,82.00
1831,7,9,1800,78.00
1831,7,10,800,76.00
1831,7,10,1230,81.00
1831,7,10,1800,77.00
1831,7,11,800,77.00
1831,7,11,1230,81.00
1831,7,11,1800,77.00
1831,7,12,800,76.00
1831,7,12,1230,81.00
1831,7,12,1800,78.00
1831,7,13,800,76.00
1831,7,13,1230,81.00
1831,7,13,1800,79.00
1831,7,14,800,77.00
1831,7,14,1230,81.00
1831,7,14,1800,78.00
1831,7,15,800,77.00
1831,7,15,1230,82.00
1831,7,15,1800,78.00
1831,7,16,800,77.00
1831,7,16,1230,81.00
1831,7,16,1800,78.00
1831,7,17,800,77.00
1831,7,17,1230,81.00
1831,7,17,1800,77.00
1831,7,18,800,78.00
1831,7,18,1230,80.00
1831,7,18,1800,77.00
1831,7,19,800,76.00
1831,7,19,1230,80.00
1831,7,19,1800,78.00
1831,7,20,800,76.00
1831,7,20,1230,81.00
1831,7,20,1800,78.00
1831,7,21,800,76.00
1831,7,21,1230,83.00
1831,7,21,1800,80.00
1831,7,22,800,78.00
1831,7,22,1230,82.00
1831,7,22,1800,79.00
1831,7,23,800,77.00
1831,7,23,1230,82.00
1831,7,23,1800,79.00
1831,7,24,800,77.00
1831,7,24,1230,82.00
1831,7,24,1800,79.00
1831,7,25,800,77.00
1831,7,25,1230,82.00
1831,7,25,1800,79.00
1831,7,26,800,77.00
1831,7,26,1230,83.00
1831,7,26,1800,80.00
1831,7,27,800,76.00
1831,7,27,1230,81.00
1831,7,27,1800,79.00
1831,7,28,800,77.00
1831,7,28,1230,81.00
1831,7,28,1800,79.00
1831,7,29,800,77.00
1831,7,29,1230,82.00
1831,7,29,1800,79.00
1831,7,30,800,77.00
1831,7,30,1230,84.00
1831,7,30,1800,80.00
1831,7,31,800,76.00
1831,7,31,1230,81.00
1831,7,31,1800,77.00
1831,8,1,800,74.00
1831,8,1,1230,81.00
1831,8,1,1800,77.00
1831,8,2,800,75.00
1831,8,2,1230,81.00
1831,8,2,1800,78.00
1831,8,3,800,76.00
1831,8,3,1230,83.00
1831,8,3,1800,79.00
1831,8,4,800,77.00
1831,8,4,1230,83.00
1831,8,4,1800,79.00
1831,8,5,800,77.00
1831,8,5,1230,83.00
1831,8,5,1800,79.00
1831,8,6,800,77.00
1831,8,6,1230,83.00
1831,8,6,1800,79.00
1831,8,7,800,77.00
1831,8,7,1230,83.00
1831,8,7,1800,79.00
1831,8,8,800,77.00
1831,8,8,1230,84.00
1831,8,8,1800,80.00
1831,8,9,800,78.00
1831,8,9,1230,83.00
1831,8,9,1800,80.00
1831,8,10,800,78.00
1831,8,10,1230,84.00
1831,8,10,1800,81.00
1831,8,11,800,78.00
1831,8,11,1230,83.00
1831,8,11,1800,79.00
1831,8,12,800,79.00
1831,8,12,1230,84.00
1831,8,12,1800,80.00
1831,8,13,800,78.00
1831,8,13,1230,80.00
1831,8,13,1800,78.00
1831,8,14,800,77.00
1831,8,14,1230,82.00
1831,8,14,1800,79.00
1831,8,15,800,77.00
