YEAR,MONTH,DAY,LAT,LONG,BAROMETER,,,,,,AIR TEMPERATURE,,,,,,WATER TEMPERATURE,,,,,
,,,,,1500,1900,2300,300,700,1100,1500,1900,2300,300,700,1100,1500,1900,2300,300,700,1100
1839,1,15,23.05.27,-28.18.15,30.05,30.04,30.09,30.02,30.08,30.10,17.5,17.5,17.5,17.0,16.5,17.0,17.0,16.5,16.0,16.0,17.0,17.2
1839,1,16,21.36.36,-28.18.15,30.05,30.05,30.10,30.05,30.05,,17.0,17.0,16.5,16.0,16.0,,17.0,17.0,17.0,17.0,17.0,
1839,1,17,19.07.11,-28.06.00,30.04,30.04,30.08,30.08,30.05,30.08,16.0,14.0,15.0,15.0,16.0,16.0,17.0,16.0,17.0,16.5,16.5,17.1
1839,1,18,16.17.55,-26.51.30,30.00,30.00,30.00,30.00,30.00,,16.0,16.5,15.9,16.0,16.0,16.5,17.0,17.0,17.0,17.5,17.0,17.2
1839,1,19,13.41.11,-25.23.00,30.00,29.98,30.00,30.00,29.98,30.00,17.0,16.0,16.5,15.5,17.5,17.5,17.2,17.0,17.0,17.0,18.0,18.2
1839,1,20,10.40.48,-23.56.45,29.90,29.90,29.97,29.90,29.96,29.95,17.5,17.2,17.2,17.0,17.2,18.0,18.0,18.0,18.0,18.0,18.4,
1839,1,21,8.03.44,-22.16.30,29.95,29.95,29.95,29.94,29.95,29.93,18.5,18.0,19.0,18.5,19.0,19.2,18.0,19.0,19.5,19.5,19.8,20.0
1839,1,22,6.05.41,-20.32.45,29.92,29.95,29.95,29.95,29.92,29.92,19.4,19.5,19.5,19.8,20.0,20.5,20.0,20.0,20.0,20.5,20.6,21.0
1839,1,23,4.38.53,-18.49.19,29.90,29.88,29.95,29.95,29.95,29.92,20.0,20.0,20.4,21.2,19.0,20.0,20.8,21.0,21.0,21.0,21.0,21.0
1839,1,24,3.11.41,-18.14.00,29.88,29.90,29.98,29.88,29.86,29.90,19.0,20.0,20.0,20.5,20.6,20.5,21.0,21.0,20.8,21.0,21.1,21.5
1839,1,25,2.36.26,-17.53.30,29.88,29.86,29.90,29.83,29.80,29.85,21.5,21.8,21.0,20.0,20.0,21.6,21.5,21.0,21.0,21.0,20.8,21.2
1839,1,26,2.29.24,-18.02.30,29.90,29.90,29.91,29.90,29.89,29.90,21.8,21.5,21.0,20.5,20.8,20.8,21.8,21.5,21.2,21.0,21.0,20.8
1839,1,27,1.39.36,-18.55.54,29.90,29.95,29.88,29.85,29.84,29.84,23.2,21.5,21.0,20.6,20.8,21.0,22.7,22.5,22.0,22.1,20.8,21.8
1839,1,28,00.38.08,-21.24.15,29.82,29.80,29.84,29.84,29.83,29.84,22.5,22.1,22.1,21.0,21.6,22.8,22.4,22.2,22.3,22.0,22.1,22.1
1839,1,29,-00.01.49,-21.57.36,29.85,29.88,29.90,29.89,29.85,29.87,22.4,21.9,20.6,20.6,21.0,21.4,22.2,21.9,21.8,21.4,21.4,21.4
1839,1,30,-1.26.08,-23.33.51,29.85,29.85,29.87,29.86,29.88,29.88,21.0,21.0,21.6,20.2,21.3,21.2,21.5,21.5,21.4,21.5,21.4,21.6
1839,1,31,-3.11.09,-25.28.24,29.81,29.81,29.90,29.90,29.92,29.92,21.9,21.8,21.7,21.4,21.2,22.5,21.9,21.8,21.8,21.8,21.5,22.0
1839,2,1,-5.21.20,-27.23.30,29.90,29.90,29.91,29.92,29.87,29.88,22.0,21.5,21.7,21.8,21.3,22.3,22.0,,21.6,21.4,21.5,21.8
1839,2,2,-7.49.14,-29.01.30,29.88,29.90,29.90,29.90,29.90,29.93,21.8,21.7,21.4,21.5,21.0,22.1,21.7,21.6,21.2,21.1,21.0,21.9
1839,2,3,-10.20.27,-30.53.00,29.88,29.92,29.94,29.90,29.93,29.92,22.0,21.4,21.8,21.0,21.3,21.6,21.8,21.0,21.0,21.0,21.8,
1839,2,4,-12.39.47,-32.22.15,29.90,29.92,29.92,29.94,,,22.0,21.7,21.4,21.0,,,21.8,21.5,21.8,21.6,,
1839,2,5,-14.43.36,-34.03.30,29.98,29.96,29.96,29.95,29.94,29.98,22.4,21.0,21.4,21.2,21.4,,22.2,21.8,21.8,21.8,22.0,
1839,2,6,-17.00.40,-35.07.00,29.95,29.98,29.96,29.98,29.98,29.96,,21.8,21.4,21.6,21.4,22.7,,22.2,22.2,21.9,21.8,22.4
1839,2,7,-18.57.06,-36.13.45,29.96,29.96,29.98,29.98,29.98,30.00,22.6,22.0,22.2,22.2,22.2,22.4,22.7,22.2,22.0,22.0,21.8,22.2
1839,2,8,-20.26.19,-37.36.45,30.00,29.99,30.00,30.00,30.00,30.00,23.5,22.2,21.7,21.8,21.8,22.1,22.2,21.6,21.8,21.8,21.6,21.2
1839,2,9,-21.52.15,-38.55.15,29.98,29.98,30.00,29.92,29.95,29.92,23.6,22.5,22.2,21.5,21.3,22.6,21.9,21.4,21.4,21.5,21.4,21.6
1839,2,10,-23.20.45,-40.57.45,29.98,29.96,29.95,29.92,29.90,29.92,22.5,22.5,21.6,21.5,21.4,21.8,21.7,21.2,21.4,21.2,21.2,21.4
1839,2,11,-25.29.01,-43.01.15,29.90,29.88,29.90,29.86,29.90,29.94,21.8,21.4,21.0,20.8,20.8,19.1,19.8,21.4,20.9,20.8,21.0,20.9
1839,2,12,-27.41.14,-44.36.00,29.92,29.94,29.94,29.96,30.00,30.00,21.0,20.7,20.5,20.6,21.5,21.1,20.7,21.0,21.1,21.2,21.4,21.5
1839,2,13,-30.19.50,-46.29.30,30.00,29.98,30.05,30.00,30.00,30.04,21.4,21.0,20.5,20.1,19.8,19.4,21.6,20.8,20.5,20.4,20.2,21.2
1839,2,14,-32.39.03,-48.13.30,30.00,30.02,30.00,30.00,29.96,29.97,19.2,19.2,19.0,18.8,19.4,19.5,19.8,19.5,19.5,20.0,20.2,20.2
1839,2,15,-35.11.58,-50.83.15,29.96,29.96,29.98,29.96,29.96,29.93,21.2,19.4,18.4,19.0,19.0,20.6,20.2,18.9,18.6,18.5,19.0,20.4
1839,2,16,-37.08.10,-54.03.45,29.87,29.88,29.78,29.80,29.78,29.76,19.2,19.0,19.8,19.0,19.6,19.7,17.6,18.4,19.2,18.6,18.4,18.5
1839,2,17,-38.26.47,-52.57.00,29.77,29.68,29.70,29.70,29.73,29.70,17.0,16.4,16.2,16.4,15.9,17.0,18.4,17.8,16.8,16.4,17.2,17.2
1839,2,18,-38.21.29,-52.09.00,29.64,29.50,29.50,29.46,29.52,29.67,17.2,14.8,15.0,15.0,15.8,14.8,17.9,16.5,16.6,16.8,16.6,16.8
1839,2,19,-39.30.00,-53.50.15,29.75,29.80,29.86,29.88,30.00,30.28,14.8,14.6,14.4,14.5,14.5,15.2,16.4,16.5,16.6,16.6,16.6,16.8
1839,2,20,-41.34.09,-55.29.00,30.22,30.23,30.12,30.15,30.15,30.18,13.9,13.9,13.4,13.0,13.0,14.0,14.4,13.5,12.2,11.8,11.8,13.0
1839,2,21,-43.10.21,-58.03.30,30.18,30.18,30.20,30.15,30.09,30.00,15.8,14.8,13.4,13.8,11.8,13.8,12.9,12.8,13.0,12.6,11.0,9.6
1839,2,22,-44.59.27,-60.40.30,29.96,29.88,29.80,29.75,29.65,29.63,13.0,12.5,12.4,12.4,12.4,10.9,10.5,9.5,10.4,9.6,10.8,10.8
1839,2,23,-44.47.32,-63.37.30,29.62,29.65,29.68,29.65,29.62,29.62,9.8,9.8,9.7,9.6,10.5,11.4,10.8,10.4,11.4,10.8,12.2,12.8
1839,2,24,-45.50.16,-63.50.00,29.69,29.70,29.76,29.78,29.76,29.77,13.4,13.2,12.8,12.6,13.0,,13.4,13.0,12.8,12.6,12.9,
1839,2,25,-48.53.05,-64.08.15,29.75,29.75,29.76,29.76,29.65,29.45,15.8,14.4,13.4,13.2,12.7,13.1,12.7,12.4,11.7,11.9,10.6,10.7
1839,2,26,-50.49.54,-64.13.45,29.49,29.50,29.58,29.65,29.62,29.58,12.9,12.2,11.2,10.2,10.8,11.1,10.4,9.6,9.4,9.4,10.4,9.3
1839,2,27,-52.26.30,-64.32.00,29.50,29.48,29.46,29.44,29.48,29.50,12.8,12.4,11.6,11.4,9.1,11.4,9.6,9.2,8.3,8.4,7.9,9.4
1839,2,28,-54.42.01,-63.59.00,29.52,29.52,29.45,29.34,29.05,29.07,12.8,9.5,8.8,8.4,9.2,9.3,9.4,8.5,7.4,6.6,7.6,7.4
1839,3,1,-55.49.21,-62.58.45,29.02,29.15,29.25,29.30,29.36,29.40,6.8,6.5,6.0,5.8,5.5,6.3,6.2,6.0,6.0,5.8,5.6,5.8
1839,3,2,-55.36.33,-63.22.00,29.42,29.42,29.43,29.45,29.40,29.40,6.5,5.4,5.2,4.7,4.8,5.4,5.6,5.7,5.0,5.1,5.4,5.2
1839,3,3,-56.43.24,-63.48.00,29.40,29.38,29.42,29.40,29.38,29.38,6.0,5.2,4.8,4.8,5.5,6.1,5.8,5.4,5.0,5.2,5.5,5.5
1839,3,4,-56.54.43,-64.39.15,29.38,29.42,29.42,29.32,29.10,29.09,5.2,5.1,5.2,5.6,6.8,7.2,4.7,5.2,5.0,5.0,5.0,6.2
1839,3,5,-57.39.37,-64.45.15,29.15,29.30,29.36,29.42,29.24,29.05,5.6,5.0,5.6,6.0,,6.5,5.8,5.0,5.9,5.8,,5.5
1839,3,6,-58.24.21,-67.03.45,29.00,29.00,28.92,28.90,28.85,28.85,6.6,6.1,5.6,6.0,5.2,5.4,4.9,4.5,5.0,4.8,4.6,3.8
1839,3,7,-58.12.33,-69.34.15,28.90,29.15,29.20,29.20,29.20,29.45,5.1,4.0,3.6,4.0,4.2,,3.9,4.0,4.2,4.6,4.9,
1839,3,8,-58.24.41,-70.03.30,29.46,29.33,29.00,28.80,29.10,29.35,5.8,5.9,5.2,5.4,4.2,4.8,5.1,5.4,5.0,4.5,4.6,4.9
1839,3,9,-58.24.19,-70.57.30,29.50,29.52,29.54,29.35,29.15,29.08,5.1,5.0,4.8,5.2,6.4,6.4,4.8,4.6,4.7,4.8,5.0,
1839,3,10,-58.15.42,-70.51.30,29.10,29.20,29.30,29.40,29.45,29.42,5.8,5.4,5.8,5.2,5.6,6.0,5.0,4.4,4.6,4.8,5.1,5.2
1839,3,11,-59.24.17,-72.27.00,29.36,29.30,29.28,29.20,29.24,29.34,6.2,6.2,5.9,5.8,5.3,5.8,4.9,4.8,4.9,4.7,4.6,4.6
1839,3,12,-58.43.25,-76.14.00,29.23,29.22,29.05,28.95,28.74,28.69,6.4,5.6,5.6,5.4,5.7,6.8,4.9,4.9,4.0,4.5,4.6,5.7
1839,3,13,-56.51.48,-78.29.30,28.70,28.78,28.85,28.96,29.05,29.00,6.7,6.2,4.6,4.6,5.4,5.8,5.6,5.4,5.2,5.4,5.9,5.8
1839,3,14,-55.24.50,-77.36.45,28.99,29.06,29.10,29.09,29.00,29.02,5.0,5.4,5.2,6.0,6.1,6.8,5.9,5.9,6.0,6.5,6.9,7.0
1839,3,15,-55.46.00,-78.55.30,28.85,28.80,28.86,28.80,28.80,28.72,6.7,6.4,5.7,6.0,4.9,5.0,6.6,6.2,6.0,6.0,6.0,6.0
1839,3,16,-53.55.00,-80.11.30,28.72,28.70,28.70,28.80,28.88,28.90,5.0,4.6,5.2,4.3,5.0,,6.4,6.3,6.2,6.1,6.1,
1839,3,17,-52.10.26,-79.33.45,29.00,29.08,29.10,29.10,29.16,29.25,6.0,6.2,5.7,5.4,5.8,6.8,6.4,6.4,6.8,6.6,6.9,6.8
1839,3,18,-48.49.36,-80.41.15,29.38,29.45,29.60,29.66,29.80,29.85,7.4,6.7,7.2,6.1,6.8,8.0,7.1,6.6,6.6,7.9,7.8,8.2
1839,3,19,-45.30.47,-80.54.45,29.90,29.95,29.99,30.00,30.02,30.02,9.2,8.2,8.0,7.8,8.2,8.8,8.6,8.9,9.0,8.6,9.6,9.5
1839,3,20,-42.38.53,-79.30.45,30.03,30.03,30.05,30.03,30.04,30.05,10.0,8.8,9.0,10.2,9.6,10.0,10.1,9.9,10.0,10.9,11.4,11.8
1839,3,21,-40.15.29,-77.42.45,30.05,30.06,30.07,30.06,30.04,30.05,11.3,11.2,9.8,10.5,10.6,10.6,11.7,11.5,11.6,11.4,12.1,12.2
1839,3,22,-37.24.00,-75.29.00,30.04,30.05,30.03,30.05,30.00,30.02,11.4,11.1,11.0,11.2,12.0,11.3,13.2,13.2,13.3,13.5,13.0,13.0
1839,3,23,-34.52.49,-72.51.45,30.00,30.00,29.99,29.98,29.98,29.97,12.2,10.8,10.5,11.0,10.1,10.9,9.9,12.2,11.2,11.8,10.6,10.4
1839,3,24,Valparaiso,,29.96,29.96,29.96,29.98,,,11.7,10.7,10.8,10.4,,,11.0,10.2,10.4,10.7,,
1839,4,28,-29.56.25,-72.46.26,29.98,,29.96,,30.00,30.05,,,,,,,,,,,,
1839,4,29,-26.45.52,-73.13.15,30.05,30.08,30.09,30.06,30.08,30.08,,,,,,,,,,,,
1839,4,30,-23.30.13,-73.13.45,29.98,29.96,29.90,29.90,29.90,29.90,14.7,13.9,14.6,13.8,14.5,15.5,14.3,14.0,14.2,14.4,15.0,15.3
1839,5,1,-21.12.19,-72.42.00,29.90,29.89,29.90,29.90,29.91,29.92,16.2,15.2,15.1,15.2,15.4,15.7,15.3,15.1,15.5,15.0,,17.0
1839,5,2,-20.07.47,-72.11.15,29.92,29.90,29.92,29.94,29.92,29.92,16.2,15.7,15.6,15.4,,,17.3,17.0,16.4,17.0,,
1839,5,3,-19.14.23,-70.49.41,29.90,29.88,29.95,29.95,29.96,29.94,17.2,16.2,15.0,15.8,16.4,16.2,17.8,16.4,16.4,16.2,16.3,16.8
1839,5,4,Arica Bay,,,29.98,29.90,29.92,29.90,,,15.6,14.6,13.6,14.2,,,16.2,13.4,13.4,13.4,
1839,5,18,-18.08.00,-71.22.15,,29.98,29.99,,,29.99,,,,,,,,,,,,
1839,5,19,-17.23.22,-73.00.15,29.98,29.99,30.00,29.99,29.98,30.00,,,,,,,,,,,,
1839,5,20,-16.24.27,-74.51.15,30.00,30.00,30.00,30.00,29.99,,,,,,,,,,,,,
1839,5,21,-14.45.59,-76.29.45,29.98,29.99,30.00,29.98,,29.97,,,,,,,,,,,,
1839,5,22,-12.52.47,-76.49.45,,29.92,29.92,,29.95,29.94,,,,,,,,,,,,
1839,5,23,Callao,,29.92,,,,,,,,,,,,,,,,,
1839,8,16,-11.03.44,-79.17.47,,30.00,30.12,30.12,30.10,30.10,,12.0,12.0,12.0,12.5,13.8,,12.4,12.6,13.0,13.0,14.0
1839,8,17,-10.19.53,-83.02.45,30.10,30.10,30.10,30.10,30.10,30.10,13.0,13.4,13.4,13.5,13.8,15.2,14.2,14.0,14.6,14.5,14.5,15.6
1839,8,18,-9.48.47,-86.01.45,30.05,30.03,30.05,30.02,30.08,30.10,15.0,14.5,14.0,14.0,14.4,15.2,15.6,15.6,15.2,15.4,15.4,16.0
1839,8,19,-9.02.57,-88.12.30,30.05,30.00,30.00,30.00,30.00,30.08,16.4,15.0,15.0,18.0,15.0,16.0,16.2,16.2,16.0,16.6,16.6,17.0
1839,8,20,-8.38.35,-91.01.15,30.00,30.00,30.06,30.00,30.08,30.10,15.8,15.6,16.0,15.8,16.0,17.0,17.4,17.2,16.8,16.8,17.0,17.4
1839,8,21,-8.21.27,-94.09.45,30.00,30.02,30.10,30.08,30.10,30.08,16.8,16.6,15.1,16.2,16.8,17.8,17.6,17.5,17.2,17.8,17.8,18.0
1839,8,22,-8.06.46,-97.34.00,30.05,30.05,30.10,30.00,30.15,30.14,17.6,17.4,17.6,17.2,17.8,18.0,18.0,18.0,17.8,17.8,18.6,
1839,8,23,-7.56.09,-101.13.45,30.06,30.06,30.08,30.05,30.10,30.10,18.4,17.9,18.0,17.8,18.2,18.7,17.8,17.6,17.6,17.5,18.5,18.6
1839,8,24,-7.43.58,-104.25.00,30.04,30.06,30.10,30.02,30.10,30.10,18.8,18.2,18.6,18.2,18.4,20.0,18.8,18.6,18.4,18.4,19.0,19.1
1839,8,25,-7.37.43,-107.48.00,30.12,30.15,30.20,30.15,30.24,30.15,19.1,18.4,18.8,18.8,18.8,19.0,19.3,19.2,19.6,19.7,19.8,19.9
1839,8,26,-6.54.32,-110.48.45,30.10,30.15,30.20,30.15,30.18,30.10,19.8,19.2,19.0,19.0,19.3,20.4,19.8,19.7,19.2,19.0,19.7,19.6
1839,8,27,-6.02.00,-114.10.00,30.06,30.04,30.08,30.04,30.10,30.04,20.4,19.4,19.6,19.3,19.2,21.0,19.6,19.6,19.4,19.4,19.3,19.5
1839,8,28,-4.42.00,-116.53.15,30.00,30.00,30.05,30.00,30.10,30.00,19.8,19.8,19.5,19.0,19.2,19.8,19.4,19.5,19.4,19.4,20.0,20.0
1839,8,29,-3.24.27,-119.40.00,29.99,29.94,29.96,29.95,29.98,29.98,20.3,19.1,19.2,18.6,19.0,20.4,19.2,19.2,19.0,19.2,18.0,18.3
1839,8,30,-2.13.51,-121.37.15,29.96,29.95,29.96,29.95,29.98,29.96,20.2,19.6,19.5,18.2,18.6,20.2,18.4,18.6,18.6,18.6,19.4,18.6
1839,8,31,-0.52.24,-123.04.45,29.94,29.95,29.90,29.91,29.94,,20.4,18.9,18.0,18.2,18.8,,18.6,18.4,18.4,18.6,18.8,
1839,9,1,0.46.37,-124.54.36,29.90,29.90,29.95,29.92,29.89,29.94,21.0,20.2,19.2,18.8,18.7,20.6,19.0,18.8,18.6,18.6,18.4,18.6
1839,9,2,3.02.40,-127.18.45,29.94,29.90,29.95,29.95,29.90,,20.5,19.0,19.0,18.5,18.5,21.0,18.8,18.5,19.0,19.2,19.2,20.0
1839,9,3,4.59.22,-129.15.30,29.90,29.90,,29.94,29.90,29.90,21.0,20.0,20.4,20.0,21.0,22.4,20.0,19.8,19.6,19.6,20.5,22.0
1839,9,4,7.17.32,-130.53.30,,29.90,29.88,29.88,29.85,,,21.3,21.2,21.2,21.5,,,21.8,21.8,21.7,22.2,
1839,9,5,9.49.21,-132.16.15,29.85,29.80,29.84,29.80,29.80,29.88,22.2,21.8,21.5,21.5,21.5,22.0,22.1,22.0,22.0,22.0,22.4,22.5
1839,9,6,11.34.39,-133.27.36,29.86,29.90,29.94,29.92,29.90,29.92,22.2,22.0,21.8,21.4,21.6,22.2,22.6,22.4,22.2,22.2,,22.0
1839,9,7,12.41.37,-133.40.15,29.90,29.92,30.00,29.95,29.92,29.96,22.8,22.8,21.8,21.6,21.1,22.5,22.2,22.1,21.6,21.6,21.8,22.1
1839,9,8,13.30.05,-134.22.05,29.93,29.96,29.98,29.90,29.93,29.95,21.5,21.5,21.2,20.2,,21.4,22.0,21.7,21.4,21.8,,22.4
1839,9,9,15.18.28,-135.49.45,29.90,29.95,29.96,29.96,29.96,29.92,21.5,21.4,21.3,21.0,21.5,21.9,22.4,22.4,22.4,22.2,22.2,22.2
1839,9,10,16.11.15,-138.07.30,29.88,29.90,29.90,29.91,29.90,29.91,21.0,21.0,20.8,19.0,20.0,21.0,22.2,21.7,21.8,21.5,21.6,21.8
