ALBERT 1 1898 CRUISE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PARIS,PARIS,,,,,,,Greenwich,,,,,,,,,,,,,,
YEAR,MONTH,DAY,HOUR,Latitude °,Latitude ',Longitude °,Longitude ',PRESSURE mm,"PRESSURE """,PRESSURE hPa,add SG,REMARKS,Latitude,Longitude,,Sond T°C 100m,Sond T°C 210m,Sond T°C 300m,Sond T°C 410m,,,,,,,,,
1898,6,12,1600,,,,,776,30.57,1034.58,1035.32,"Birkenhead, Albert Docks, UK",53.4003,-2.9927,,,,,,,,,,,,,,
1898,6,12,2400,,,,,776,,1034.58,,,,,,,,,,,,,,,,,,
1898,6,13,400,,,,,772,,1029.25,,,,,,,,,,,,,,,,,,
1898,6,13,900,,,,,772,,1029.25,,,,,,,,,,,,,,,,,,
1898,6,13,1200,51,50,-8,-20,772,,1029.25,1029.84,,51.8333333333333,-5.73641203333333,,,,,,,,51.83,",",-8.33,,53.4003,",",-2.9927
1898,6,13,1800,,,,,771,,1027.92,,,,,,,,,,,,49.80,",",-6.92,,,",",
1898,6,13,2000,,,,,772,,1029.25,,,,,,,,,,,,49.77,",",-3.50,,,",",
1898,6,13,2400,,,,,772,,1029.25,,,,,,,,,,,,52.25,",",0.80,,,",",
1898,6,14,400,,,,,772,,1029.25,,,,,,,,,,,,54.00,",",5.33,,51.8333333333333,",",-5.73641203333333
1898,6,14,500,,,,,772,,1029.25,,,,,,,,,,,,55.95,",",4.73,,,",",
1898,6,14,800,,,,,772,,1029.25,,,,,,,,,,,,57.95,",",3.65,,,",",
1898,6,14,1200,49,48,-6,-55,772,,1029.25,1029.65,,49.8,-4.31974536666667,,,,,,,,62.25,",",2.82,,,",",
1898,6,14,1600,,,,,771,,1027.92,,,,,,,,,,,,63.42,",",6.27,,,",",
1898,6,14,2000,,,,,771,,1027.92,,,,,,,,,,,,65.20,",",9.53,,,",",
1898,6,14,2400,,,,,772,,1029.25,,,,,,,,,,,,66.70,",",11.40,,,",",
1898,6,15,300,,,,,771,,1027.92,,,,,,,,,,,,66.70,",",11.35,,49.8,",",-4.31974536666667
1898,6,15,800,,,,,771,,1027.92,,,,,,,,,,,,67.65,",",12.22,,,",",
1898,6,15,1200,,,,,,,,,"Cherbourg, France",,,,,,,,,,69.25,",",12.37,,,",",
1898,6,16,1000,,,,,772.3,,1029.65,,,,,,,,,,,,69.30,",",12.15,,,",",
1898,6,16,1200,49,46,-3,-30,,,,,,49.7666666666667,-0.9030787,,,,,,,,69.29,",",12.07,,,",",
1898,6,16,1600,,,,,772.3,,1029.65,,,,,,,,,,,,69.27,",",12.00,,,",",
1898,6,17,1200,,,,,,,,,"Le Harve, France",,,,,,,,,,69.26,",",12.25,,,",",
1898,6,18,1200,,,,,,,,,"Le Harve, France",,,,,,,,,,69.26,",",12.16,,,",",
1898,6,19,1200,,,,,,,,,"Le Harve, France",,,,,,,,,,69.29,",",12.10,,49.7666666666667,",",-0.9030787
1898,6,20,1200,,,,,,,,,"Le Harve, France",,,,,,,,,,69.50,",",18.26,,,",",
1898,6,21,1200,,,,,,,,,"Le Harve, France",,,,,,,,,,72.62,",",17.67,,,",",
1898,6,22,1200,,,,,,,,,"Le Harve, France",,,,,,,,,,76.50,",",23.12,,,",",
1898,6,23,1200,,,,,,,,,"Le Harve, France",,,,,,,,,,76.67,",",23.72,,,",",
1898,6,23,1600,,,,,767,,1022.58,,,,,,,,,,,,77.97,",",16.92,,,",",
1898,6,23,2000,,,,,767,,1022.58,,,,,,,,,,,,77.97,",",16.92,,,",",
1898,6,24,400,,,,,762.5,,1016.58,,,,,,,,,,,,78.14,",",17.08,,,",",
1898,6,24,800,,,,,761,,1014.58,,,,,,,,,,,,77.92,",",18.83,,,",",
1898,6,24,1200,52,15,0,48,,,,,,52.25,3.3969213,,,,,,,,76.93,",",9.00,,,",",
1898,6,24,1600,,,,,759,,1011.92,,,,,,,,,,,,76.93,",",9.15,,,",",
1898,6,24,2000,,,,,758,,1010.58,,,,,,,,,,,,78.37,",",14.83,,,",",
1898,6,24,2400,,,,,755.5,,1007.25,,,,,,,,,,,,78.37,",",13.80,,,",",
1898,6,25,400,,,,,755.3,,1006.98,,,,,,,,,,,,79.15,",",7.25,,52.25,",",3.3969213
1898,6,25,800,,,,,755,,1006.58,,,,,,,,,,,,80.45,",",11.08,,,",",
1898,6,25,1100,,,,,756,,1007.92,,,,,,,,,,,,79.72,",",2.33,,,",",
1898,6,25,1200,54,0,5,20,,,,,,54,7.93025463333333,,,,,,,,79.47,",",3.33,,,",",
1898,6,25,1600,,,,,757,,1009.25,,,,,,,,,,,,78.53,",",6.33,,,",",
1898,6,25,2000,,,,,,,,,Kaiser Wilhelm Canal,,,,,,,,,,75.80,",",8.30,,,",",
1898,6,26,800,,,,,757.5,,1009.92,,,,,,,,,,,,74.05,",",2.83,,,",",
1898,6,26,1200,,,,,,,,,"Kiel, Germany",,,,,,,,,,73.20,",",1.07,,54,",",7.93025463333333
1898,6,26,1800,,,,,759,,1011.92,,"Kiel, Germany",,,,,,,,,,73.20,",",1.07,,,",",
1898,6,27,1200,,,,,,,,,"Kiel, Germany",,,,,,,,,,71.77,",",-3.92,,,",",
1898,6,28,600,,,,,759,,1011.92,,"Kiel, Germany",,,,,,,,,,69.15,",",-7.48,,,",",
1898,6,28,1200,,,,,,,,,"Kiel, Germany",,,,,,,,,,68.05,",",-8.67,,,",",
1898,6,28,1700,,,,,759,,1011.92,,"Kiel, Germany",,,,,,,,,,66.40,",",-11.62,,,",",
1898,6,28,2400,,,,,767,,1022.58,,"Kiel, Germany",,,,,,,,,,65.35,",",-13.05,,,",",
1898,6,29,1200,,,,,,,,,"Kiel, Germany",,,,,,,,,,63.93,",",-12.77,,,",",
1898,6,30,1200,,,,,,,,,"Kiel, Germany",,,,,,,,,,62.32,",",-8.58,,,",",
1898,7,1,100,,,,,767,,1022.58,,"Kiel, Germany",,,,,,,,,,61.87,",",-8.93,,,",",
1898,7,1,600,,,,,767,,1022.58,,"Kiel, Germany",,,,,,,,,,59.33,",",-4.30,,,",",
1898,7,1,1200,,,,,,,,,"Kiel, Germany",,,,,,,,,,59.05,",",-4.13,,,",",
1898,7,1,1400,,,,,760,,1013.25,,,,,,,,,,,,56.67,",",-4.62,,,",",
1898,7,1,1900,,,,,,,,,Kaiser Wilhelm Canal,,,,,,,,,,54.12,",",-2.37,,,",",
