Y	M	D	H	LAT		LONG		BAROMETER		SYMPIESOMETRE		TEMPERATURES	
								HEIGHT	ATT. THERM	HEIGHT	ATT. THERM	AIR TEMP	SEA TEMP
1836	2	9	2400					773.2	14.5			11.5	14.1
1836	2	10	100					773.7	14.5			12.0	13.9
1836	2	10	200					773.2	14.4			12.5	13.8
1836	2	10	300					773.7	14.2			12.5	14.1
1836	2	10	400					773.7	14.3			11.5	14.1
1836	2	10	500					772.2	13.6			11.2	14.1
1836	2	10	600					772.7	13.4			11.1	14.1
1836	2	10	700					772.7	13.2			10.9	14.1
1836	2	10	800					772.7	13.3			11.6	13.9
1836	2	10	900					772.7	14.2			12.6	14.0
1836	2	10	1000					772.7	14.0			12.7	14.6
1836	2	10	1100					772.7	13.8			14.3	14.9
1836	2	10	1200	37.36.00	N	2.10.09	W	772.4	14.6	779.0	16.8	13.0	14.9
1836	2	10	1300					771.6	15.0			13.3	15.1
1836	2	10	1400					771.5	14.9			13.3	15.3
1836	2	10	1500					769.8	14.7	774.7	15.3	13.0	15.0
1836	2	10	1600					769.8	14.5			12.9	14.6
1836	2	10	1700					769.7	14.2			12.7	14.5
1836	2	10	1800					771.2	14.5	774.7	14.2	12.5	14.1
1836	2	10	1900					771.7	14.3			12.3	14.3
1836	2	10	2000					771.7	14.5			12.2	14.9
1836	2	10	2100					771.8	14.5	775.2	13.6	12.2	14.7
1836	2	10	2200					772.2	14.5			11.8	14.7
1836	2	10	2300					772.2	14.5			11.5	14.5
1836	2	10	2400					772.2	14.3			11.5	14.1
1836	2	11	100					772.2	14.0			12.4	14.0
1836	2	11	200					772.0	14.0			12.4	14.5
1836	2	11	300					771.2	14.0			12.3	14.3
1836	2	11	400										
1836	2	11	500					771.2	13.9			12.2	14.4
1836	2	11	600					770.2	14.0			12.5	14.6
1836	2	11	700					771.2	13.8			12.3	14.6
1836	2	11	800					771.7	13.9			12.6	
1836	2	11	900					771.2	14.4	773.7	17.4	13.0	14.0
1836	2	11	1000					771.2	14.6			13.9	14.3
1836	2	11	1100					769.9	15.2			14.2	15.0
1836	2	11	1200	37.26.00	N	2.45.04	W	769.7	15.2	773.4	15.2	15.2	15.0
1836	2	11	1300					769.4	15.3			14.7	14.4
1836	2	11	1400					769.2	15.7			16.3	14.3
1836	2	11	1500					768.7	15.5	769.4	16.1	15.2	14.7
1836	2	11	1600					768.2	15.4			14.3	14.6
1836	2	11	1700					767.7	14.5			13.3	13.9
1836	2	11	1800							771.6	14.4		
1836	2	11	1900					765.2	14.5			14.7	13.9
1836	2	11	2000					765.9	14.8			14.0	14.3
1836	2	11	2100					769.2	14.7	771.1	13.6	13.5	
1836	2	11	2200					769.2	14.0			12.9	
1836	2	11	2300					768.2	14.0			12.8	
1836	2	11	2400					769.2	13.8			13.0	14.4
1836	2	12	100					768.2	14.0			12.7	14.3
1836	2	12	200					767.6	14.0			12.5	14.3
1836	2	12	300					767.5	13.9			12.5	14.3
1836	2	12	400					767.5	13.8			12.8	14.0
1836	2	12	500					769.0	13.8			12.6	14.2
1836	2	12	600					769.7	13.8			12.7	14.1
1836	2	12	700					770.3	13.6			12.7	14.1
1836	2	12	800					770.7	13.6			12.9	14.1
1836	2	12	900					770.7	13.8	772.7	13.1	12.9	14.1
1836	2	12	1000					771.5	14.6			13.7	14.5
1836	2	12	1100					773.2	14.7			14.7	14.6
1836	2	12	1200	36.38.00	N	4.15.07	W	771.7	16.0	771.6	15.6	15.0	14.8
1836	2	12	1300					769.2	16.4			14.5	14.8
1836	2	12	1400					769.2	16.8			14.3	15.1
1836	2	12	1500					769.2	17.1			14.3	15.1
1836	2	12	1600					768.7	16.8	775.7	18.2	14.0	15.1
1836	2	12	1700					769.2	16.0			13.5	15.2
1836	2	12	1800					769.5	15.5	773.7	16.0	13.4	14.7
1836	2	12	1900					769.5	15.5			12.7	14.7
1836	2	12	2000					770.2	15.4			12.8	15.0
1836	2	12	2100					770.7	15.2	773.4	15.0	13.5	14.9
1836	2	12	2200					770.9	14.8			13.5	14.7
1836	2	12	2300					770.7	14.7			13.3	14.8
1836	2	12	2400					770.6	14.6	772.7	14.5	12.9	14.4
1836	2	13	100					780.2	14.1			13.7	14.9
1836	2	13	200					779.0	13.9			12.3	14.6
