	"ACCOUNT OF A VOYAGE OF DISCOVERY TO THE WEST COAST OF CORREA,"							
	"AND GREAT LOO-CHOO ISLAND, CAPT. BASIL HALL"							

Pg. xlv								

YEAR	MONTH	DAY	HOUR	LAT	LONG	SST	AIR TEMP	BAR
1816	6	16		5 11 S	106 3 E	83.0	82.5	29.86
				5 05 	106 10	83.5	82.0	29.86
				5 05	106 10	84.5		29.83
				5 05	106 10	83.0	81.0	29.85
		27		6 49 N	107 49	84.0	82.0	29.81
		28		8 00	108 10	84.0	82.0	29.80
	7	3		13 29	112 59	84.5	81.0	29.77
		6		20 00	114 0	84.0	83.3	29.75
		7		21 11	114 0	85.0	85.0	29.79
		8				84.5	82.0	29.72
		16		24 37	118 56	79.0	79.0	29.75
		21		34 0	124 0	77.5	76.0	29.78
		23		35 0	124 0	77.0	82.0	29.78
		27		38 55	118 50	76.0	76.0	29.70
				38 55	118 50	76.0	76.0	29.70
		28		38 50	118 0	83.0	84.0	29.62
				38 50	118 0	83.0	84.0	29.62
				38 50	118 0	82.0	83.5	29.61
		29		38 50	118 0	84.0	81.0	29.60
				38 50	118 0	84.0	83.0	29.58
	8	6		38 50	118 0	80.0	79.0	29.64
				38 50	118 0	81.5	83.5	29.64
				38 50	118 0	81.5	83.5	29.64
				38 50	118 0	81.5	83.0	29.64
				38 50	118 0	81.0	84.5	29.62
				38 50	118 0	81.0	84.5	29.62
				38 50	118 0	82.0	80.0	29.59
		8		38 50	118 0	78.0	69.5	29.65
				38 50	118 0	78.0	69.5	29.65
				38 50	118 0	77.5	73.0	29.66
		9		38 50	118 0	79.5	75.0	29.72
		10		38 50	118 0	77.0	75.0	29.69
				38 50	117 55			
				38 50	117 55	77.0	75.0	29.69
				38 50	118 0	75.0	75.0	29.69
				38 50	118 0	78.0	76.5	29.70
				38 50	118 0	83.0	84.0	29.68
				38 50	118 0	83.0	84.0	29.68
		11		38 50	118 0	79.0	76.0	29.72
				38 50	118 0	80.0	79.0	29.73
		12		38 50	118 0	80.0	79.0	29.79
				38 36	117 56	81.0	79.5	29.77
		13		38 31	118 09	79.0	78.0	29.80
				38 31	118 09	79.0	78.0	29.80
				38 31	118 04	81.0	83.0	29.80
		14		38 30	118 24	78.0	79.0	29.71
				38 30	118 35	79.5	80.5	29.70
		15		38 0	18 35	80.0	79.0	29.77
				38 0	118 54	81.5	79.0	29.76
				37 54	118 56	82.0	79.0	29.70
		16		37 38	118 57	81.0	76.0	29.17
		17		37 21	119 28	80.0	79.5	29.73
				37 19	119 44	81.5	81.0	29.75
				37 21	119 44	81.5	82.0	29.70
		18		37 29	119 37	80.0	77.0	29.76
		20		37 50	120 16	77.0	72.0	29.85
		21		37 52	120 27	77.0	71.0	29.80
				37 52	120 27	77.0	79.0	29.80
						77.0	76.0	29.76
						76.0	75.0	29.74
						76.0	75.0	29.74
		22				75.0	76.0	29.80
	9	4		36 10	126 30	81.0	83.0	29.86
				36 8	126 35	81.0	83.0	29.86
		5		35 40	126 17	79.0	80.0	29.80
		7		34 32	126 34	74.0	80.0	29.84
				34 22	126 34	74.0	80.0	29.84
1817	3	3		2 18	102 20	82.0	84.5	29.74
		5		3 40	100 35	83.0	85.0	29.73
						83.0	85.0	29.73
		8		5 12	100 14	84.0	84.0	29.86
						84.0	82.5	29.86
		19				80.0	82.0	29.84
				13 30	89 30	80.0	82.0	29.78
		20		14 30	89 15	79.5	82.0	29.83
		21		15 00	89 00	80.0	82.0	29.84
		22		16 00	88 30	79.0	79.5	29.84
		23		17 00	88 00	78.5	79.0	29.80
		24		17 30	88 15	78.0	80.0	29.78
		22		34 0 S	26 00	71.0	72.0	
	7	24		34 25	24 56	59.0	62.0	
		25		35 0	23 45	62.0	63.0	
		26		35 0	23 0	58.0	60.0	
				34 52	22 23	60.0	63.0	
		27		35 00	21 00	56.0	59.0	
				35 00	21 00	56.0	59.0	
		28		34 58	20 15	58.0	64.0	
				34 57	20 15	59.0	64.0	




1816	7	14	800					30.01
			1200	22 07 N	115 26 E	84.0	83.0	30.01
			1600					29.94
			2000					29.98
		15	1000					29.89
			1200	22 43	117 30	83.0	82.0	29.89
			1500					29.80
			2000					29.76
			2200					29.80
		16	800					29.74
			1100					29.83
			1200	24 37	18 50		83.0	29.74
			1800					29.75
			2000			79.5	80.0	29.78
			2400			79.5	80.0	29.76
		17	400			80.5	80.0	29.74
			600					29.76
			800			81.0	82.0	29.80
			1000					29.81
			1100					29.80
			1200	26 21	122 06	80.0	82.0	29.81
			1300					29.80
			1600			81.0	82.0	29.76
			1700					29.76
			1900					29.76
			2000			80.0	82.0	29.79
			2400			80.0	81.0	29.80
		18	500					29.78
			800			80.0	81.0	29.80
			1000					29.86
			1200	26 21		79.0	81.0	29.80
			1400					29.80
			1600			80.0	81.0	29.80
			1800					29.76
			2000			79.0	81.0	29.76
		19	400			78.0	79.0	29.78
			600					29.75
			800			78.0	78.0	29.78
			1000					29.78
			1100					29.78
			1200	30 54	123 50	79.0	78.0	29.78
			1400					29.75
			1600			80.0	80.0	29.72
			1800					29.72
			2000			80.0	79.0	29.72
			2400			79.0	80.0	29.74
		20	400			76.0	79.0	29.69
			600					29.70
			800			77.5	79.0	29.70
			1000					29.72
			1100					29.70
			1200	32 35	123 50	78.0	80.0	29.70
			1400					29.70
			1600			77.0	80.0	29.66
			1800					29.68
			2000			77.0	79.0	29.66
			2400			77.0	78.0	29.69
		21	600					29.72
			800			76.0	75.0	29.76
			1000					29.78
			1100					29.79
			1200	33 55	124 0	77.5	76.0	29.79
			1300					29.78
			1400					29.80
			1600			77.5	77.0	29.78
			1800					29.79
			2000			77.5	77.0	29.79
		22	400			77.0	75.0	29.69
			600					29.72
			800			76.0	77.0	29.71
			1000					29.71
			1100					29.75
			1200	34 44	123 55	77.0	78.0	29.75
			1400					29.74
			1600			79.0	79.0	29.75
			1800					29.73
			2000			77.0	76.0	29.73
			2400			76.0	75.0	29.74
		23	400			76.0	75.0	29.76
			800			77.0	77.0	29.78
			1000					29.80
			1200	35 06	123 06	78.0	79.0	29.80
			1400					29.79
			1600			78.0	81.0	29.79
			1800					29.78
			2000			77.5	78.0	29.76
			2400			76.0	77.0	29.77
		24	800			76.5	77.0	29.75
			900					29.77
			1000					29.82
			1100					29.86
			1200	36 27	123 01	73.0	75.0	29.88
			1400					29.70
			1600			74.0	76.0	29.69
			1800					29.70
			2000			72.0	75.0	29.70
		25	400			71.0	70.0	29.70
			800			66.0	71.0	29.70
			1000					29.70
			1100					29.70
			1200	37 82	122 37	73.0	74.0	29.70
			1400					29.70
			1600			72.0	77.0	29.66
			1800					29.66
			2000			72.0	76.0	29.61
			2400			75.0	75.0	29.61
		26	400			72.0	74.0	29.61
			800			72.0	74.0	29.61
			1000					29.62
			1100					29.62
			1200	38 07	122 0	72.0	74.0	29.62
			1400					29.62
			1600			66.0	76.0	29.59
			1800					29.60
			2000			68.0	73.5	29.60
			2400			74.0	75.0	29.60
		27	800			77.5	77.0	29.69
			1000					29.69
			1100					29.70
			1200	Gulf of Petchelee		76.0	76.0	29.70
			1400					29.68
			1600			77.0	76.0	29.61
			1800	Anchored				29.61
			2000			82.0	77.0	29.80
			2200					29.84
		28	400			80.5	80.0	29.70
			800			82.0	82.5	29.63
			1000					29.61
			1100					29.62
			1200			82.5	83.5	29.60
			1400					29.60
			1600			82.0	81.0	29.61
			1800					29.62
			2100			82.0	83.0	29.61
			2400			82.0	80.0	29.60
		29	400			81.5	79.0	29.59
			800			82.0	82.0	29.60
			1100					29.62
			1200	"Mouth of Pei-ho River, Yellow Sea"		84.0	82.0	29.60
			1400					29.59
			1600			84.5	83.0	29.53
			1800					29.55
			2000			82.0	82.5	29.55
			2400			82.0	80.0	29.63
		30	800			82.0	82.0	29.50
			1000					29.63
			1100					29.63
			1200	"Mouth of Pei-ho River, Yellow Sea"			81.0	29.62
			1400					29.65
			1600			84.0	81.0	29.65
			1800					29.60
			2000			83.5	82.0	29.61
			2400			82.0	83.0	29.63
		31	800			82.0	83.0	29.62
