	S.M.S. PLANET 1906/1907							

Pg. 3								

YEAR	MONTH	DAY	HOUR	LAT	LONG	BAR	TEMP (C)	SST
1906	1	22	800			772.3	0.1	
			1200	53 40	5 32 E	774.2	4.8	
			1600			775.7	2.2	
			2000			776.3	1.5	
			2400			777.8	1.6	
		23	400			778.6	1.2	
			800			779.1	1.1	
			1200	51 8	2 9	779.2	2.3	
			1600			779.0	6.8	
			2000			779.2	2.2	
			2400			778.2	3.0	
		24	400			778.2	3.7	
			800			777.4	3.9	
			1200	49 46	2 0 W	776.5	5.2	
			1600			773.7	5.8	
			2000			772.3	6.3	
			2400			771.3	8.0	
		25	400			767.5	9.5	
			800			765.0	9.5	
			1200	48 36	5 11	764.0	10.6	
			1600			763.0	10.2	
			2000			763.9	10.6	
			2400			763.8	11.2	
		26	400			765.1	10.2	11.3
			800			767.3	10.6	11.4
			1200	46 52	7 5	768.4	11.2	12.0
			1600			769.0	11.3	11.9
			2000			769.5	11.2	13.0
			2400			771.0	11.2	13.0
		27	400			770.9	11.0	13.0
			800			770.5	11.3	12.7
			1200	44 19	9 17	770.8	11.6	13.0
			1600			769.6	11.0	13.0
			2000			769.3	11.3	12.9
			2400			769.7	11.3	13.2
		28	400			769.4	11.3	14.0
			800			769.4	11.3	13.9
			1200	41 19	11 31	770.0	13.7	14.0
			1600			769.7	15.1	14.4
			2000			770.3	12.8	14.7
			2400			770.9	12.8	14.6
		29	400			771.1	12.7	14.0
			800			771.1	15.3	14.9
			1200	38 50	9 32	771.5	17.5	14.9
			1600			771.5	17.5	14.8
			2000			772.2	16.4	14.7
			2400			771.7	11.3	12.2
	2	3	1200	38 38	9 13	770.0	17.5	13.0
			1600			768.7	17.5	14.5
			2000			768.2	13.5	14.8
			2400			766.0	13.3	14.7
		4	400			763.0	13.0	14.7
			800			762.5	13.5	15.5
			1200	35 58	7 54	761.0	14.0	16.8
			1600			760.2	16.2	16.2
			2000			760.2	13.8	16.5
			2400			760.5	13.2	15.5
		5	400			760.2	13.3	15.6
			800			761.2	13.6	15.8
			1200	34 25	11 33	761.8	14.3	16.0
			1600			761.8	14.2	16.0
			2000			763.2	14.4	16.2
			2400			764.0	14.2	16.0
		6	400			763.4	14.1	16.5
			800			765.7	14.9	16.8
			1200	33 3	14 36	766.2	15.1	17.0
			1600			766.7	13.9	17.0
			2000			767.8	14.5	17.0
			2400			767.9	14.8	
		7	400			767.9	15.2	17.1
			800			768.8	15.2	17.2
			1200	31 23	17 40	769.4	16.6	17.6
			1600			768.5	16.0	17.7
			2000			770.0	15.5	17.7
			2400			770.1	16.1	17.7
		8	400			769.4	15.6	17.5
			800			770.5	16.6	18.4
			1200	30 1	20 47	770.2	18.0	18.6
			1600			770.9	19.5	17.4
			2000			771.8	17.2	18.0
			2400			770.9	17.3	17.2
		9	400			771.1	17.7	17.7
			800			771.9	17.8	18.5
			1200	27 16	21 34	771.3	19.0	17.0
			1600			769.6	19.9	19.3
			2000			770.2	18.1	19.5
			2400			770.1	18.0	19.4
		10	400			768.6	18.3	19.5
			800			768.5	17.2	19.8
			1200	24 20	22 37	767.1	20.7	19.9
			1600			765.8	18.0	19.0
			2000			768.0	17.3	19.6
			2400			766.7	16.9	19.4
		11	400			765.9	18.1	19.5
			800			766.7	19.2	18.6
			1200	22 3	22 27	766.9	21.9	20.9
			1600			764.2	20.2	20.0
			2000			764.9	18.3	19.5
			2400			765.8	18.6	19.3
		12	400			763.0	18.0	19.1
			800			764.3	19.3	19.6
			1200			764.5	18.8	20.4
			1600			763.2	18.1	19.9
			2000			765.0	18.0	19.5
			2400					19.2
		13	400			763.2	19.0	21.0
			800			764.0	20.1	22.0
			1200	17 25	24 27	764.1	24.2	23.0
			1600			761.5	23.7	21.9
			2000			762.0	20.0	21.0
			2400			762.1	20.0	21.2
		17	1200	Porto Grande		763.9	20.8	20.4
			1600			762.6	21.8	20.5
			2000			763.5	19.8	20.3
			2400			763.5	19.8	21.0
		18	400			762.7	19.8	21.4
			800			763.6	20.6	21.6
			1200	14 56	24 35	762.9	22.2	21.7
			1600			761.8	22.8	21.7
			2000			762.5	20.6	21.6
			2400			762.6	20.6	21.0
		19	400			761.9	20.5	21.7
			800			763.4	20.7	22.8
			1200	13 17	23 30	763.4	21.7	23.9
			1600			761.7	22.0	23.8
			2000			762.7	21.9	23.0
			2400			762.5	21.6	23.2
		20	400			762.4	21.2	23.0
			800			762.9	22.5	23.5
			1200	11 8	22 7	762.0	23.2	
			1600			762.0	23.3	23.8
			2000			762.0	23.2	24.8
			2400			762.0	23.3	24.4
		21	400			761.3	23.8	24.5
			800			762.5	24.6	24.5
			1200	9 52	19 55	761.8	24.6	25.9
			1600			759.5	24.4	27.1
			2000			760.9	25.0	27.0
			2400			762.4	24.5	26.9
		22	400			760.8	24.6	26.2
			800			763.3	25.8	27.0
			1200	7 57	17 18	762.8	26.8	27.4
			1600			760.9	26.7	28.0
			2000			762.6	27.5	27.7
			2400			762.3	26.4	27.2
		23	400			760.8	26.3	27.5
			800			762.7	27.7	27.8
			1200	6 51	15 15	762.0	27.3	27.5
			1600			761.5	27.1	27.6
			2000			761.7	26.8	27.2
			2400			761.7	26.3	27.2
		24	400			760.6	26.1	28.6
			800			760.9	28.1	
			1200	Freetown		761.5	30.6	28.9
			1600			759.8	27.5	28.6
			2000			760.8	26.6	28.3
			2400			761.8	26.1	28.1
		28	1200			761.0	29.5	29.6
			1600			758.8	28.4	28.7
			2000			758.9	27.3	27.5
			2400			760.1	27.0	27.2
	3	1	400			759.7	26.4	27.1
			800			760.8	26.9	27.1
			1200	7 20	13 55	760.2	29.0	28.2
			1600			758.6	29.0	28.6
			2000			758.9	27.7	27.8
			2400			759.7	28.0	27.7
		2	400			758.4	27.9	27.8
			800			760.4	28.9	28.0
			1200	6 6	11 54	759.6	30.3	28.2
			1600			758.9	29.0	29.5
			2000			760.8	28.2	29.1
			2400					29.0
		3	400			759.8	28.0	28.6
			800			761.2	28.6	28.8
			1200	4 50	10 11	759.9	30.0	29.5
			1600			758.1	29.5	29.4
			2000			760.3	28.7	29.1
			2400			760.8	28.1	29.0
		4	400			760.0	27.8	28.5
			800			761.0	26.5	28.5
			1200	3 50	8 31	760.1	29.2	28.3
