SIX-HOURLY OBSERVATIONS ABOARD THE U.S.S BEAR - 20/12/1939 TO 29/02/1940							
							
YEAR	MONTH	DAY	LAT - S	LONG - W	TIME	BAROMETER	SST
1939	12	20	33.7	1.8	0	30.36	63
		20	34.6	2.4	6	30.36	64
		20	35.1	2.9	12	30.27	62
		20	35.9	3.4	18	30.25	62
		21	36.7	3.9	0	30.12	62
		21	37.4	4.5	6	30.04	61
		21	38.1	5.2	12	29.92	61
		21	38.9	5.8	18	29.92	64
		22	39.6	6.5	0	29.88	59
		22	40.2	7.3	6	29.79	59
		22	40.9	7.9	12	29.72	55
		22	41.5	8.5	18	29.76	54
		23	42.0	9.0	0	29.76	52
		23	42.5	9.5	6	29.79	50
		23	43.7	10.6	12	29.73	51
		23	44.4	11.3	18	29.77	50
		24	45.0	11.6	0	29.74	48
		24	45.7	11.9	6	29.75	47
		24	46.5	12.2	12	29.72	45
		24	47.2	12.6	18	29.75	45
		25	47.9	13.0	0	29.73	46
		25	48.6	13.7	6	29.71	48
		25	49.3	14.3	12	29.59	48
		25	50.1	14.0	18	29.49	48
		26	50.9	15.6	0	29.36	45
		26	51.8	16.3	6	29.31	42
		26	52.6	17.0	12	29.15	41
		26	53.4	17.3	18	28.99	42
		27	54.1	17.5	0	29.17	39
		27	54.7	17.7	6	29.31	37
		27	55.3	17.9	12	29.34	30
		27	55.7	18.4	18	29.47	28
		28	56.1	18.9	0	29.57	30
		28	56.6	19.4	6	29.60	33
		28	57.2	19.7	12	29.52	39
		28	57.6	20.1	18	29.44	37
		29	58.0	20.6	0	29.20	37
		29	58.4	21.2	6	29.02	37
		29	58.7	21.9	12	29.32	30
		29	59.0	22.3	18	29.46	32
		30	59.5	22.5	0	29.55	32
		30	60.0	22.8	6	29.59	29
		30	60.7	23.1	12	29.54	33
		30	61.4	23.7	18	29.45	25
		31	62.1	24.4	0	29.46	30
		31	62.8	25.1	6	29.42	29
		31	63.5	25.7	12	29.36	32
		31	64.0	26.7	18	29.23	31
1940	1	1	64.0	27.8	0	29.27	31
		1	64.0	28.9	6	29.45	29
		1	64.0	30.0	12	29.58	26
		1	63.9	30.5	18	29.65	27
		2	63.2	30.2	0	29.62	29
		2	62.9	31.9	6	29.63	31
		2	62.9	33.8	12	29.54	29
		2	63.0	35.2	18	29.61	31
		3	63.1	36.9	0	29.72	29
		3	63.2	38.7	6	29.83	29
		3	63.3	40.5	12	29.88	29
		3	63.4	42.3	18	29.83	31
		4	63.5	44.1	0	29.66	31
		4	63.3	46.5	6	29.52	33
		4	63.1	47.7	12	29.51	33
		4	62.9	48.8	18	29.49	30
		5	62.5	49.1	0	29.50	31
		5	62.3	50.2	6	29.51	33
		5	62.3	51.3	12	29.62	31
		5	62.5	52.5	18	29.66	32
		6	62.6	53.9	0	29.79	32
		6	62.7	55.2	6	29.88	30
		6	63.0	57.0	12	29.92	32
		6	63.5	57.6	18	29.96	33
		7	64.2	58.6	0	29.97	34
		7	64.9	59.8	6	29.84	34
		7	65.5	60.5	12	29.64	33
		7	66.1	61.5	18	29.53	33
		8	66.8	62.6	0	29.44	31
		8	67.5	63.7	6	29.42	30
		8	68.1	65.0	12	29.36	31
		8	68.7	66.0	18	29.24	29
		9	69.5	66.3	0	29.16	29
		9	69.6	67.9	6	29.05	29
		9	69.5	69.5	12	29.12	27
		9	69.5	71.0	18	29.11	27
		10	69.8	73.2	0	29.22	25
		10	69.9	74.3	6	29.29	26
		10	69.7	76.0	12	29.40	24
		10	69.6	78.2	18	29.32	26
