1872	12	1	400			28.925	48.3	47.3	
			800			29.046	46.8	46.8	
			1200	Sheerness		29.112	49.3	48.3	
			1600			29.199	47.8	46.8	
			2000			29.388	46.3	45.8	
			2400			29.388	45.8	44.8	
		2	400						
			800			29.564	45.8	45.8	
			1200	Sheerness		29.544	48.8	47.8	
			1600			29.453	48.3	46.8	
			2000			29.474	47.8	46.8
			2400			29.418	46.8	45.8
		3	400			29.389	46.3	45.8
			800			29.389	46.3	45.8
			1200	Sheerness		29.418	45.8	44.8
			1600			29.466	45.8	45.8
			2000			29.449	44.8	43.8
			2400			29.494	43.3	42.8
		4	400			29.597	43.3	41.8
			800			29.663	40.8	39.8
			1200	Sheerness		29.720	42.8	41.8
			1600			29.843	39.8	38.8
			2000			29.863	36.8	36.8
			2400			29.888	35.8	34.8
		5	400			29.968	34.8	33.8
			800			29.993	31.8	30.8
			1200	Sheerness		29.971	37.8	35.8
			1600			29.858	45.8	44.8
			2000			29.716	47.8	46.8
			2400			29.497	44.8	43.8
		6	400			29.434	46.8	45.8
			800			29.464	44.8	43.8
			1200	Sheerness		29.500	47.8	45.8
			1600					
			2000			29.450	44.8	44.8
			2400			29.367	45.8	44.8
		7	800			29.358	40.8	40.3
			1100	Proceeded from Sheerness				
			1600			29.547	47.8	45.8
			1800	Anchored at Dungeness				
			2000			29.535	48.8	47.8
			2400	50 41 N	0 41 E	29.584	44.8	43.8
		8	400			29.534	44.8	43.8
			800			29.628	47.8	45.8
			1200			29.610	50.8	48.8
			1400			29.526	48.8	48.8
			1600	Lay to off Beachy Head		29.398	50.3	49.3
			1800			29.115		
			2000			29.085	51.8	49.8
			2200			29.055	48.8	46.8
			2400	51 5	1 20	29.077	46.8	45.8
		9	200			29.005	47.8	46.8
			400			29.003	47.8	46.8
			600			29.013	47.3	46.8
			800			29.041	47.8	45.8
			1000			29.120	47.8	45.3
			1200			29.133	47.8	45.3
			1240	Anchored in Downs				
			1400			29.120	47.8	45.8
			1600			29.137	45.8	43.8
			1800			29.126	43.8	42.8
			2000			29.159	43.8	42.8
			2200			29.189	41.8	40.8
			2400	50 51	0 59	29.189	42.8	40.8
		10	200			29.213	42.8	41.8
			400			29.216	41.8	39.8
			600			29.201	40.8	39.8
			745	Left Downs				
			800			29.171	43.3	42.8
			1000			29.126	43.3	42.3
			1200	Portsmouth		29.055	43.8	42.8
			1400			28.840	40.8	40.3
			1600			28.646	39.3	38.8
			1800			28.589	38.8	37.8
			2000			28.679	42.8	41.8
			2200			28.903	43.8	42.8
			2400			29.033	42.8	41.8
