DATE	LATITUDE	LONGITUDE	TEMPERATURE (oF)	BAROMETER (In Hg)	COMMENTS		DATE	TEMP (oC)	Pressure (hPa)
14/05/1787	49.58	-3.38	59	30.08	"Lat=North (+ve), Long=west (-ve)"		14/05/1787	15.0	1018.5
15/05/1787	49.47	-4.38	59	30.08	All readings are taken from the Observed column where possible		15/05/1787	15.0	1018.5
16/05/1787	48.47	-6.16	61	29.91			16/05/1787	16.1	1012.8
17/05/1787	49.02	-7.43	61	30			17/05/1787	16.1	1015.8
18/05/1787	49.04	-9.05	60	30.08			18/05/1787	15.6	1018.5
19/05/1787	48.25	-10.45	60	29.44	*correctly transcribed*		19/05/1787	15.6	996.8
20/05/1787	47.57	-11.4	61	30.07			20/05/1787	16.1	1018.2
21/05/1787	47.37	-11.4	62	30.02			21/05/1787	16.7	1016.5
22/05/1787	47.02	-11.31	63	30.21			22/05/1787	17.2	1022.9
23/05/1787	45.42	-11.15	62	30.01			23/05/1787	16.7	1016.1
24/05/1787	44015	-11	63	29.93			24/05/1787	17.2	1013.4
25/05/1787	42.24	-11.49	64	30.25			25/05/1787	17.8	1024.3
26/05/1787	40.43	-12.58	64	30.23			26/05/1787	17.8	1023.6
27/05/1787	38.43	-13.87	66	30.26			27/05/1787	18.9	1024.6
28/05/1787	36.11	-14.39	66	30.15			28/05/1787	18.9	1020.9
29/05/1787	33.56	-16.02	65	30			29/05/1787	18.3	1015.8
30/05/1787	32.19	-17.13	67	30.03			30/05/1787	19.4	1016.8
31/05/1787	30.47	-16.1	69	30	note listed below		31/05/1787	20.6	1015.8
01/06/1787	29.52	-15.28	67	30.03	note listed below		01/06/1787	19.4	1016.8
02/06/1787	29.4	-15.42	71	30.02			02/06/1787	21.7	1016.5
03/06/1787					something noted about Teneriffe.		03/06/1787		
04/06/1787			72	30.1	something noted.		04/06/1787	22.2	1019.2
05/06/1787			72	30.1	docked in Teneriffe.		05/06/1787	22.2	1019.2
06/06/1787			74	30.2	docked in Teneriffe.		06/06/1787	23.3	1022.6
07/06/1787			72	30.09	docked in Teneriffe.		07/06/1787	22.2	1018.8
08/06/1787			70	30.1	docked in Teneriffe.		08/06/1787	21.1	1019.2
09/06/1787			70	30	docked in Teneriffe.		09/06/1787	21.1	1015.8
10/06/1787	28.19		72	30.02	something also noted		10/06/1787	22.2	1016.5
11/06/1787			71	30.07	off shore 5 leagues		11/06/1787	21.7	1018.2
12/06/1787	27.35	-16.19	72	30.09			12/06/1787	22.2	1018.8
13/06/1787	26.33	-17.2	72	30			13/06/1787	22.2	1015.8
14/06/1787	25.1	-18.29	73	30			14/06/1787	22.8	1015.8
15/06/1787	23.23	-19.36	74	30.01			15/06/1787	23.3	1016.1
16/06/1787	21.2	-20.53	73	30			16/06/1787	22.8	1015.8
17/06/1787	18.55	-21.47	73	30.11			17/06/1787	22.8	1019.5
18/06/1787	16.24		75	30	"data and ruled borders missing, note below."		18/06/1787	23.9	1015.8
19/06/1787	14.53		77	29.96	"data missing but with ruled borders, note below"		19/06/1787	25.0	1014.4
20/06/1787	13.29	-23.26	81	30.09			20/06/1787	27.2	1018.8
21/06/1787	11.51	-23.09	80	30.14			21/06/1787	26.7	1020.5
22/06/1787	10.44	-22.57	82	30.14			22/06/1787	27.8	1020.5
23/06/1787	9.48	-22.54	80	30.04			23/06/1787	26.7	1017.2
24/06/1787	9.02	-22.46	80	30.03			24/06/1787	26.7	1016.8
25/06/1787	8.3	-22.32	81	30.03			25/06/1787	27.2	1016.8
26/06/1787	8.45	-22.18	82	30.03			26/06/1787	27.8	1016.8
27/06/1787	8.12	-22.06	81	30.04			27/06/1787	27.2	1017.2
28/06/1787	7.29	-21.59	80	30.02			28/06/1787	26.7	1016.5
29/06/1787	7.27	-21.13	81	30.05			29/06/1787	27.2	1017.5
30/06/1787	7.19	-20.51	82	30.04			30/06/1787	27.8	1017.2
01/07/1787	6.48	-20.25	81	30.07			01/07/1787	27.2	1018.2
02/07/1787	6.32	-21.02	81	30.06			02/07/1787	27.2	1017.8
03/07/1787	6.32	-21.56	81	30.06			03/07/1787	27.2	1017.8
04/07/1787	6.17	-22.3	81	30.08			04/07/1787	27.2	1018.5
05/07/1787	5.54	-22.5	81	30.07			05/07/1787	27.2	1018.2
06/07/1787	5.36	-21.45	81	30.01			06/07/1787	27.2	1016.1
07/07/1787	5.16	-22.32	81	30.04			07/07/1787	27.2	1017.2
08/07/1787	4.39	-23.19	80	30.07			08/07/1787	26.7	1018.2
09/07/1787	3.56	-23.57	80	30.07			09/07/1787	26.7	1018.2
10/07/1787	3.29	-21.17	79	30.06			10/07/1787	26.1	1017.8
11/07/1787	3	-25.08	79	30.06			11/07/1787	26.1	1017.8
12/07/1787	2.2	-25.41	78	30.06			12/07/1787	25.6	1017.8
13/07/1787	1.18	-26.11	79	30.06			13/07/1787	26.1	1017.8
14/07/1787	-0.18	-26.27	79	30.03			14/07/1787	26.1	1016.8
15/07/1787	-0.28	-26.43	79	30.05	"Lat=South(-ve), Long=west (-ve)"		15/07/1787	26.1	1017.5
16/07/1787	-1.24	-26.41	79	30.07			16/07/1787	26.1	1018.2
17/07/1787	-2.49	-26.37	79	30.07			17/07/1787	26.1	1018.2
18/07/1787	-4.18	-26.26	80	30.06			18/07/1787	26.7	1017.8
19/07/1787	-6.03	-27.24	81	30.07			19/07/1787	27.2	1018.2
20/07/1787	-6.57	-27.26	80	30.07			20/07/1787	26.7	1018.2
21/07/1787	-8.03	-27.44	80	30.08			21/07/1787	26.7	1018.5
22/07/1787	-9.08	-28.08	79	30.09			22/07/1787	26.1	1018.8
23/07/1787	-10.03	-28.06	77	30.13			23/07/1787	25.0	1020.2
24/07/1787	-11.51	-26.31	78	30.17			24/07/1787	25.6	1021.6
25/07/1787	-13.27	-26.4	76	30.2			25/07/1787	24.4	1022.6
26/07/1787	-14.07	-27.02	76	30.2			26/07/1787	24.4	1022.6
27/07/1787	-16.36	-27.34	75	30.2			27/07/1787	23.9	1022.6
28/07/1787	-18.1	-28.17	74	30.22			28/07/1787	23.3	1023.2
29/07/1787	-19.37	-29.56	73	30.24			29/07/1787	22.8	1023.9
30/07/1787	-20.42	-31.12	74	30.26			30/07/1787	23.3	1024.6
31/07/1787	-21.55	-32.36	74	30.24			31/07/1787	23.3	1023.9
01/08/1787	-22.41	-34.06	74	30.17			01/08/1787	23.3	1021.6
02/08/1787	-23.04	-36.48	75	30.1			02/08/1787	23.9	1019.2
03/08/1787	-23.14				"data missing, reached Rio Jameiro"		03/08/1787		
04/08/1787	-23.17		72	30.26	"data missing, not below. Reached Rio Jameiro"		04/08/1787	22.2	1024.6
05/08/1787			71	30.26	"data missing, note below"		05/08/1787	21.7	1024.6
06/08/1787			74	30.1	anchored off of Rio Jameiro		06/08/1787	23.3	1019.2
07/08/1787					anchorded in Rio Jameiro		07/08/1787		
08/08/1787					anchorded in Rio Jameiro		08/08/1787		
09/08/1787					anchorded in Rio Jameiro		09/08/1787		
10/08/1787					anchorded in Rio Jameiro		10/08/1787		
11/08/1787					anchorded in Rio Jameiro		11/08/1787		
12/08/1787					anchorded in Rio Jameiro		12/08/1787		
13/08/1787					anchorded in Rio Jameiro		13/08/1787		
14/08/1787					anchorded in Rio Jameiro		14/08/1787		
15/08/1787					anchorded in Rio Jameiro		15/08/1787		
16/08/1787					anchorded in Rio Jameiro		16/08/1787		
17/08/1787					anchorded in Rio Jameiro		17/08/1787		
18/08/1787					anchorded in Rio Jameiro		18/08/1787		
19/08/1787					anchorded in Rio Jameiro		19/08/1787		
20/08/1787					anchorded in Rio Jameiro		20/08/1787		
21/08/1787					anchorded in Rio Jameiro		21/08/1787		
22/08/1787					anchorded in Rio Jameiro		22/08/1787		
23/08/1787					anchorded in Rio Jameiro		23/08/1787		
24/08/1787					anchorded in Rio Jameiro		24/08/1787		
25/08/1787					anchorded in Rio Jameiro		25/08/1787		
26/08/1787					anchorded in Rio Jameiro		26/08/1787		
27/08/1787					anchorded in Rio Jameiro		27/08/1787		
28/08/1787					anchorded in Rio Jameiro		28/08/1787		
29/08/1787					anchorded in Rio Jameiro		29/08/1787		
30/08/1787					anchorded in Rio Jameiro		30/08/1787		
31/08/1787					anchorded in Rio Jameiro		31/08/1787		
01/09/1787					anchorded in Rio Jameiro		01/09/1787		
02/09/1787					anchorded in Rio Jameiro		02/09/1787		
03/09/1787					anchorded in Rio Jameiro		03/09/1787		
04/09/1787					anchorded in Rio Jameiro		04/09/1787		
05/09/1787	-23.18		73	30.09			05/09/1787	22.8	1018.8
06/09/1787	-24.33	-42.22	73	30.07			06/09/1787	22.8	1018.2
07/09/1787	-25.46	-40.34	74	30.09			07/09/1787	23.3	1018.8
08/09/1787	-25.56	-39.24	70	30.21			08/09/1787	21.1	1022.9
09/09/1787	-26.08	-37.57	68	30.26			09/09/1787	20.0	1024.6
10/09/1787	-25.55	-36.55	68	30.22			10/09/1787	20.0	1023.2
11/09/1787	-27.07	-36.55	71	30.16			11/09/1787	21.7	1021.2
12/09/1787	-28.42	-35.52	71	30.14			12/09/1787	21.7	1020.5
13/09/1787	-29.34	-33.44	70	30.14			13/09/1787	21.1	1020.5
14/09/1787	-30.28	-32.1	70	30.13			14/09/1787	21.1	1020.2
15/09/1787	-30.37	-31.54	68	30.21			15/09/1787	20.0	1022.9
16/09/1787	-30.54	-31.13	70	30.25			16/09/1787	21.1	1024.3
17/09/1787	-31.36	-29.1	68	30.17			17/09/1787	20.0	1021.6
18/09/1787	-32.01	-26.43	66	30.14			18/09/1787	18.9	1020.5
19/09/1787	-32.1	-24.59	60	30.13			19/09/1787	15.6	1020.2
20/09/1787	-31.55	-23.1	60	30.22			20/09/1787	15.6	1023.2
21/09/1787	-32.07	-23.1	59	30.35			21/09/1787	15.0	1027.7
22/09/1787	-33.04	-22.06	60	30.28			22/09/1787	15.6	1025.3
23/09/1787	-33.38	-20.2	63	29.96			23/09/1787	17.2	1014.4
24/09/1787	-34.08	-17.29	57	29.94			24/09/1787	13.9	1013.8
25/09/1787	-34.26	14.27	54	29.4	29.43		25/09/1787	12.2	995.5
26/09/1787	-34.2	-11.25	57	30.2			26/09/1787	13.9	1022.6
27/09/1787	-34.25	-8.2	60	30.26			27/09/1787	15.6	1024.6
28/09/1787	-34.25	-4.54	62	29.96			28/09/1787	16.7	1014.4
29/09/1787	-34.25	-2.43	59	30.01			29/09/1787	15.0	1016.1
30/09/1787	-34.05	-1.57	56	30.04			30/09/1787	13.3	1017.2
01/10/1787	-34.42	0.22	60	29.97	"Lat=South (-ve), Long=East (+ve)"		01/10/1787	15.6	1014.8
02/10/1787	-35.1	1.41	60	30.17			02/10/1787	15.6	1021.6
03/10/1787	-35.2	2.11	62	30.22			03/10/1787	16.7	1023.2
04/10/1787	-35.35	3.42	64	30.14			04/10/1787	17.8	1020.5
05/10/1787	-35.34	4.43	63	30.22			05/10/1787	17.2	1023.2
06/10/1787	-36.16	5.06	64	30.2			06/10/1787	17.8	1022.6
07/10/1787	-36.5	5.37	62	29.93			07/10/1787	16.7	1013.4
08/10/1787	-36.56	7.39	60	29.97			08/10/1787	15.6	1014.8
09/10/1787	-36.06	9.42	60	29.99			09/10/1787	15.6	1015.5
10/10/1787	-35.27	12.37	60	30.46			10/10/1787	15.6	1031.4
11/10/1787	-35	14.42	60	30.41			11/10/1787	15.6	1029.7
12/10/1787	-34.2	16.13	62	30.23			12/10/1787	16.7	1023.6
13/10/1787	-34		63	30.05	"data missing, note added"		13/10/1787	17.2	1017.5
14/10/1787			61	30.06	"Anchored in Table Bay, Cape of Good Hope."		14/10/1787	16.1	1017.8
15/10/1787			61	30.06	"Anchored in Table Bay, Cape of Good Hope."		15/10/1787	16.1	1017.8
16/10/1787			62	30.16	"Anchored in Table Bay, Cape of Good Hope."		16/10/1787	16.7	1021.2
17/10/1787			62	30.16	"Anchored in Table Bay, Cape of Good Hope."		17/10/1787	16.7	1021.2
18/10/1787			69	30.06	"Anchored in Table Bay, Cape of Good Hope."		18/10/1787	20.6	1017.8
19/10/1787			76	30.01	*correctly transcribed*		19/10/1787	24.4	1016.1
