	TEMPERATURE (Noon)	CONVERSION (oC)	BAROMETER	Pressure (hPa)	COMMENTS
20/01/1788	74	23.33	30.20	1022.6	
21/01/1788	75	23.89	30.21	1022.9	
22/01/1788	74	23.33	30.21	1022.9	
23/01/1788	74	23.33	30.17	1021.6	
24/01/1788	75	23.89	29.97	1014.8	
25/01/1788	70	21.11	29.98	1015.1	
26/01/1788	70	21.11	29.98	1015.1	
27/01/1788	74	23.33	30.00	1015.8	
28/01/1788	74	23.33	29.9	1012.4	
29/01/1788	70	21.11	29.97	1014.8	
30/01/1788	72	22.22	29.86	1011.1	
31/01/1788	80	26.67	29.62	1002.9	
01/02/1788	72	22.22	29.98	1015.1	
02/02/1788	73	22.78	29.9	1012.4	
03/02/1788	73	22.78	29.9	1012.4	
04/02/1788	74	23.33	29.95	1014.1	
05/02/1788	74	23.33	29.4	995.5	
06/02/1788	74	23.33	29.48	998.2	
07/02/1788	74	23.33	29.6	1002.3	
08/02/1788	76	24.44	29.9	1012.4	
09/02/1788	76	24.44	29.96	1014.4	
10/02/1788	76	24.44	29.5	998.9	
11/02/1788	73	22.78	29.53	999.9	
12/02/1788	75	23.89	29.46	997.5	
13/02/1788	75	23.89	29.68	1005.0	
14/02/1788	67	19.44	29.8	1009.0	
15/02/1788	67	19.44	30.2	1022.6	
16/02/1788	65	18.33	30.27	1024.9	
17/02/1788	73	22.78	29.94	1013.8	
18/02/1788	77	25.00	29.93	1013.4	
