																																					
	Outward journey																																				
																																					
	Temperature air						Temperature mer						Atmospheric pressure						Wind Direction						Wind force						Clouds						Remarks
DATE	4am	8am	12pm	16pm	20pm	24am	4am	8am	12pm	16pm	20pm	24am	4am	8am	12pm	16pm	20pm	24am	4am	8am	12pm	16pm	20pm	24am	4am	8am	12pm	16pm	20pm	24am	4am	8am	12pm	16pm	20pm	24am	
27-Jan-04			10.1	9.3	9	8.5			8.7	8.5	8.6	8.3			758.4	758.6	758.4	757.6			C	C	C	C			0	0	0	0			10	10	9	10	
28-Jan-04	8.3	8.7	9.1	7.5	6.9	6.7	8	8.9	8.5	7.5	7	6.4	755.8	752.6	750.4	750.8	751.8	752.7	N	NNW	W	WSW	WSW	WSW	2	2	6	4	3TO4	2TO3	10	10	10	10	10	10	
29-Jan-04	6.3	6.5	6.9	5.6	5.9	3	6.3	6.3	6.2	4.7	4.5	2.3	752.1	751	748	743.2	736.8	736.5	WSW	W	NW	NNW	NW	WSW	2	2	2	2	3	6TO8	10	10	10	10	10	10	
30-Jan-04	4.5	4.6	4.9	5	3.8	3	4.5	4.4	4.8	3.5	2.9	2.3	738.8	741.8	744.4	747.3	749.2	749.8	WSW	WSW	WSW	WSW	WSW	WSW	6TO8	6TO7	4TO5	3	1	2	10	10	5	0	5	6	
31-Jan-04	2.5	2.7	2.9	3.5	2.5	2.3	2	2	2	2	1.9	2	748.8	746.8	743.1	742.9	742.7	742.7	WSW	N	NE	WSW	WNW	WNW	1	2	2	3	2	2	10	10	9	9	10	10	
1-Feb-04	2	2	2.8	2	0.9	0.5	1.8	1.5	1.5	1.4	1.1	1	743.5	743.3	742.7	741.7	742.1	742.6	NW	NW	N	N	WNW	WNW	1	1TO2	1	1	1	1	10	10	10	10	9	10	
2-Feb-04	1.3	0.8	0.9	1.8	0	0.1	0.3	0.8	1	1.8	0.8	0.9	743.4	743.6	743.4	742.1	740.4	738.9	W	C	C	C	NE	ESE	1	0	0	0	2	1	10	10	10	10	10	10	
3-Feb-04	-0.1	0.9	0.2	0.9	0.2	0	0.5	1.3	0.2	-0.1	-0.2	0.6	737.2	735.4	734.3	738.8	731.4	730.9	ESE	C	C	C	W	WNW	1	0	0	0	1	3	10	10	10	10	10	10	
4-Feb-04	-0.1	0.1	1	-0.2	1	0.2	0.7	1	1	0.8	0.8	0.6	731	730.2	730	728.7	727.8	726.5	WSW	WSW	C	ESE	NNE	NW	3	1	0	2TO3	1	1TO2	10	10	10	10	10	10	
5-Feb-04	0.5	0.4	1	1.1	0.7	-0.1	1	1	1	0.2	0.1	0.1	725.9	727.3	728	728.1	727.5	727.3	NW	WNW	WNW	WNW	WNW	WNW	1	1	2	1	1	1	10	10	9	9	9	9	Icebergs at 24am
6-Feb-04	-0.1	0	1.8	1	-1	-1.5	0.2	0.3	0.2	0.2	0.6	-1.1	727.2	727.3	728.8	730.2	731.4	732.7	C	NE	NE	NE	NE	C	0	2TO3	2TO3	2	1TO2	0	10	10	10	10	10	7	
7-Feb-04	-1.5	-1.5	1.7				-1.1	-0.5	0.4				733.7	734.6	736.2				C	W	S				0	1	1				1	9	9				
																																					
																																					
																																					
																																					
	Return journey																																				
																																					
	Temperature air						Temperature mer						Atmospheric pressure						Wind Direction						Wind force						Clouds						Remarks
DATE	4am	8am	12pm	16pm	20pm	24am	4am	8am	12pm	16pm	20pm	24am	4am	8am	12pm	16pm	20pm	24am	4am	8am	12pm	16pm	20pm	24am	4am	8am	12pm	16pm	20pm	24am	4am	8am	12pm	16pm	20pm	24am	
12-Feb-04			3.9	1.9	1.6	1			1.2	1.1	1.2	1.2			747.8	747.5	746.5	745.6			C	ESE	C	C			0	2	0	0			4	6	10	10	
13-Feb-04	0.7	0.9	0.1	0	0.1	-0.1	1	1	1	1	1	1	745.2	744.8	745.2	745.7	746.5	747.6	NE	S	N	NNW	ENE	ENE	1TO2	3	3	2	1	1	10	10	10	10	9	4	
14-Feb-04	-0.4	1.9	2	1	1.1	2.4	1.2	1.2	2.7	1.8	2	2	749.3	751.3	752.9	754	755.2	755.6	ENE	NE	NW	W	WSW	WSW	0TO1	1	1	2	4	4	10	8	9	10	7	10	Icebergs at 16pm
15-Feb-04	0.5	0.6	1.2	0.8	0.7	2	3	2.9	2.2	2.8	2.6	2.8	756	757.2	757.6	757.7	757.5	756.2	W TO WNW	W	C	WSW	WSW	SW	2	2	0	1	4	4	10	10	10				
16-Feb-04	2	2	2.3	2.2	2.2	3	2.7	2.8	1.9	3.2	3.2	3.4	756.2	756.9	757.8	758.7	759.4	759.5	SW	SW	SW	SSW	SW	SW	4TO5	5	6	5	7	5	10						
17-Feb-04	2.1	4	4.5	5.9	5.8	5.2	4.2	4.2	5.8	5.8	6	5	760	759.7	758.6	759.5	760.1	761.8	WSW	WSW	NW	WNW	W	WSW	4	2	3	6	8	5	10	10	10	10			
18-Feb-04	5.2	5.9	5.6	6.2	6.7	7.8	6	6	6.5	7	7.2	7.3	764.2	765.8	766	766	765	763.2	WSW	WSW	W	NW	NNW	NW	6	2	3	7	7	4	10	10					
19-Feb-04	8.2	8.7	10	10.5	9.4	9.2	7.8	7.6	8.3	9.5	9.2	9	760.5	758.8	757.1	756.7	757.1	756.1	NW	NW	NW	WNW	WSW	WSW	4	5	4	7	6	3	10			9	10	7	
20-Feb-04	9.4	7.9	8.6				9	9	9.1				754.3	754.3	753.1				W	W	WSW				4	4TO8	6TO8				7	10	10				
