DATE	1pm	2pm	3pm	4pm	5pm	6pm	7pm	8pm	9pm	10pm	11pm	12pm	1am	2am	3am	4am	5am	6am	7am	8am	9am	10am	11am
1-Feb-04	742.8	743	743.2	743.5	743.4	743.3	743.2	743.3	743.4	743.2	743	742.7	742.5	742.3	741.8	741.7	741.6	741.7	741.8	742.1	741.9	742.4	742.6
2-Feb-04	742.7	742.9	743.1	743.4	743.5	743.6	743.8	743.6	743.5	743.5	743.6	743.4	743.4	743	742.8	742.1	741.8	741.5	741.1	740.4	739.9	739.8	738.9
3-Feb-04	738.8	738.4	737.7	737.2	736.9	736.4	736.2	735.4	735.4	734.9	734.7	734.3	733.9	733.3	733.2	732.8	732.5	732.1	731.9	731.4	731.1	731	730.9
4-Feb-04	730.9	731	731.1	731	730.9	730.8	730.4	730.2	730.1	729.9	730	730	729.8	729.4	729	728.7	728.4	728.1	727.9	727.8	727.5	727	726.5
5-Feb-04	726.4	726.2	726.3	725.9	725.9	726.6	727	727.3	727.5	727.8	727.9	728	728.2	728.2	728.2	728.1	728.1	728.2	727.8	727.5	727.5	727.6	727.3
6-Feb-04	727.3	727.2	727.2	727.2	727.3	727.2	727.2	727.3	727.3	727.7	728.3	728.8	729.2	729.6	730	730.2	730.4	730.7	731.1	731.4	731.7	732.1	732.7
7-Feb-04	732.9	733.2	733.5	733.7	743.1	734.2	734.4	734.6	735.1	735.4	735.9	736.2	736.5	736.7	737.2	737.4	738.3	738.6	739.1	739.4	739.7	739.9	740.2
8-Feb-04	740.1	739.7	739.3	738.6	737.8	736.6	735	734	732.5	731.8	731.1	731	731	731	730.8	730.6	730.2	730.1	730	729.7	729.4	728.7	728.2
9-Feb-04	728.1	728.1	728.2	728.6	728.7	728.8	729.3	730	730.7	731.7	732.6	733.4	732.1	735.1	735.9	736.7	736.9	737.1	737.3	737.5	737.6	737.4	736.9
10-Feb-04	736.8	735.3	735.7	735.5	735.3	734.8	734.5	734.5	734.5	734.6	734.6	734.8	735.1	735.6	735.8	736.4	736.4	736.5	736.5	736.4	736.3	735.7	735
