1776 - Reprisal											

		Time	Air	Water	Distance	Latit N		Long W		Winds	Course
					miles					24 hr avg	
Oct	31	10am	76	70	135	38	12	70	30		
	31	4pm		71							
Nov	1	10am		78	109						
	1	4pm	71	81							
	2	8am	71	75	141						
	2	12pm		78							
	2	4pm	67	76	160	37	0	62	7		
	3	8pm		76							
	3	12pm		76					
	3	4pm	70	76	194	36	26	58	8
	4	9am	68	76					
	4	1pm		76					
	4	4pm	68	76					
	4	8pm		78					
	5	8am	68	76					
	5	12pm	3	75	163	35	21	55	55
	5	4pm		75					
	5	8pm		75					
	6	8am		76					
	6	12pm		77	75	35	33	53	52
	7	8am		78					
	7	12pm		77	108	36	6	52	46
	7	4pm		77					
	8	9am	75	77					
	8	12pm		77	175	38	2	50	1
	8	4pm		77					
	9	9am	75	77					
	9	12pm	75	70	175	39	39	46	55
	9	4pm		71					
	10	8am		68					
	10	12pm		64	64	40	39	46	27
	11	8am		63					
	11	12pm		61	41	41	19	46	19
	12	8am	56	59					
	12	4pm		69	120	41	39	43	42
	13	12pm		68	69	41	29	42	10
	14	8am	70	70	111	42	0	39	57
	14	12pm		72					
	14	4pm		71					
	15	8am	61	69					
	15	12pm		68	186	43	3	35	51
	15	4pm		67					
	16	12pm	65	67	48	43	22	34	50
	16	4pm		63					
	17	8am		63	56	44	15	34	25
	18	12pm		65	210	45	6	29	43
	19	12pm	65	64	238	45	46	24	2
	20	8am		62	155	45	19	20	30
	20	4pm		60					
	21	9am		62	94	45	22	18	17
	22	10am	60	62	133	45	19	15	19
	23	12pm		61	194	45	6	10	35
	24	12pm		60	191	45	46	6	10
	25	12pm		60	125	45	4	3	23
	26	12pm	56	60	31	45	13	2	20
	27	12pm		58					
	28	12pm	54	56                  
