	ABSTRACT OF THE METEOROLOGICAL JOURNAL KEPT																						
	"ON BOARD HIS MAJESTY'S SHIP, HECLA, FROM"																						
	JUNE 1824 TO SEPTEMBER 1825																						
																	TEMP IN SHADE 			SEA WATER			
YEAR	MONTH	DAY 	LAT (N)	LONG (W)	BAROMETER												REGISTERED EVERY 2 HOURS			AT SURFACE			
			1200	1200	300	400	500	900	1000	1100	1500	1600	1700	2100	2200	2300	MAX	MIN	MEAN	MAX	MIN	MEAN	
1824	11	1	PORT	BOWEN	29.889	29.887		29.878	29.885		29.917	29.917		29.915	29.915		5.0	-4.0	-1.2				
1824	11	2			29.916	29.931		29.892	29.907		29.913	29.899		29.908	29.905		5.0	1.0	2.9				
1824	11	3			29.930	29.942		29.941	29.939		29.959	29.947		29.970	29.972		6.5	4.0	5.3				
1824	11	4			30.017	30.030		30.060	30.067		30.085	30.084		30.090	30.077		10.0	4.5	7.1				
1824	11	5			30.043	30.043		30.086	30.029		30.032	30.036		30.065	30.090		12.0	1.0	9.5				
1824	11	6			30.206	30.215		30.291	30.286		30.343	30.361		30.404	30.406		-1.0	-7.0	-3.5				
1824	11	7			30.420	30.446		30.424	30.429		30.467	30.470		30.486	30.486		-8.0	-18.0	-13.1				
1824	11	8			30.445	30.465		30.363	30.335		30.192	30.203		30.217	30.220		2.0	-17.0	-6.3				
1824	11	9			30.241	30.243		30.168	30.146		30.003	29.980		29.827	29.799		8.0	-1.0	4.6				
1824	11	10			29.690	29.690		29.662	29.636		29.611	29.600		29.585	29.531		10.0	2.0	5.6				
1824	11	11			29.521	29.522		29.511	29.524		29.580	29.585		29.715	29.744		4.0	-4.0	1.1				
1824	11	12			29.807	29.812		29.837	29.842		29.850	29.853		29.885	29.892		8.5	-13.0	-11.0				
1824	11	13			29.926	29.940		29.951	29.954		30.007	30.005		30.055	30.055		-9.0	-11.0	-9.8				
1824	11	14			30.120	30.115		30.142	30.120		30.079	30.080		29.921	29.856		5.0	-14.0	-6.3				
1824	11	15			29.725	29.700		29.680	29.663		29.638	29.631		29.626	29.624		8.0	2.0	5.1				
1824	11	16			29.645	29.654		29.657	29.671		29.700	29.740		29.711	29.716		-5.0	-17.5	-13.2				
1824	11	17			29.738	29.744		29.701	29.689		29.688	29.658		29.598	29.558		-8.5	-14.0	-11.3				
1824	11	18			29.533	29.534		29.510	29.505		29.535	29.521		29.504	29.448		-9.0	-18.5	-13.1				
1824	11	19			29.489	29.491		29.544	29.540		29.624	29.625		29.692	29.710		-14.0	-21.0	-18.0				
1824	11	20			29.796	29.819		29.880	29.886		29.966	29.966		29.972	29.978		-12.5	-23.0	-19.4				
1824	11	21			29.966	29.968		29.938	29.928		29.881	29.854		29.797	29.763		-3.5	-17	-12.0				
1824	11	22			29.713	29.686		29.640	29.622		29.653	29.666		29.716	29.707		-6.0	-18.0	-13.5				
1824	11	23			29.783	29.801		29.834	29.810		29.867	29.850		29.787	29.789		-2.0	-19.0	-13.1				
1824	11	24			29.750	29.753		29.796	29.805		29.868	29.869		29.907	29.908		1.0	-15.5	-6.8				
1824	11	25			29.925	29.953		30.018	30.028		30.094	30.108		30.128	30.132		-10.0	-23.5	-16.9				
1824	11	26			30.151	30.156		30.169	30.153		30.067	30.039		29.881	29.868		7.0	-26.0	-16.1				
1824	11	27			29.879	29.878		29.874	29.861		29.812	29.791		29.772	29.757		17.0	7.0	12.1				
1824	11	28			29.808	29.814		29.839	29.943		30.010	30.022		30.002	29.995		10.5	-8.0	1.9				
1824	11	29			29.936	29.927		29.856	29.852		29.827	29.815		29.801	29.794		6.0	-3.0	2.0				
1824	11	30			29.808	29.810		29.866	29.860		29.934	29.939		30.025	30.034		3.0	-8.0	-2.5				
	MEAN				29.894	29.899		29.899	29.897		29.907	29.904		29.897	29.891		17.0	-26.0	-5.0				
					29.894	29.899		29.900	29.897		29.907	29.904		29.899	29.891	#DIV/0!	1.3	-10.0	-5.0				
1824	12	1	PORT	BOWEN	30.095	30.097		30.141	30.137		30.182	30.175		30.165	30.168		-11.0	-20.5	-16.4				
1824	12	2			30.169	30.180		30.146	30.146		30.085	30.083		30.003	29.988		-16.0	-21.0	-18.4				
1824	12	3			29.910	29.901		29.793	29.759		29.655	29.642		29.537	29.509		-12.0	-16.0	-14.3				
1824	12	4			29.491	29.481		29.515	29.522		29.629	29.650		29.749	29.753		-16.0	-20.0	-18.2				
1824	12	5			29.814	29.825		29.986	29.942		30.008	30.009		30.044	30.038		-20.0	-24.0	-21.6				
1824	12	6			30.030	30.021		29.974	29.971		29.897	29.893		29.783	29.768		-11.5	-22.0	-18.2				
1824	12	7			29.722	29.718		29.681	29.669		29.660	29.630		29.591	29.583		-4.5	-12.5	-9.3				
1824	12	8			29.572	29.582		29.566	29.566		29.592	29.578		29.624	29.479		-10.0	-19.5	-13.8				
1824	12	9			29.698	29.731		29.822	29.822		29.826	29.811		29.769	29.760		-7.0	-21.0	-15.3				
1824	12	10			29.718	29.717		29.692	29.684		29.609	29.660		29.636	29.646		-9.5	-20.0	-15.6				
1824	12	11			29.663	29.667		29.636	29.640		29.674	29.687		29.813	29.811		-6.5	-14.0	-11.1				
1824	12	12			29.877	29.895		29.901	29.887		29.840	29.840		29.773	29.779		-5.0	-17.0	-10.6				
1824	12	13			29.853	29.853		29.958	29.979		30.067	30.066		30.129	30.135		-12.0	-23.0	-20.0				
1824	12	14			30.160	30.196		30.205	30.207		30.235	30.233		30.282	30.290		-23.0	-26.5	-25.3				
1824	12	15			30.332	30.339		30.395	30.395		30.421	30.414		30.400	30.395		-26.0	-34.5	-30.5				
1824	12	16			30.368	30.380		30.316	30.296		30.253	30.248		30.178	30.159		-30.0	-35.0	-33.2				
1824	12	17			30.089	30.087		30.039	30.025		30.024	30.030		29.978	29.968		-25.5	-31.0	-28.0				
1824	12	18			29.902	29.891		29.863	29.825		29.810	29.769		29.711	29.705		-18.5	-26.0	-22.1				
1824	12	19			29.665	29.660		29.575	29.587		29.534	29.528		29.493	29.491		-13.0	-17.5	-14.8				
1824	12	20			29.561	29.530		29.553	29.556		29.641	29.656		29.747	29.757		-14.0	-28.0	-19.5				
1824	12	21			29.827	29.833		29.818	29.832		29.853	29.856		29.917	29.916		-25.0	-33	-29.2				
1824	12	22			29.941	29.953		29.958	29.962		29.943	29.951		29.917	29.908		-25.0	-30.0	-26.7				
1824	12	23			29.909	29.904		29.909	29.908		29.910	29.908		29.917	29.916		-25.0	-33.0	-30.0				
1824	12	24			29.899	29.896		29.880	29.881		29.854	29.855		29.850	29.843		-11.0	-30.0	-17.8				
1824	12	25			29.861	29.851		29.911	29.909		29.948	29.977		30.012	30.016		-14.0	-26.0	-20.6				
1824	12	26			30.046	30.072		30.087	30.078		30.084	30.089		30.080	30.074		-22.5	-27.0	-25.7				
1824	12	27			30.063	30.062		29.978	29.975		29.907	29.889		29.834	29.800		-12.0	-22.0	-16.9				
1824	12	28			29.745	29.744		29.676	29.649		29.626	29.625		29.608	29.578		-8.0	-11.0	-9.2				
1824	12	29			29.568	29.594		29.620	29.638		29.723	29.738		29.819	29.777		-8.5	-16.5	-11.8				
1824	12	30			29.791	29.788		29.730	29.738		29.728	29.716		29.723	29.718		-9.5	-16.0	-12.3				
1824	12	31			29.711	29.730		29.735	29.736		29.730	29.749		29.785	29.780		-11.0	-22.0	-14.2				
	MEAN				29.873	29.877		29.873	29.869		29.869	29.870		29.866	29.855		-4.5	-35.0	-19.1				
					29.873	29.877		29.873	29.868		29.869	29.870		29.867	29.855	#DIV/0!	-14.9	-23.1	-19.0				
1825	1	1	PORT	BOWEN	29.825	29.823		29.854	29.861		29.889	29.893		29.924	29.928		-22.0	-27.0	-24.2				
1825	1	2			29.971	29.973		29.975	29.969		29.965	29.958		29.935	29.927		-25.0	-28.0	-26.6				
1825	1	3			29.917	29.931		29.924	29.915		29.920	29.919		29.903	29.900		-26.0	-32.0	-28.6				
1825	1	4			29.853	29.960		29.763	29.742		29.628	29.604		29.510	29.489		-27.0	-32.5	-29.6				
1825	1	5			29.455	29.446		29.428	29.419		29.458	29.449		29.458	29.450		-31.5	-36.0	-33.5				
1825	1	6			29.481	29.432		29.404	29.384		29.367	29.371		29.436	29.449		-27.0	-34.0	-31.9				
1825	1	7			29.507	29.542		29.598	29.596		29.634	29.636		29.641	29.605		-32.5	-35.0	-33.9				
1825	1	8			29.548	29.533		29.480	29.479		29.488	29.484		29.470	29.439		-21.5	-32.0	-25.5				
1825	1	9			29.400	29.385		29.469	29.481		29.581	29.614		29.755	29.784		-20.5	-24.5	-22.4				
1825	1	10			29.913	29.922		30.020	30.017		30.072	30.086		30.136	30.169		-25.5	-36.0	-31.5				
1825	1	11			30.222	30.237		30.282	30.274		30.250	30.253		30.222	30.190		-35.0	-38.0	-36.9				
1825	1	12			30.142	30.144		30.120	30.100		30.078	30.074		30.014	30.007		-37.5	-39.0	-38.1				
1825	1	13			29.914	29.917		29.798	29.796		29.705	29.680		29.576	29.569		-15.0	-38.0	-24.0				
1825	1	14			29.534	29.530		29.486	29.477		29.490	29.484		29.630	29.580		-15.0	-20.0	-18.1				
1825	1	15			29.618	29.638		29.694	29.704		29.786	29.803		29.830	29.824		-20.5	-28.0	-25.7				
1825	1	16			29.842	29.844		29.836	29.827		29.845	29.810		29.841	29.827		-27.0	-34.0	-29.6				
1825	1	17			29.806	29.808		29.760	29.738		29.725	29.719		29.698	29.691		-25.0	-33.0	-28.3				
1825	1	18			29.668	29.669		29.675	29.657		29.664	29.654		29.648	29.643		-20.0	-25.0	-21.9				
1825	1	19			29.674	29.660		29.676	29.707		29.722	29.725		29.744	29.739		-14.5	-19.5	-17.7				
1825	1	20			29.702	29.702		29.627	29.604		29.523	29.496		29.411	29.403		-20.0	-27.5	-24.2				
1825	1	21			29.341	29.340		29.330	29.321		29.328	29.337		29.335	29.335		-25.0	-31	-28.5				
1825	1	22			29.334	29.352		29.358	29.373		29.444	29.454		29.489	29.490		-23.0	-31.0	-27.6				
1825	1	23			29.575	29.576		29.620	29.648		29.711	29.722		29.757	29.769		-23.0	-32.5	-27.8				
1825	1	24			29.831	29.833		29.882	29.877		29.910	29.912		29.936	29.934		-34.0	-38.0	-36.2				
1825	1	25			29.942	29.930		29.918	29.908		29.891	29.882		29.862	29.854		-37.0	-42.5	-40.1				
1825	1	26			29.836	29.838		29.809	29.807		29.791	29.798		29.834	29.835		-23.5	-42.5	-38.0				
1825	1	27			29.852	29.859		29.864	29.854		29.938	29.921		29.937	29.934		-24.0	-29.0	-26.5				
1825	1	28			29.960	29.952		29.941	29.939		29.868	29.851		29.890	29.886		-22.0	-37.0	-30.4				
1825	1	29			29.905	29.902		29.898	29.896		29.912	29.911		29.943	29.962		-27.0	-31.0	-28.3				
1825	1	30			30.017	30.025		30.060	30.069		30.092	30.096		30.074	30.060		-25.0	-32.0	-26.4				
1825	1	31			30.035	30.029		29.948	29.939		29.936	29.932		29.940	29.940		-30.0	-34.0	-31.5				
