	"Journal on the Investigator, Jan. 1801-July 1802 (Vol. 1) - Matthew Flinders"									
	"Journal on the Investigator, July 1802 - June 1803 (Vol. 2)"									
										
		"""The barometer stood in my cabin, and the height of the mercury was taken at"								
		"daybreak, at noon, and at eight in the evening, by the officer of the watch; as"								
		"well also that of the thermometer."""								

YEAR	MONTH	DAY	HOUR	LAT D.R.	LONG D.R.	BAR	THER.	WATER		
1801	6	2	1200	Into Spithead			62.5			
			1600				61.0			
			1800				57.0			
			2000				56.0			
	7	20	1200	50 12 N		30.07	69.5			
			2000			30.19				
		21	800			30.19	69.0			
			1200	49 55	3 23 W		72.0	
			1600				69.0	
			2000			30.20	61.0	
			2400				61.0	
		22	400				64.0	
			800			30.23	73.0	
			1200	49 17	5 26		64.0	
			1600				63.0	
			2000			30.23	61.0	
			2400				61.0	
		23	400				63.0	
			800			30.26	65.0	61.0
			1200	47 58	7 33		67.0	
			1600				63.0	
			2000			30.10	62.0	
			2400				63.0	
		24	400				64.0	
			800			30.11	69.0	63.0
			1200	46 23	9 16		71.0	
			1600				64.0	
			2000			30.02	62.0	
			2400				63.0	
		25	400				63.0	
			800			30.19	65.0	66.5
			1200	43 43	11 10		64.0	
			1600				63.0	
			2000			30.34	62.0	
			2400				62.0	
		26	400				64.0	
			800			30.36	74.0	65.0
			1200	41 30	12 46		66.0	
			1600				64.0	
			2000			30.22	65.0	
			2400				63.0	
		27	400				69.0	66.0
			800			30.20	69.0	
			1200	40 28	13 42		67.0	
			1600				66.0	
			2000			30.25	65.0	
			2400				68.0	
		28	400				69.0	
			800			30.19	70.0	68.5
			1200	38 39	14 50		67.0	
			1600				66.0	
			2000			30.20	66.0	
			2400				69.0	
		29	400				70.0	
			800			30.15	74.0	68.5
			1200	36 51	15 31		70.0	
			1600				69.5	
			2000			30.04	67.0	
			2400				70.0	
		30	400				75.0	
			800			30.10	82.5	71.0
			1200	34 46	16 4		71.0	
			1600				70.0	
			2000			30.06	68.0	
			2400				72.0	
		31	400				76.0	
			800			30.17	73.0	72.0
			1200	33 15	16 13		71.0	
			1600				68.0	
			2000			30.09	69.0	
			2400				72.0	
	8	1	400				76.0	
			800			30.10	74.0	75.0
			1200	32 41	16 30		73.0	
			1600				73.0	
			2000			30.14	71.0	
			2400				73.0	
		2	400				77.0	
			800			30.20	80.0	74.0
			1200	32 30	16 46		74.0	
			1600				73.0	
			2000			30.19	72.0	
			2400				74.0	
		3	400				82.0	
			800			30.23	83.0	74.0
			1200	32 24	17 9		75.0	
			1600				72.0	
			2000			30.22	71.0	
			2400				74.0	
		4	400				71.0	
			800			30.31	76.0	
			1200	Funchal Bay			71.0	
		8	1600				72.0	
			2000			30.22	71.0	
			2400				76.0	
		9	400				75.0	
			800			30.22	76.0	72.0
			1200	30 1	17 48		73.0	
			1600				72.0	
			2000			30.06	71.0	
			2400				73.0	
		10	400				83.0	
			800			30.00	76.0	72.0
			1200	27 51	18 59		73.0	
			1600				71.0	
			2000			30.03	71.0	
			2400				74.0	
		11	400				86.0	
			800			30.09	76.0	74.0
			1200	26 34	20 1		73.0	
			1600				72.0	
			2000			30.10	72.0	
			2400				75.0	
		12	400				82.0	
			800			30.13	81.0	75.0
			1200	24 30	21 13		75.0	
			1600				74.0	
			2000			30.11	73.0	
			2400				74.0	
		13	400				80.0	
			800			30.12	87.0	75.0
			1200	22 16	22 30		76.0	
			1600				75.0	
			2000			30.05	75.0	
			2400				74.0	
		14	400				82.0	
			800			30.00	93.0	75.0
			1200	19 59	23 50		78.0	
			1600				77.0	
			2000			29.95	76.0	
			2400				78.0	
		15	400				88.0	
			800			29.98	83.0	77.5
			1200	17 46	25 10		78.0	
			1600				77.0	
			2000			30.00	76.0	
			2400				84.0	
		16	400				80.0	
			800			30.04	85.0	80.0
			1200	17 4	25 24		79.0	
			1600				77.0	
			2000			30.02	76.0	
			2400				78.0	
		17	400				83.0	
			800			30.09	79.0	79.0
			1200	16 01	25 39		76.0	
			1600				77.0	
			2000			30.07	77.0	
			2400				81.0	
		18	400				83.0	
			800			30.00	83.0	80.5
			1200	14 41	25 16		80.0	
			1600				79.0	
			2000			30.02	80.0	
			2400				81.0	
		19	400				83.0	
			800	13 49	25 4	30.04	81.0	82.0
			1200				76.0	
			1600				78.0	
			2000			30.02	78.0	
			2400				77.0	
		20	400				81.0	
			800			30.04	81.0	81.0
			1200	13 24	24 44		79.0	
			1600				78.0	
			2000			30.05	78.0	
			2400				82.0	
		21	400				86.0	
			800			30.05	82.0	81.0
			1200	12 39	24 12		80.0	
			1600				80.0	
			2000			29.87	78.0	
			2400				74.0	
		22	400				81.5	
			800			30.05	82.0	80.5
			1200	11 47	23 47		79.0	
			1600				76.0	
			2000			30.05	77.0	
			2400				79.0	
		23	400				84.0	
			800			30.07	84.0	
			1200	11 33	23 41		79.0	
			1600				77.0	
			2000			29.90	76.0	
			2400				76.0	
		24	400				73.0	
			800			30.03	74.0	79.0
			1200	10 45	23 17		76.0	
			1600				77.0	
			2000			30.01	76.0	
			2400				78.0	
		25	400				79.0	
			800			30.05	78.0	79.0
			1200	10 10	22 20		77.0	
			1600				77.0	
			2000			30.04	76.0	
			2400				78.0	
		26	400				80.0	
			800			30.06	80.0	79.0
			1200	8 43	21 28		76.0	
			1600				78.0	
			2000			30.04	81.0	
			2400				79.0	
		27	400				79.0	
			800			30.07	80.0	79.0
			1200	7 35	20 26		77.0	
			1600				77.0	
			2000			30.10	77.0	
			2400				78.0	
		28	400				80.0	
			800			30.10	78.0	79.5
			1200	6 29	19 31		77.0	
			1600				77.0	
			2000			30.07	77.0	
			2400				77.0	
		29	400				78.5	
			800			30.10	77.0	79.0
			1200	5 45	18 32		76.0	
			1600				76.0	
			2000			30.08	76.0	
			2400				81.0	
		30	400				80.0	
			800			30.10	80.0	79.0
			1200	5 30	18 32		78.0	
			1600				76.0	
			2000			30.10	75.0	
			2400				76.0	
		31	400				78.0	
			800			30.14	77.0	78.0
			1200	5 3	17 40		75.0	
			1600				76.0	
			2000			30.10	75.0	
			2400				74.0	
	9	1	400				75.0	
			800			30.10	75.0	76.0
			1200	4 11	16 37		75.0	
			1600				75.0	
			2000			30.09	74.0	
			2400				76.0	
		2	400				75.0	
			800			30.08	76.0	77.0
			1200	3 51	15 24		74.0	
			1600				73.0	
			2000			30.08	73.0	
			2400				74.0	
		3	400				75.0	
			800			30.10	74.5	76.0
			1200	3 29	14 8		72.0	
			1600				72.0	
			2000			30.03	72.0	
			2400				73.0	
		4	400				75.0	
			800			30.05	76.0	76.0
			1200	3 24	14 59		73.0	
			1600				73.0	
			2000			30.04	73.0	
			2400				73.0	
		5	400				76.0	
			800			30.05	76.0	
			1200	2 58	16 13		73.0	
			1600				73.0	
			2000				73.0	
			2400				73.0	
		6	400				75.0
			800			30.07	74.0
			1200	2 15	17 31		73.0
			1600				72.0
			2000				73.0
			2400				73.0
		7	400				75.0
			800			30.09	74.0
			1200	1 34	18 48		73.0
			1600				73.0
			2000			30.07	71.0
			2400				72.0
		8	400				76.0
			800			30.10	74.0
			1200	0 34	19 45		72.0
			1600				72.0
			2000				72.0
			2400				72.0
		9	400				76.0
			800			30.10	75.0
			1200	0 27 S	20 13		73.0
			1600				71.0
			2000			30.08	73.0
			2400				74.0
		10	400				75.0
			800			30.09	76.0
			1200	0 44	21 50		77.0
			1600				73.0
			2000			30.07	73.0
			2400				75.0
		11	400				76.0
			800			30.09	74.0
			1200	0 31	23 13		74.0
			1600				73.0
			2000			30.08	74.0
			2400				74.0
		12	400				77.0
