										ABOARD NIMROD- VICINITY MCMURDO SOUND - PRESSURE - JAN TO FEB 1909					

	Hour	2	4	6	8	10	12	14	16	18	20	22	24	Mean.	
1909															
January	1	29.26	29.24	29.24	29.27	29.27	29.28	29.28	29.29	29.30	29.32	29.31	29.31	29.28	
	2	29.30	29.30	29.30	29.29	29.30	29.30	29.30	29.32	29.32	29.31	29.30	29.30	29.30	
	3	29.28	29.28	29.28	29.27	29.26	29.25	29.25	29.21	29.20	29.20	29.19	29.19	29.24	
	4	29.18	29.18	29.16	29.17	29.18	29.18	29.24	29.24	29.28	29.30	29.32	29.34	29.23	
	5	29.36	29.39	29.41	29.41	29.41	29.41	29.40	29.40	29.40	29.40	29.40	29.39	29.40	
	6	29.39	29.38	29.38	29.36	29.36	29.36	29.34	29.34	29.32	29.31	29.30	29.29	29.34	
	7	29.29	29.29	29.29	29.28	29.31	29.30	29.30	29.30	29.27	29.25	29.20	29.16	29.27	
	8	29.13	29.08	29.03	29.00	28.97	28.94	28.91	28.90	28.91	28.92	28.90	28.88	28.96	
	9	28.95	28.98	29.03	29.03	29.06	29.08	29.09	29.11	29.11	29.15	29.16	29.16	29.08	
	10	29.16	29.16	29.13	29.12	29.12	29.13	29.14	29.14	29.15	29.16	29.16	29.16	29.14	
	11	29.14	29.12	29.15	29.16	29.17	29.18	29.18	29.20	29.23	29.23	29.24	29.25	29.19	
	12	29.27	29.27	29.24	29.26	29.25	29.25	29.24	29.23	29.24	29.23	29.24	29.24	29.25	
	13	29.24	29.23	29.23	29.24	29.25	29.25	29.25	29.25	29.27	29.26	29.26	29.27	29.25	
	14	29.27	29.27	29.25	29.25	29.25	29.25	29.24	29.20	29.18	29.17	29.16	29.16	29.22	
	15	29.14	29.12	29.13	29.10	29.10	29.11	29.11	29.12	29.12	29.12	29.11	29.10	29.12	
	16	29.10	29.09	29.11	29.12	29.13	29.14	29.14	29.14	29.15	29.15	29.16	29.16	29.13	
	17	29.19	29.20	29.19	29.19	29.20	29.21	29.20	29.20	29.20	29.20	29.22	29.24	29.20	
	18	29.27	29.28	29.30	29.33	29.37	29.40	29.42	29.44	29.46	29.49	29.51	29.53	29.40	
	19	29.54	29.57	29.51	29.52	29.52	29.53	29.52	29.52	29.51	29.50	29.52	29.51	29.52	
	20	29.50	29.49	29.50	29.47	29.48	29.48	29.48	29.46	29.46	29.46	29.46	29.47	29.48	
	21	29.47	29.46	29.47	29.47	29.48	29.48	29.47	29.47	29.47	29.47	29.46	29.44	29.47	
	22	29.42	29.40	29.37	29.37	29.36	29.35	29.32	29.32	29.32	29.32	29.31	29.29	29.35	
	23	29.27	29.26	29.27	29.25	29.26	29.26	29.26	29.26	29.30	29.32	29.32	29.33	29.28	
	24	29.34	29.34	29.36	29.35	29.36	29.34	29.33	29.32	29.32	29.29	29.27	29.25	29.32	
	25	29.23	29.21	29.19	29.16	29.14	29.12	29.08	29.05	29.03	29.00	28.98	28.96	29.10	
	26	28.95	28.94	28.94	28.94	28.93	28.93	28.93	28.94	28.96	28.94	28.97	29.00	28.95	
	27	29.03	29.04	29.04	29.04	29.04	29.04	29.04	29.04	29.04	29.04	29.03	29.03	29.04	
	28	29.01	29.01	29.02	29.02	29.01	28.99	28.97	28.98	28.94	28.93	28.92	28.92	28.98	
	29	28.91	28.91	28.92	28.88	28.87	28.86	28.90	28.88	28.89	28.90	28.92	28.94	28.90	
	30	28.96	28.95	28.96	29.03	29.08	29.12	29.15	29.18	29.19	29.20	29.21	29.22	29.10	
	31	29.24	29.22	29.18	29.18	29.20	29.22	29.22	29.21	29.22	29.22	29.23	29.23	29.21	
	Mean 	29.22	29.22	29.21	29.21	29.22	29.22	29.22	29.22	29.22	29.22	29.22	29.22	29.22	
															
		29.22	29.21	29.21	29.21	29.22	29.22	29.22	29.21	29.22	29.22	29.22	29.22	29.22	
															
February	1	29.24	29.24	29.25	29.27	29.26	29.25	29.29	29.29	29.30	29.30	29.30	29.30	29.27	
	2	29.30	29.29	29.28	29.28	29.28	29.28	29.27	29.25	29.24	29.24	29.24	29.25	29.27	
	3	29.23	29.23	29.22	29.22	29.22	29.22	29.24	29.22	29.23	29.23	29.24	29.26	29.23	
	4	29.26	29.21	29.24	29.22	29.24	29.26	29.29	29.29	29.29	29.29	29.28	29.28	29.26	
	5	29.27	29.26	29.25	29.24	29.24	29.23	29.23	29.22	29.22	29.20	29.20	29.20	29.23	
	6	29.19	29.16	29.15	29.11	29.08	29.04	29.02	29.02	29.00	28.99	28.99	29.00	29.06	
