"T ABLE XXXIII—METEOROLOGICAL LOG OF S.Y. "" NIMROD,"" VOYAGE II. 1ST DECEMBER, 1908, TO 25TH MARCH, 1909."								
Time		Barometer	Temperature			Wind		"Position, Maximum and Minimum Temperature, Remarks, &c."
Day	Hour LMT		Dry	Wet	Sea	Direction	Force	
			° F		° F			
"December, 1908"								
1	20					SSW	2-3	"15.40, passed through entrance to Lyttelton Harbour."
	24					SSW	2	Fine.
2	4	30.06				SW	3	Fine; clear. Ci-Cu to E.
	8	30.09				WSW		
	12	30.09				WSW	3	"44° 46' S, 172° 40' E."
	16	30.06				SSW	1	
	20	30.05				SSW	2	"Clouds 9; Ci and Ci-Cu from NE, slow."
	24	30.04				SSW	1	
3	4	30.07	51.1	50.1		SW	1	Fine; clear. SW swell. Dew falling.
	8	30.10	52.9	49.9		SW		
	12	30.17	52.5	49.8		SSW	4	"46° 36' S, 172° 07' E. Fine. Ci-Cu and Ci-S at times."
	16	30.17	52.6	48.5		WSW	5	Cloudless. Mod. sea.
	20	30.22	49.8	47.2		WSW	1	Fine.
	24	30.26	49.0	46.0		WSW	2	Max. 54.6° F.
4	4	30.27	48.1	45.1		W x S	3	Fine; clear. Westerly sea.
	8	30.30	49.2	47.0		W	1	Fine.
	12	30.29	50.5	48.3		W	1	"47° 23' S, 172° 52' E. Westerly swell."
	16	30.27	52.8	49.3		WNW	2	Cloudless; heavy dew.
	20	30.25	49.2	47.5		NW	1	
	24	30.22	49.4	48.0		NW	2	"Max, 52.9° F., Min. 45.6° F. Fine; heavy dew."
5	4	30.10	49.0	47.9		N	3-4	"Fine; clear. Aurora to S at 02.00 hrs; arc meeting horizon in points bearing S and SW x S. Altitude of highest point 6°.  03.00, aurora disappeared."
	8	30.04	49.9	49.9		NW	3	
	12	30.01	49.3	48.2		NW	4-5	"48° 46' S, 172° 50' E. Overcast; occasional rain."
	16	29.97	50.0	48.2		NW	4	Occasional light rain.
	20	29.99	47.3	45.2		NW	3	Very heavy dew.
	24	29.98	47.0	45.5		W x S	3	"Max. 50.3° F, Min. 46.0° F. Westerly swell."
6	4	29.90	46.9	44.9		W	3	Cloudy; dull.
	8	29.84	47.0	44.6		WNW	2	Heavy SW swell.
	12	29.78	47.0	46.0		NW	2	"49° 54' S, 173° 14' E. Fine; SW swell."
	16	29.66	45.6	44.7		N	2-3	Dull; cloudy; light rain.
	20	29.48	46.2	46.0		NNE	2	
	24	29.45	47.5	47.0		ENE	3	"Max. 53.8° F, Min. 45.0° F. Overcast; continuous line rain."
7	4	29.35	45.9	45.8		W	3-4	"03.40; wind shifted to SW, freshening with rain."
	8	29.38	45.0	44.2		SW	4-5	Continuous rain.
	12	29.38	45.4	43.8		SSW	3	"50° 10' S, 173° 47' E. Overcast."
	16	29.38	45.5	42.8		SSW	3	Overcast; fine. SW swell
	20	29.43	44.2	41.2		SW x S	3	
