SEA OBSERVATIONS BETWEEN LA MANCHE AND CAPE HORN								
Date	Position	Hour	Barometer	Temperature				
31.08.1908	Apparielle de Cherbourg a 10h	10	761.3	15.0				
		14	755.9	15.2				
		18	749.8	14.3				
		22	750.8	14.1				
01/09/1908	Mouille a Guernesey a 11h 45m	2	751.8	14.1				
		6	750.8	14.5				
		10	750.8	15.0				
		14	753.2	16.0				
05/09/1908	Apparielle de Guernesey 	18	770.9	15.3				
	poar Madere a 18h	22	771.6	14.1				
06/09/1908	Midday: L=48 25' N	2	770.6	13.7				
	G= 7 36' W Paris	6	771.6	12.8				
		10	771.7	14.0				
		14	770.4	16.1				
		18	768.6	16.3				
		22	767.3	15.5				
07/09/1908	Midday: L=45 46' N	2	765.4	15.9				
	G = 9 57' W	6	763.5	17.1				
		10	762.6	18.6				
		14	761.7	19.8				
		18	762.0	18.5				
		22	763.9	18.0				
08/09/1908	Midday: L=43 30' N	2	762.2	17.1				
	G=11 00' W	6	762.2	17.1				
		10	763.4	17.9				
		14	763.6	18.2				
		18	765.0	15.9				
		22	766.4	15.9				
09/09/1908	Midday: L=41 04' N	2	764.0	16.9				
	G=13 15' W	6	765.3	17.5				
		10	765.9	17.9				
		14	765.1	18.7				
		18	765.5	18.6				
		22	765.3	18.4				
10/09/1908	Midday: L=38 12' N	2	763.9	18.6				
	G=15 04' W	6	765.2	18.5				
		10	766.9	19.1				
		14	767.0	19.3				
		18	766.9	19.4				
		22	767.3	19.3				
11/09/1908	Midday: L=35 20' N	2	765.6	19.8				
	G=16 55' W	6	765.8	17.7				
		10	767.6	19.5				
		14	765.2	19.0				
		18	764.4	19.5				
		22	765.5	20.4				
12/09/1908	Mouille a Funchal a 14h.	2	763.9	20.1
		6	766.8	18.9
		10	767.6	22.5
		14	765.2	24.5
16/09/1908	Apparielle de Funchal pour 	18	765.6	23.3
	Saint-Vincent a 19h.	22	765.9	22.0
17/09/1908	Midday: L=30 51' N	2	766.0	21.9
	G=20 17' W	6	765.6	22.1
		10	766.0	23.2
		14	765.2	23.1
		18	765.1	22.5
		22	766.3	22.9
18/09/1908	Midday: L=28 25' N	2	764.8	22.1
	G=21 20' W	6	765.5	21.9
		10	766.0	23.1
		14	765.0	23.1
		18	765.1	23.7
		22	765.3	22.3
19/09/1908	Midday: L=25 35' N	2	764.6	23.5
	G=23 09' W	6	764.7	22.5
		10	766.3	25.1
		14	764.9	23.4
		18	764.9	23.7
		22	765.2	23.0
20/09/1908	Midday: L=22 38' N	2	763.4	22.9
	G=24 33' W	6	764.5	22.9
		10	765.5	24.6
		14	763.3	23.8
		18	763.5	23.4
		22	763.8	23.4
21/09/1908	Midday: L=19 46' N	2	762.9	23.3
	G=26 10' W	6	762.5	23.7
		10	763.6	24.8
		14	762.0	25.1
		18	761.5	25.2
		22	761.8	25.3
22/09/1908	Mouille a Porto-Grande de	2	758.5	26.0
	Saint-Vincent a 10h.	6	757.9	24.0
		10	759.5	26.9
23/09/1908	Apparielle a 7h. de	10	762.7	25.3
	Saint-Vincent pour Rio	14	761.4	25.6
		18	761.5	26.6
		22	762.1	25.2
24/09/1908	Midday: L=13 31' N	2	761.3	25.6
	G=27 44' W	6	761.2	26.2
		10	762.3	27.6
		14	761.1	27.2
		18	761.3	26.9
		22	761.9	26.9
25/09/1908	Midday: L=11 16' N	2	759.9	26.4
	G=27 46' W	6	760.0	26.8
		10	761.0	27.8
		14	759.6	27.5
		18	759.7	27.0
		22	760.7	26.8
26/09/1908	Midday: L=8 31' N	2	759.8	26.8
	G=27 38' W	6	759.4	26.8
		10	760.9	26.1
		14	758.8	26.6
		18	759.1	26.2
		22	760.8	26.8
27/09/1908	Midday: L=6 00' N	2	759.4	26.5
	G=27 29' W	6	759.8	25.7
		10	760.8	28.7
		14	759.6	26.6
		18	759.0	26.2
		22	759.8	26.6
28/09/1908	Midday: L=3 42' N	2	758.5	26.0
	G=27 08' W	6	759.0	26.0
		10	760.9	26.8
		14	759.3	26.2
		18	759.6	26.0
		22	760.8	25.9
29/09/1908	Midday: L=1 41' N	2	759.4	25.2
	G=27 30' W	6	759.9	25.0
		10	761.5	25.8
		14	760.3	25.3
		18	761.3	24.9
		22	761.7	24.8
30/09/1908	Midday: L=0 30' S	2	760.6	24.3
	G=28 38' W	6	761.0	24.5
		10	763.1	25.2
		14	761.9	25.5
		18	761.9	25.2
		22	762.8	24.9
01/10/1908	Midday: L=3 10' S	2	761.4	24.6
	G=30 17' W	6	761.8	24.6
		10	763.4	25.4
