	"William Wales - Journal on the Resolution, 21 June 1772-17 Oct. 1774"														
															

YEAR	MONTH	DAY	OBS	OBS	BAR 1	BAR 2	THER. A	THER. B							
			LAT	LONG	NOON	NOON	NOON	NOON							
1772	7	13		4 51 W	30.16	30.42	64.0	64.0							
		14		5 22			65.0	64.0							
		15	47 28.15 N	7 6			65.0	64.0							
		17		8 04	29.60	30.10	67.0	65.0							
		18	43 28	8 50			66.0								
		19	43 54	8 48	29.80	30.15	66.0	66.0							
		21	43 35	9 39			67.0	65.5							
		22		10 50			65.0	66.0							
		23	40 02	12 16			67.0	66.3							
		24	37 40												
		25	33 31.3	15 8	30.05	30.35	71.0	72.5
		26	33 43	15 54			71.0	72.0
		27	32 48	17 02	30.10	30.25	73.0	72.5
	8	2	29 42.3	18 22.3	30.05	30.20	74.5	77.0
		3	28 37	19 10.3	29.95	30.20	74.5	75.0
		4	27 55.15	19 38.15				
		5	26 7.3	20 2.3	30.00	30.20	73.5	75.5
		6	24 6.15	20 23	30.00	30.30	76.0	79.0
		7	22 07	20 41	30.00	30.20	74.5	79.0
		8	20 5.3	21 25				
		9		22 29	29.95	30.15	77.0	79.0
		10	16 10	23 11			79.0	82.0
		11		23 58	29.90	30.15	79.0	80.0
		12	14 53	24 04				
		14		23 09	29.96	30.15	80.0	80.0
		15	12 19.3	22 51.3	29.80	30.05	81.0	81.0
		16		22 11	29.75	30.10	81.0	80.0
		17	11 22.40	21 26.3	29.85	30.15		
		18		21 7	29.95	30.20	79.0	81.0
		19		20 50	29.85	30.10	70.0	72.0
		20	8 37	20 32	29.75	30.05	79.0	79.0
		21	7 50	19 30	29.95	30.10	80.5	
		22	6 48.3	18 29	29.90	30.10	80.0	80.0
		23	6 29.15	17 21	29.80	30.10	79.0	80.0
		24	5 54	16 37	29.90	30.20	80.0	80.5
		25	5 6.3	15 51	29.80	30.05	79.0	
		26	4 13	14 51	29.88	30.10	79.0	80.5
		27	3 42	13 42	30.00	30.20	78.0	77.0
		28	3 09	12 48	29.90	30.15	77.5	78.0
		29	2 35	11 44	29.90	30.15	77.0	77.0
		30	2 34	10 54	30.00	30.15	77.5	77.0
		31	1 58.3	11 38	29.90	30.10	78.0	79.0
	9	1	1 21	12 12.3	30.00	30.20	75.5	75.0
		2		13 30			77.0	78.0
		3	0 50	14 35	29.90	30.20	76.0	75.0
		4	0 53	14 45	30.02	30.07	75.0	76.0
		5	0 33	13 55	29.90	30.10	76.0	75.0
		6		13 9	30.05	30.10	77.0	77.0
		7	0 18 S	14 10	30.05	30.15	76.0	76.0
		8	0 59	14 48	30.01	30.20	76.0	75.0
		9	2 00	15 28	29.90	30.20	76.0	75.0
		10	3 5.3	16 6.3	29.95	30.30	75.0	
		11	4 11	16 32	30.00	30.20	77.0	76.5
		12	5 12	17 14	30.00	30.20	76.0	76.0
		13	6 32	17 50.3	30.05	30.25	76.0	76.5
		14	8 16	18 34				
		15		19 4	30.05	30.00	75.0	73.5
		16	11 4	19 32.3	30.05	30.30	75.0	72.0
		17	12 31	20 4	30.05	30.25	75.0	73.5
		18	14 7	20 46.3	30.05	30.30		
		19	15 38	21 12.15	30.05	30.40	73.0	72.5
		20	17 14	21 51	29.95	30.30	73.0	71.0
		21	18 46	22 20			74.0	75.0
		22	20 12	22 52	30.25	30.32	72.5	
		23	21 35	24 19	30.25	30.35	72.5	72.0
		24	22 54.3	24 10.3	30.15	30.45	71.5	70.0
		25	24 17	24 11.15	30.25	30.45	72.0	73.0
		26	24 44.15	24 12.15				
		27	25 29	23 52.15	30.20	30.30	71.5	72.0
		28	26 17	22 25	30.20	30.25	70.5	71.0
		29	26 58.45	20 18.15	30.05	30.20	71.5	71.5
		30	27 27.3	18 14.3			71.5	
	10	1	27 38	17 20			68.0	65.0
		2	28 05	15 10	30.20	30.40	66.0	67.5
		3	29 23	13 3	30.06	30.20	61.5	62.0
		4	29 00.45	12 07	30.30			
		5	29 48	12 12.3	30.20	30.60	64.0	61.5
		6	31 21	12 16	30.35	30.50	63.0	
		7	32 45	11 33	30.20	30.60	63.0	62.0
		9	34 28.3	8 42		30.35	63.0	62.0
		10	34 44.3	7 24.45	30.15	30.35	63.0	63.5
		11	34 51.5	6 51.3	30.30	30.40	63.0	63.0
		12	35 14.3	5 47.45	30.00	30.05		
		13	35 32.15	4 12	30.05	30.15	63.0	61.0
		14	35 32	2 28.15	29.98	30.10	62.0	62.0
		15	35 17	0 15 E	29.90	30.10	63.0	61.0
		16	35 00	2 28	29.90	30.10		
		17	34 37.3	5 4	30.00	30.20	59.0	60.0
		18	34 19	6 11.45	30.05	30.30	60.0	57.0
		19	34 45	6 29	30.30	30.40	63.0	62.0
		20	35 39	6 34				
		21	36 52	7 11	30.10	30.30	66.0	60.0
		22	37 12	7 54	29.90	30.00	66.0	63.0
		23	36 38	9 42	30.05	30.15	61.0	59.0
		24		12 12	30.05	30.40		
		25	34 39.3	13 37.15	29.95	30.20	62.0	60.0
		26	33 43	14 46.3	29.80	30.00	62.0	60.0
		27	33 41	13 46	29.85	29.95	66.0	67.0
		28		17 14				
		29	33 56	18 50	29.83		62.0	60.0
	11	22	34 36		29.65	29.95	66.0	65.0
		23	35 23		29.95	30.25	65.0	63.0
		24	37 14		29.80	30.20	66.0	66.0
		25	39 3.3		29.60	30.00		
		26	40 58		29.90	30.15	61.0	59.0
		27	40 58		29.75	29.95	62.0	59.0
		28	42 8		29.40	29.80	60.0	57.0
		29	42 22					
		30			29.00	29.5	58.0	51.0
	12	1			29.10	29.50	57.0	49.0
		2	44 26		29.00	29.45	55.0	49.0
		3	45 45		29.40	29.70		
		4	47 9.3	17 15	29.60	29.80	52.0	48.0
		5	48 34.3	17 42	29.60	29.65	50.0	38.0
		6	49 49		29.60	29.80	47.0	42.5
		8	49 45		29.15	29.50	44.0	36.0
		9	51 4.45	20 16.3	29.20	29.65	44.0	36.0
		10	51 49	20 50	29.15	29.40	50.0	36.0
		12			28.50	28.90	50.0	32.0
		13	54 55	21 22.3	29.05	29.30	49.0	33.0
		14			28.50	28.65	49.5	33.0
		15			28.50	28.90		
		16	55 16	22 58.3	29.20		53.0	33.5
		17			29.30	29.50	56.0	31.0
		18		24 45	28.95	29.30	54.0	31.5
		19			28.90	29.20		
