METEOROLOGICAL OBSERVATIONS										
	THERM B.		 							
DATE	GREATEST	LEAST	MARINE	THERM.		LATITUDE	LONGITUDE	WINDS	WEATHER AND	
	HEIGHT	HEIGHT	BAROMETER	A	B	IN	IN		REMARKS	
1779 October																	
8	50.0	40.0	29.81	49.0	42.0			North.	Frefh breezes and fair weather.
9	54.0	41.0	29.81	52.0	43.5			S. W. by S.	Moderate with fmall rain.
10	56.0	40.0	29.78	54.0	53.0	52 36 N	158 42 E	S.E.	Light breezes and fine weather.
11	53.0	45.0	29.93	53.0	47.0	52 4	158 30	North.	Do. and cloudy.
12	55.0	42.0	29.86	54.0	45.0	51 0	157 20	N. N. E.	Do. and fine weather.
13	53.0	40.0	29.55	49.0	42.5	49 48	156 47	Weft.	Do.
14	51.0	40.0	29.80	49.0	43.0	48 16	155 32	W. N. W.	Freth breezes and do.
15	51.0	41.5	30.09	50.0	44.0	46 30	155 36	Variable.	Do.
16	55.0	43.0	30.15	54.0	43.5	45 24	155 38	W. N. W.	Light winds and do.
17	54.0	42.0	30.14	53.0	46.5	45 7	153 48	N. by W.	Do. .
18	57.0	42.5	30.26	53.0	50.0	44 27	152 55	South.	Do. and hazy.
19	54.0	42.0	29.50	53.0	50.0	44 14	150 46	S. E.	Strong gales and thick rain.
20	53.5	45.5	29.37	53.0	49.0	43 40	150 31	Do.	Moderate with rain.
21	51.0	43.0	29.92	50.0	45.0	42 41.5	149 41	W. N. W.	Strong gales and fair weather.
22	51.0	43.5	30.15	50.5	45.0	40 58.5	148 6	N. W. by W.	Moderate gales and do.
23	56.0	44.0	30.36	54.0	45.5	40 34.5	146 40	S. S. W.	Frefh breezes and hazy weath.
24	63.0	50.0	29.96	63.0	59.0	40 45	145 30	S. W.	Do. with rain.
25	59.0	52.5	30.00	58.0	52.0	40 23	143 54	N. N. E.	Do. and cloudy with rain.
26	63.0	51.0	30.02	60.0	62.0	40 4	142 14	N. W.	Light breezes and fine weather.
27	62.5	59.0	30.15	62.0	59.0	39 16.5	142 59	N. by E.	Do.
28	64.5	57.0	30.14	64.0	61.0	38 13	141 54	S. E.	Do. and fair.
29	67.0	60.0	30.11	66.5	64.0	37 44	141 25	S. by E.	Strong gales with rainy weather.
30	63.0	58.0	29.93	62.0	59.0	36 41 N	142 0 E	Variable.	Frefh gales and fine weather.
31	66.0	60.0	30.10	65.0	62.0	35 33	142 4	W. N. W.	Do.
1779 November									
1	69.5	62.0	30.35	68.0	69.0	35 16	141 29	S. E.	Moderate breezes and fine.
2	71.5	63.0	30.29	71.0	71.0	35 43	141 8	S. S. E.	Fresh gales and hazy weather.
3	73.5	70.0	30.02	73.0	73.0	36 28	144 40	South.	Strong gales and do.
4	74.0	68.0	29.85	73.0	72.0	35 48	146 25	S.W. by S.	Mod. with lhowers of rain.
5	72.5	68.0	29.86	72.0	70.0	35 14	147 4	Variable.	Do.
6	71.0	65.0	30.18	69.5	67.0	35 0.66	147 30	North.	Do. and cloudy weather.
7	71.5	68.0	30.19	70.0	71.0	33 50.75	148 27	S.W. by W.	Moderate and fine.
8	71.5	68.0	30.14	71.0	69.0	33 11	148 8	E. N. E.	Do. with dull cloudy weather.
9	72.0	66.5	29.78	71.5	68.0	31 45	145 57	N.E. by N.	Frefh gales and rain.
10	72.0	67.5	29.68	71.5	69.0	30 32	144 47	Do.	Do.
11	72.5	64.0	29.80	72.0	71.0	29 4	144 2	Do.	Do.
12	73.0	67.0	29.40	72.5	71.0	27 30	144 17	N. N. E.	Strong gales with much rain.
13	73.0	70.0	29.81	72.5	72.0	25 54	143 17	N.W.by W	Fresh gales and fair.
14	76.0	70.5	30.05	73.0	75.0	24 35	142 2	North.	Moderate and fair weather.
15	77.0	69.0	30.18	75.0	76.0	24 50	141 8	Variable.	Do.
16	82.0	72.0	30.15	78.0	81.5	25 6	138 52	 S.E.	Do.
17	80.0	75.0	30.18	76.0	76.0	24 44	137 46	N. N. W.	Moderate and a little hazy.
18	75.0	71.0	30.31	73.0	74.0	23 46	135 22	N.E. by N.	Frefh breezes and hazy.
19	77.0	72.5	30.34	76.0	76.0	22 48.5	133 21	N. E. by E.	Do. with flying clouds.
20	79.0	74.0	30.24	78.5	80.5	22 4.75	130 59	E. N. E.	Do.
21	81.0	77.5	30.16	80.0	80.5	21 25.5	128 42	E. by N.	Do.
22	79.0	74.5	30.10	78.0	75.0	20 46	126 26	N. N. E.	Frefh gales and heavy rain.
23	79.0	74.0	30.04	78.5	75.0	20 46	123 43	N.E.	Strong gales and do.
24	78.0	73.0	29.92	77.0	74.0	21 30	122 35	Do.	Do.
