	 Journal of a voyage to the northern whale-fishery: including researches and ...													

	 By William Scoresby													

	"http://books.google.com/books?id=DXg9AAAAYAAJ&pg=PA352&dq=whaler,+barometer&as_brr=3&ei=h7eeSqTSMY3OMqnm9G8#v=onepage&q=barometer&f=false"													

	Pages 431-441													

YEAR	MONTH	DAY	LAT	LONG	THERMOMETER			BAROMETER	WINDS		WEATHER	REMARKS		
					MAX	MIN	MEAN		DIRECTION	FORCE				
1822	4	1	Loch	Ryan					NWerly		Fine weather			
1822	4	2							NNW		Ditto			
1822	4	3							NW to N		Fresh breezes			
1822	4	4							NWerly		Ditto			
1822	4	5							NWerly		Mod. Or fresh br.			
1822	4	6							NWerly		Rainy
1822	4	7							Var		Light br; calm
1822	4	8	North	Channel					NE to NNW		Fine weather
1822	4	9	55.51 N						NNE to NE		Light winds
1822	4	10	56.26	7.40 W					to E and S		Ditto
1822	4	11	57.47	9.16					ESE to ENE		Fine weather
1822	4	12	60.21	8.46				30.18	to E		Brisk breezes
1822	4	13	62.42	8.16					E		Ditto; hazy
1822	4	14	64.32	7.46					E		Made the ice
1822	4	15	64.41	6.31	43.0	33.0	38.0	30.10	E b S to SE		Fine aurora bor.
1822	4	16	65.35	4.23			34.0	30.02	SE to S		Fine wr; calm
1822	4	17	65.58	3.53	36.0	34.0	35.0	29.98	Eerly; Werly		Aurora borealis
1822	4	18	66.49	3	35.0	34.0	34.5	29.80	SE to S		Foggy
1822	4	19	68.45	0.8	38.0	34.0	36.0	29.78	SE to E b S		Fresh br; calm
1822	4	20	69.3	.18 E	36.0	32.0	34.0	29.45	NNE		Calm; fresh br.
1822	4	21	69.24	3.26	38.0	34.0	36.0	29.35	to N		Hard gale
1822	4	22	69.37	5.5			33.0	29.60	to W & SSW		to calm	
1822	4	23	70.23	6.5	42.0	36.0	39.0	29.95	Var		Weather-gall	
1822	4	24	71.56	8.9	38.0	35.0	36.5	29.80	Eerly		Fresh gale	
1822	4	25	75.5	9.18	40.0	38.0	39.0	29.95	Eerly		Ditto; hazy	
1822	4	26	77.15	8.8	36.0	34.0	35.0	29.95	to SE b S		Ice	
1822	4	27	79.36	8			34.0	29.90	Serly; ENE		Spitzbergen	
1822	4	28	80.3	9			34.0		Var		Ditto in sight	
1822	4	29	80.31	8	32.0	-2.0	15.0		"SW, NNW"		Strong gale	
1822	4	30	80.19	3	10.0	-2.0	7.0	29.96	Var		to calm	
1822	5	1	80.34	0.3	8.0	0.0	4.0	30.00	"S, to W to NbE"	Mod. To fresh br.	Frost-rime	Near the N. ice
1822	5	2	79.44	1	18.0	4.0	9.3	29.80	SSW to E	Calm to fr. Gale	Snow	Among ice
1822	5	3	79.41	4	26.0	20.0	23.0	29.70	to NE	Fresh gales	Sunshine	Ice-streams
1822	5	4	78.26	2.3	20.0	14.0	17.0	29.98	to NbW; var	Strong gale	Frost-rime	Ditto
1822	5	5	78.27	5	24.0	14.0	19.0	30.00	NNW to WNW	Fresh breezes	Cloudy	Much ice near
1822	5	6	79.31	4	26.0	20.0	23.0	29.80	W to N	to mod. Breezes 	Fine weather	Much open ice
1822	5	7	79.35	2	26.0	12.0	19.0		to NW b N	to strong gale	Snow	Open ice
1822	5	8	79.45	1.5	12.0	4.0	8.0		N to NE	to mod. Breezes 	Frost-rime	Ditto
1822	5	9	79.45	0.3	2.0	-8.0	-3.0	30.18	NNE	Fresh gale	Ditto	Ditto
1822	5	10	79.5	1	8.0	-5.0	1.7	30.15	NNE	Fresh gale	Ditto	Ditto
1822	5	11	79.58	2	14.0	8.0	11.3	30.20	to NNW	to fresh breeze	Ditto	Ditto
1822	5	12	79.59	2.3	16.0	12.0	14.0	30.15	N to ENE	Fresh breeze	Snow	Ditto
1822	5	13	79.4	2	22.0	16.0	19.0	30.20	to SE	to light breeze	Snow showers	Ditto
1822	5	14	79.26	1.5	22.0	14.0	18.0	30.10	to ENE	Fresh breeze	Cloudy	"Much ice; floes, etc."
1822	5	15	79.3	1.5	20.0	14.0	17.0	30.12	to N; Werly	Moderate breeze	Ditto	Ditto
1822	5	16	79.3	1.36	26.0	22.0	24.0	30.12	Eerly; var	Light breeze	Clear	Ship frozen up
1822	5	17	79.3	1.25	26.0	24.0	25.0	30.00	SSE to ESE	Moderate breeze	Cloudy	Ship beset
1822	5	18	79.24	1.2			24.0	29.50	ESE to ENE	Ditto	Hazy	Ditto
1822	5	19	79.12	1	26.0	20.0	23.0	29.50	to Nerly	Light winds	Clear	Ditto
1822	5	20	79	1	24.0	20.0	22.0	29.58	NW to NE	Moderate breeze	Ditto	Ship released
1822	5	21	77.42	2	26.0	25.0	25.5	29.60	N to NW	Brisk breezes	Snow showers	At sea
1822	5	22	76.24	0.1	30.0	24.0	27.0	29.95	to W	Calm to fresh br.	Ditto	Ditto
1822	5	23	75.43	2.0 W	30.0	26.0	28.0	29.90	to SW	Mod. Or fresh br.	Ditto	Open pack
1822	5	24	75.48	3.3	30.0	25.0	27.5	29.75	to var	Light breeze	Thick snow	Crowded ice
1822	5	25	75.5	4.2	34.0	30.0	32.0	29.15	Var	to hard gale	Fog; snow	Ditto
1822	5	26	75.52	3.3	30.0	28.0	29.0	29.55	"Werly, N, E"	to calm	Fog	Ditto
1822	5	27	75.3	3.5	34.0	32.0	33.0	29.35	E to S	to fresh breeze	Foggy	Ditto
1822	5	28	75.26	3.58	36.0	32.0	34.0	29.20	E	Moderate breeze	Ditto	Ditto
1822	5	29	75.16	5.2	34.0	32.0	33.0	29.15	to SSW	Fresh breezes	Fog; sleet	Ditto
1822	5	30	75.8	5.16	35.0	32.0	33.7	29.15	to ESE	Fresh gales	Fog; snow	Ship beset
1822	5	31	74.46	4.5	36.0	30.0	33.0	29.10	"S, NNE to NW"	Hard gales	Snow	Ditto
1822	6	1	74.39	4.1	32.0	30.0	31.0	30.50	NW to SW	Str. Gale to fr. Br.	Snow; cloudy	Floes & drift-ice
1822	6	2	74.36	7.2	34.0	30.0	32.0	30.70	to S	Fresh breeze	Cloudy	Many floes
1822	6	3	74.26	8.1	34.0	30.0	32.0	29.80	to E; var.	to Calm	Foggy; cloudy	Surrounded by do.
1822	6	4	74.2	9.3	32.0	30.0	31.0	29.84	Werly; S	to fresh breeze	Thick snow	Partly beset
1822	6	5	74.18	10.2	34.0	25.0	29.0	29.70	to NW b N	Fresh breeze	Foggy	Ditto
1822	6	6	74.14	11.1	32.0	26.0	29.0	29.60	S to E and NE	Mod. Br. To calm	Ditto	Ditto
1822	6	7	74.18	13			32.0		S	to Strong breeze	Ditto	Fields and floes
1822	6	8	76.6		34.0	27.0	30.5	29.30	Var	Fr. Gale to calm	Foggy; clear	West Land in sight
1822	6	9	74.1		36.0	27.0	31.5	29.50	NNE; var.	Light breeze	Clear	Ditto
1822	6	10	73.54	16.39	36.0	27.0	30.5		Var	to Mod. Br.; calm	Ditto	Var. 42.8 W
1822	6	11	73.43	17.39	36.0	27.0	30.5		Ditto	to mod. Breezes 	Ditto	West Land in sight
1822	6	12	73.4	17.45	40.0	30.0	35.3		Ditto	Moderate breeze	Ditto	Ditto; much ice
