Time		Position		Wind		Barometer corrected and reduced to 32° F. MSL and Gravity 45°	Temperature		Cloud			Weather		Sea Surface						Remarks 
Day	Hour. 12 hrs. fast on GMT	Lat. S	Long.	Direction (True)	Force (0-12)		Dry Bulb	Wet Bulb	Kind		Amount (0-10)	Beaufort Notation*	Fog Intensity (0-5)	Waves		Swell		Sea Temperature	Colour	 
									Upper	Lower										 
		°    '	°    '			"Inches
"	° F	° F						Direction from	Disturbance (0-10)	Direction from	Disturbance (0-10)	° F		 
"NOVEMBER, 1910."																				 
30	13.30	47 34	170 38 E	N	3-4	30.09	53.6		"A.-St., A.-Cu."	"St., St.-Cu."	8	o.c.		N	4	SSW	6			Afternoon. Wind commenced to ease at 15 h. In latter part of watch lower clouds rising into Alto. 
	16.30			Nly	2	30.02	54.6	52.5	"Ci.-St., A.-St., A.-Cu."		6	b.c.		NNWly	3	Cross SSW Wly	6	50.8		 
	20.3			NW	3-4	29.98	53.5	50.8		"St., St.-Cu."	10	o.c.		Wly	4	Confused WNWly	7	49.8		Overcast and squally with light rain till 22 h. Sky cleared and wind steadied before midnight. 
	24.3			NW	5	29.92	52.5	50.0	Ci.	St.-Cu.	3	b.c.		Wly	5	SWly	7	51.0		 
"DECEMBER, 1910."																				 
1	4.30			NW	6	29.73	52.1	51.0	Ci.-St.	St.	10	o.m.	1	WNW	5			51.2		4.30 h. : Strong steady breeze with flying scud. Increased to 7 for about 10 minutes at 1 h. 
	9.30			W	5-6	29.64	48.1	47.8		St. Nb.	10	"o.3r. 0.1d. c."		WSWly	5	Confused WSWly	6	47.6		a.m. Commenced to rain about 5 h. and continued through watch. Slight to moderate. 8 h. : Wind and sea commenced to moderate. Rain to drizzle. 
	12.30	50 44	170 38 E	WSW	6	29.62	47.0	46.0		St.	10	0.ld.		SW	6	WSW	7	47.0		12.30 : Detached piece of kelp. Wind started increasing at 10 h. 
	17.30			WSW	7-8	29.53	44.8	42.1		"St.-Cu., Cu."	8	c.		SW by W	6	SW by W	8			11 h. 30 m. : Wind to SSW for 15 minutes. 
	21.30			WSW	9	29.56	43.5	41.0		"St., St.-Cu"	10	o.c.		SW	8	SW	20 ft. 8			p.m. : Wind and sea increasing after 14 h. ; by 15 h. blowing 7-S. 
2	4.30			WSW	10							c.			8		8			Dogs : Wind and sea increasing gradually till force 9 at 19 h. 30 m. 
	8.30			WSW	10							c.			8		8			"Wind from SW, force 10, till afternoon, when began to back gradually, and at 16 h. 30 m. perceptibly commenced to ease in" 
	12.30	52 7	172 11 E	WSW	10							o.c.			8		8			"strength. Very high seas of 35 ft. (estimated). Sky generally overcast with St. Cu. clouds, but occasionally breaking. In dog" 
	19.30			SSW	9	29.74	42.0	39.0		"St.-Cu.,Cu., St."	8	c.		Confused SSW	8	SSW	8			watches decided break of clouds. Ship lying-to all day. Wind easing all first watch. 
3	4.30			SW	5-6	29.84	42.0	39.0		"St.-Cu.,Cu."	7	c.		Confused SW	25 to 30 ft 6	SSW	8			Middle : Wind still easing and sea decreasing. 
	12.30	52 12	172 48 E	W	5-6	29.88	44.2	41.2		"St., St.-Cu."	10	o.c.		Confused SWly	6	SSWIy	8	45.2		Afternoon : Sun came out dimly for a little between 13 h. 30 m. 
	16.30			WSW	5	29.85	44.1	41.8		"St., St.-Cu."	10	o.c.		SSW	6	S	15 ft. 8	45.1		and 14 h. 30 m. ; otherwise absolutely overcast. 
	20.30			W	5	29.83	43.0	41.0		St.	10	o.c.		SW	5	SSW	7	45.0		 
	24.30			W	5	29.83	43.0	41.0		St.	10	o.c.		SW	4	S	7	45.0		Midnight : Slight lightning flashes occasionally. 2 h. : Slight increase of wind after gusts and lulls. 4 h. : Increase steady to force 7. No scud. 5 h. : Passed floating kelp. 
4	4			SW	7	29.73	43.0	41.1		St.	10	o.f.	1	SSW	6	SWly	7	45.0		 
	9.30			W	6-7	29.72	42.5	41.0		St.	10	o.c.		SW	6	SSW	6	42.8		"Forenoon : Overcast all watch, though sun occasionally tried to break through ; slight drizzle for a few minutes at 11 h." 
	12	54 31	178 50 E	W	6	29.74	42.8	41.5		St.	10	o.c.		SW	6	SSW	7	42.5		 
	16			W	5	29.73	43.0	41.8		St.	10	o.c.		SW	6	Confused SSW	6	43.2		"Afternoon : Wind gradually easing at 14 h., SW, force 5. Wind shifted two points, 22 h. Swell decreasing." 
	20			W	5	29.70	42.8	41.0		St.	10	o.c.		SW	6	SSW	18 ft. 8	42.5		 
	24			WNW	5	29.66	43.0	42.0		"St. St."	10	o.c.		SW	5	SSW	6			"2 h. 20 m. : Wind increased to 6, with bank of St. ; falling about" 
5	4			W	5	29.59	41.6	40.7	"-- A.-Cu."	"St. St."	9	o.m.		SW	6	SSW	7	40.0		"2.30 to 5, showing A.-Cu. clouds. 4 h. : Sky overcast but" 
	8.30			WNW	5	29.58	41.8	41.2		"St., Nb."	10	o.d.		WSW	6	SW	8	40.0	453	clearing in patches from time to time. 5.20 : Passed drift kelp. Sky clearing in places ; 30 minutes' drizzle. Wind 
	12	56 41	176 23 E	WNW	5	29.55	44.0	41.8		St.	10	o.c.		SWlyW	5	SWly	5	41.0		falling lighter. Forenoon : Sun made some attempts to break through ; occasional showers of slight drizzle. Afternoon : 
	16			W	4-5	29.56	43.8	41.5		"St., St.-Cu"	8	c.		SW	5	SW	6	41.2		"Cleared very much at 12.15. By 13 h. St.-Cu. and A.-St., proportion 5. 15 h. : clouded over again. Occasional showers of drizzle. Dogs : Occasional showers of drizzle." 
	20			WSW	4	29.68	42.0	39.5		St.-Cu.	5	b.c.		SW	6	SW	4	39.0		 
	24			WSW	4	29.65	41.0	38.5		St.-Cu.	3	b.c.		SW	4	SW	4	40.0		 
6	4	58 7 	177 22 E (1.30)	WSW	4	29.59	40.9	38.7	"A.-St., C i. -St."		10	o.c. 		Confused	 	SWly	5	40.0		Midnight : Clouds St. Cu. 8 to 9 ; cleared to 3 at 11.30. 1 h. : Sky partially clear with A. Cu. and Ci. St. about amount 5. 
	9			ENE	1	29.54	39.4	38.2		"St., St.-Cu."	10	o.c.		 	2	Confused SWIy	5	41.0	429	Mottled Ci. to SSW. 4 b. : Upper clouds radiant point SSW. 
	12	59 7 	177 51 E	E	1-2	29.49	39.0	38.8		St.	10	o.c.		 	2	SWly	5	41.2		"Breeze unsteady. 5 h. : Clouds St., St. Cu. and Nb. ; 10 minutes'" 
	16			NE	2	29.46	38.8	38.8		"St., Nb."	10	o.c.2d.		 	2	Confused SWIy	5	39.7		rain (drizzle). Wind falling light. 7 h. : Rain (drizzle during watch). Forenoon : Occasional drizzle during watch. After  
	20			NE	3-4	29.37	37.0	37.0		Nb.	10	o.4rm.		 	3	Confused SWIy	4	37.0		"noon : Drizzle off and on and settled down at 15 h., with slight fog. Dogs : Rain, drizzle to slight. Gradual increase of wind all watch till 19 h. Wind shifted NNE to NW 3 at 23.15." 
	24			NNW	3	29.27	38.0	38.5		St.	10	o.r.		NE	2	SW	2	37.0		Fine steady rain. 
7	4			NNWly	2	29.18	36.8	36.8		St.	10	o.d.f.	2	 	 	NNWIy	2	36.0		4 h. : Four hours d. Slow moving low St. seen overhead at intervals. Breeze 3 up till 2 h. 6 h. : Drizzle. Fog 2. Wind 
	9			SSW	5	29.20	34.0	33.1		"St.-Cu., Cu."	10	o.c.		S	4	Sly	3	34.5	430	freshening W by S. 6.45 h. : Wind commenced to back fast and strengthened. Fog lifted. Drizzle stopped by 7.30. 
	12	61 22	 179 56 W	WSW	6	29.30	35.0	33.5		"St.-Cu., Cu."	6	c.		Sly	4	Confused SIy	4	35.2		"Wind SWly, force 5. Forenoon : Wind gradually veering." 
	16			WSW	5-6	29.37	32.5	30.8		St.-Cu.	10	o.c.		SW	4	SWly	4	31.9		At 8.30 sky broke and sun came out. Afternoon : Occasional 
	20			WSW	5	29.43	32.0		A.-St.	St.-Cu.	8	c. 		SW	5	SW	4	32.5		"snow flurries. Very fine snow. 21 h. : Passing heavy Cu. Apparent snow squalls in distance. Wind squally, increasing slightly to 23 h." 
	21			SW	6-7		31.5	29.5		St.-Cu.	7			 	 	 				 
	24			SW	6	29.52	29.5	28.0	A.-Cu.	St.-Cu.	4	b.c.		SW	6	SW	5	32.0	 	 
8	4			SSW	5	29.58	29.9		Ci.-St.	St.-Cu.	8	c.b.q.s.		Sly	4	SWly	5	29.8	 	2 h. : Snow squalls. Small fine snow with little wind. While under bank of Cu. St. wind force 7. At 2.30 breeze moderated 
	8.30			SSW	5	29.75	32.0	31.0		"Cu., Cu.-St."	5	b.c.		S	5	Sly	4	30.6	454	to force 5 and backed two points to S. Afternoon : Wind gradually veered till SSW at 14 h. Slight snow for about half 
	12	63 20	 177 22 W	SSW	5	29.86	31.9	30.5		Cu.	2	b.c.		S	5	S	4	31.5	 	an hour at 15 h. 20 h. : Two icebergs on port beam about 10 miles off. Wind hauling slowly. Clouded over at sunset. 
	16.30			SW	4-5	29.94	30.0	27.0		Cu.	3	b.c.		S	4	S	4	30.7		Passing light snow squalls. 
	20			SW	3-4	29.96	28.1	25.2		"St.-Cu., Cu."	4	b.c.		SSW	4	S	4	29.5	 	 
	24			WSW	4	29.97	28.0			St.-Cu.	10	o.c.		SW	3	SW	2	29.5	 	 
9	4			W	4	29.98	27.8	25.1	A.-St.	St.	7	b.c. 		SWly	3	 	0	30.1	 	2 h. : Slight S wind with heavy snow astern. 4 h. : Two icebergs. 
	8			W	3	29.91	29.5	26.8	A.-St.	"St.-Cu., Cu."	6	b.c.		 	2	 	0	30.5	 	7 h. : Entered 'oose pack. 8 h. : Snow flurry for 15 minutes. 
	12	65 81 	177 40 W	W	3	29.94	32.5	30.0	A.-St.	Cu.	6	b.c.		SW	2		0	30.5	 	Afternoon : Passing through loose pack. 
	16	66 32 	178 85 W (17.24)	W	1-2	29.91	29.8	26.8	A.-Cu.	Cu.	7	b c. 		SWly	2		0	29.9	 	0 
	20			NW	1-2	29.87	28.0	26.1	"A.-Cu., A. -St."	Cu.	6	b.c.		W	2		0	29.5	 	20 h. : Passing through loose pack. 
	24		In Pack	Calm	0	29.81	27.0		A.-St.	"Cu., St.-Cu."	4	b.c.		 	0	  	0	29.0	 	 
10	5.30			ENE	2	29.72	28.0		A.-Cu.	St.-Cu.	8	b.c.		 	0		0	29.5	 	"5.30: Pack loose, but stronger than yesterday." 
	8.45			NE	2	29.66	27.0		A.-St.	"St, St.-Cu."	9	c.		 	0		0	29.2	455	8 h. : In pack. 
	12	66 38 	178 47 W	ENE	2	29.64	28.0		A.-St.	St.	9	c.			0		0			 
	16		 	 		 	 	 	 	 	 	 	 							 
	20	66 50	178 51W (22.12)	ENE	1-2	29.70	32.5	30.8	A. St.	St.	9	c.	 		0		0	29.2		20 h. : In pack. 
	24		 	ENE	2	29.71	26.5	 	A. St.	St.	9	c.	 		0		0	28.5		Midnight : In heavy pack. Overcast. Sun shining on horizon. 
11	4		In pack	NNE	2	29.70	27.6	27.5	A.  St.	St.	10	o.c.	 		0		0	28.8		2.30 : Unable to proceed owing to heavy pack. 4 b. : Overcast. 
	8.30		 	N	4	29.59	 	28.5	 	Nb.	10	2s.	 		0		0			Dark St. on horizon from N to WSW. 6.30 : Commenced  
	12	66 55	178 51 W	NNW	4-5	29.52	 	32.8	 	Nb.	10	q.3s.	 		0		0			"snow (moderate) and wind increased. Forenoon : Soft snow and rain mixed. Noon : Wind increasing slightly. Afternoon : Moderate soft snow till 14.30, then ceased and lightened up." 
	16		 	NW	4-5	29.43	34.2	33.9	 	St.	10	o.c.2 1/2s.	 		0		0	29.4	455 but deeper blue	15.50 : Light fog came down. 
	20		 	WNW	4	29.46	31.0	31.0	 	St.	10	o.c.f.	 		0		0			 
	24		 	WNW	5-4	29.47	30.0	30.0	 	St.	10	o.m.			0		0	28.5		Midnight : Overcast and misty. 
12	4		 	N	4	29.50	28.5	28.5			 	f.	2-3					29.0		"Middle watch : Mist of first watch changed to drier fog. Considerable motion in ice, and ship drifting to SW. Sun visible." 
	8		In pack	NW	3	29.51	32.8	32.5	 	St.	10	o.c.	 					29.4	455 but deeper blue	"through fog for 2 minutes at 3.45. Morning : No fog, though dull. Afternoon : Fog 2 settled down at 13.30. Dogs : Fog off and on most of the watch. 20.30 : Drizzle of rain sometimes" 
	12	67 5	178 22 W	NW	3	29.51	35.0	34.0	St. Cu.	St.	10	o.c.	 					30.2		changing to snow. Snow at frequent intervals 20 h. 24 h. 
	16		 	NW	3	29.54	33.5	32.8	 	St.	10	o.	 					29.5		 
	20		 	NW	3-4	29.57	31.8	31.5	 	St.	10	o.f.	1					29.2		 
	24		 	NW	 	29.58	31.0	30.0	 	St.	10	o.s.	2-3					29.0		 
13	4.30		In pack	NW	2	29.63	31.0	31.0	A. St.	St.	10	o.c.	 					29.7		"4.30 : Very slight snow for five minutes. 5.45: Light snow falling, ceased at 6.20." 
	9	67 30	177 58 W (9.30)	WNW	2	29.63	33.0	31.8	A. St.	St.	10	o.c.	 			v. slight	swell	30.0		 
