Time		Position		Wind		Barometer corrected and reduced to 32° F. MSL and Gravity 45°	Temperature		Cloud			Weather		Sea Surface						Remarks
Day	Hour. 12 hrs. fast on GMT	Lat. S	Long.	Direction (True)	Force (0-12)		Dry Bulb	Wet Bulb	Kind		Amount (0-10)	Beaufort Notation*	Fog Intensity (0-5)	Waves		Swell		Sea Temperature	Colour	
									Upper	Lower										
		°    '	°    '			"Inches
"	° F	° F						Direction from	Disturbance (0-10)	Direction from	Disturbance (0-10)	° F		
"DECEMBER, 1912."																				
14	12	43 47	173 18 E	SW	4	30.15	62.5	59.4	"False Ci., Ci.-Cu."		6	b.c.z.		SSW	2	NE Confused	4	58.2	378	Wind dropping after noon.
	16	43 39	173 33 E	SE	1	30.13	63.5	59.5	"Ci., Ci.-Cu."			b.c.z.m.		SEly	2	NE Confused	4	58.2		16.30 : Ran into fog (2). Dogs : Wind gradually backing to E. Fog varying from intensity 2 to 3.
	20	44 5	173 35 E	N	3	30.16	55.1	54.3			10	f.	3		2	NE Confused	4	56.2		
	24	44 0	173 9 E	NNE	0-1						0	b.								23.30: Fog cleared.
15	4			ENE	2	30.10	53.8	53.0			10	f.	3	NE	2	NE	4			"0-2 h. : Fine, cloudless sky. 2 to 4 : Banks of wet fog."
	8			ENE	3	30.07	52.8	52.8			10	f.	3	NE	2	NE Confused	4	54.0		Forenoon : Fog all watch. Sun shining through occasionally.
	12	44 48	173 51 E	NNE	3-4	29.98	53.9	53.8			10	f.	3-4	NE	3	NE Confused	4	54.0	379	"12.50 : Colour of sea, 452."
	16	45 21	174 30 E (17.27)	NNE	4	29.86	56.0	54.8	A.-St.		8	c.		NE	3	Nly	5	53.2	452 at 12.45	15 h. : Fog lifting.
	20	45 43	174 44 E (20.41)	N	5	29.74	56.0	54.6	"A.-St.,
Ci.-Cu."	"St.-Cu., St."	6	c.		N by W	4	"S and W, Nly and SW"	5	53.6		"19 h. : Clouds from south-westward, very slow."
	24			N	5	29.58	54.0	54.0			0	b.		Nly	5					Midnight : Wind steady.
16	4			WSW	3	29.54	54.0	53.0	Ci.-Cu.	St.-Cu.	5	b.c.		Confused	4	Confused	6			2 h : Wind from NNW to WSW ; barometer steadied. Sky clouded over. 8.40: Commenced to rain (slight).
	8			WSW	5-6	29.59	52.0	48.2	A.-St.	"St.-Cu., St."	10	o.c.		SW by W	5	SW Nly	"6, 3"	52.4		
	12	47 6	176 11 E	WSW	5-6	29.56	52.0	48.0	A.-St.	St.-Cu.	10	o.c.		SW by W	5	SW Nly	"6, 4"	51.5	453	
	16			W	6-7	29.51	53.0	50.0		"Cu., St.-Cu."	4	b.c.		SW	6	SW	7	52.0		
	20			WNW	8	29.52	53.4			"Cu., St.-Cu."	4	b.c.		W	6	W	8			
	24			WNW	9	29.49	48.5	44.0		Cu.	3	b.c.		w	6	W	8			
17	4			WNW	8-9	29.51	48.0	44.0		"Cu., St.-Cu."	5	b.c.q.		W	6	W	8			4 h. : Rain squall.
	8	48 49	177 53 E	WNW	7	29.55	49.5		A.-St.	"Cu., St."	4	b.c.		W	6	"W, SW"	8	48.2		8.15 and 11.30: Passed small quantity of kelp.
	12	49 12	178 14 E	WNW	6	29.54	50.5	46.6	"Ci.-St., A.-St."	St.	4	b.c.		W	6	"W, SW"	8	47.9	452	
	16	49 39	179 6 (17.26)	NNW	6	29.51	49.9		"Ci.-St., A.-St., A.-Cu. Ci.-Cu."	St.	6	b.c.m.		W	5-6	"W, SW"	8	47.2		"17 h. : Sky completely clouded over with A.-St. (low), St.-Cu., and St. Appearance of lain and fog to Westward. 2nd Dog : Occasional drizzle. Swell subsiding. First : 21 hours' drizzling rain."
	20			NW	5	29.45	47.7	45.2	"A.-Cu., A.-St."	"Cu., St.-Cu."	10	o.cr		NW	5	"W, SW"	7	45.9		
	24			NNW	6	29.39	48.0	46.8		"Cu., St.-Cu., N b."	10	c.d.r.		NW	6	Confused	7			
18	4			NNW	7	29.27	48.0	47.0		St.	10	o.c.q.r.		NW	7	NW	6			3 to 4 h. : Wind freshening.
	8			NNW	6	29.21	47.9			"St.-Cu.,"	10	o.c.4r.		NW SSW	"6, 6"	NW SSW	7	47.1		
	12	51 22	179 19 W	NNW	3	29.11	48.6			"Nb. St.-Cu., Nb."	10	o.c.4r.			3	NW Confused	7		453	"Noon : Lost overboard sea-water thermometer No. 8391. Sun shining through clouds. 17.40: Small portion of rainbow visible, colours in out, purple, green, yellow, red."
	16			NNW	4	29.05	48.8		A.-St.	"St.-Cu., Cu., Nb."	9	c.p.			3	SW NW Confused	7			
	20	51 59	178 48 W (20.45)	NW	2	28.99	47.6		"CL-St, A.-St."	"Cu., St.-Cu., Nb."	9	c.p.			3	SW and W Confused	7			
	24			WNW	4	28.97	46		A.-St.	"Nb., Cu., St.-Cu."	7	b.c.l.		W	4	Confused	6			23.30: Lightning flashes to the Eastward.
19	4			WSW	9-10	28.98	44			St.-Cu.	9	c.		SW	8	SW	6			"1.45: Wind changing from W to SW, freshening very rapidly."
	8			WSW	9	29.12	44.6			"Cu., St.-Cu."	6	b.c.		SW	6	SW Confused	8			
	12	52 55	177 40 W	WSW	8	29.22	45.0	42.5		"Cu., St.-Cu."	8	c.		SW	6	SW Confused	8		454	Afternoon : Large Sly swell making itself felt.
	16			SW	6	29.41	44.5	39.5	A.-Cu.	"Cu., St -Cu."	4	b.c.		SSW	6	S Confused	8			"1st Dog : Wind, sea, and swell decreasing rapidly."
	20			SSW		29.42	43.4	39.0		"Cu., St.-Cu."	10	o.c		SWly	5	S and SW Confused	"7, 8"			First : Some attempts at passing showers.
	24			S	2	29.29	42.2	37.8		"Cu., St.-Cu."	10	o.c.		SSW	6	SSW Confused	6-7			
20	4			SSE	4-5	29.19	43.0	38.0	Ci.-St.	"St.-Cu., Nb."	10	o.c.		SE	3	S	6			Bank of N b. in S and SW.
	8			SE	5	29.10	42.0	39.0		"Nb., St.-Cu."	10	o.c.		SE	4	SEly	6			
	12	53 47	176 45 W	SE	6	29.07	42.7	40.2		"Nb., St.-Cu."	10	o.c.2r.		SE	5	SE	6		430	
	16			SSE	7	29.04	43.1			"Nb., St.-Cu."	10	o .c .4r.		SE	6	SE	7			
	20			SSE	7	29.14	42.4			"Nb., St.-Cu."	10	o.c.p.		SEly	6	SE by S	7	44.9		
	24			SSE	7	29.21	41.0	40	"A.-St., A.-Cu."	"St.-Cu., Nb."	8-10	o.c.p.		SSE	6	SSE	7			23.45: Southern lights visible.
21	4			SSW	7	29.35	42			"St.-Cu., Nb."	10	o.c.p.q.		SSE	6	SSE	6			
	8	54 19	177 48 W (9 h.)	SSW	6	29.42	41.4	40.1		"St.-Cu., Nb.-Cu., Nb."	10	o.c.		Sly	0	Sly	6			Forenoon : Showers (moderate). 11 b. : Hail shower
	12	54 28	177 23 W	SSW	6	29.48	42.8	40.9		"St.-Cu., Nb. -Cu., Nb."	10	o.c.p.		Sly	6	Sly	6		455	
	16	54 36	176 47 W (15.35)	SSE	4	29.54	42.3	40.7		"St.-Cu., Nb. -Cu., Nb."	10	o.c.		Sly	6	Sly	6			
	20	54 38	176 24 W (21.45)	S	3	29.62	42.8	39.9		"St.-Cu., Nb. -Cu., Cu., Nb."	10	o.c.		Sly	4	Sly	6	44.0		
	24			SSW	3	29.66	41	37		"St.-Cu., Nb."	9	o.c.p.		Sly	4	Sly	6			
22	4			SSW	4-5	29.77	40.8	36.7		"St.-Cu., St."	9	o.c.		S	4	SSE	5			
	8			SSW	5	29.87	41.0	37.0	A.-Cu.	"Cu., St.-Cu., St."	4	b.c.		S	5	S by E	6			
	12	55 10	175 34 W	S	5	29.95	42.0	37.5	A.-Cu.	"Cu., St.-Cu., St."	6	b.c.		SbyE	5	S by E	6		403	
	16			SSW	5	30.01	45.2	38.8		Cu.	3	b.c.		SbyE	4	S by E	6			
	20	55 34	174 35 W (21 h.)	SSW	3-4	30.08	43.2	38.8		"Cu., Det. Cu."	4	b.c.		Sly	3	S by E	7	43.5		20.30 : Sky clouding over (St.-Cu.). 21.15 : Sky cleared. 21.30 : Calm
	24			WNW	2-3	30.05	42.0	38.2		St.-Cu.	2	b.c.p.		Wly	2	S and SE Confused	7			
23	4			NNW	5-6	30.03	42.8	40.2	"Ci., A.-Cu."	"Cu., St.-Cu., St."	8	c.		NW	4	SE	6			"3 to 3.30 : Remarkable sun-dog, red and white vertical, about 15° W of sun and same altitude (3° or 4°) ; lasted 20 minutes."
	8			NNW	5	29.90	44.4	41.8	A.-Cu.	"Cu., St.-Cu., St."	9	c.		NW	4	NW	6			"Later another rainbow-hued, 10° E and 6° altitude, in almost clear sky."
	12	56 46	173 11 W	NNW	6-7	29.71	43.2	41.1		"St.-Cu., St."	10	c.		NW	6	NW	7	43.0	430	
	16			NNW	9	29.46	41.0	40.0		"St.-Cu., Nb."	10	2 1/2 r.c.q.		NW	7	NW	8			
	20			NNW	8-9	29.26	43.1	42.4		Nb.	10	c.q.4r.		NW	7	NW	8			"20.30 : Rain ceased, wind backing to westward and easing."
	24			W	4-5	29.24	42.0	39.5		"St.-Cu., Nb."	8	o.p.c.q.		W by S	6	W by S NE Confused	8			"21.15: Wind W, force 6."
24	4			WNW	8	29.23	41.0	38.6		"St.-Cu., St."	10	o.c.		W	7	NW	7			0-4 h. : Wind unsteady in force.
	8	59 8	169 48 W (9.6)	W	8	29.20	39.0	37.0		"St.-Cu., St."	10	o.c.		WSW	7	WSW Confused	8			8-9 : Showers of sleet.
	12	59 28	169 33 W	WSW	8	29.16	40.0	38.4		"St.-Cu.,. Nb."	10	o.c.		SW	7	SW Confused	8			
	16			WSW	7-8	29.16	39.0	37.0		St.-Cu.	10	o.c.		SW	7	SW Confused	8			
	20			WSW	5	29.15	38.0	36		St.-Cu.	10	o.c.		SW	6	SW Confused	7			
	24			W	4-5	29.11	36.5	35.2		St.-Cu.	10	c.		SW	6	SW Confused	7			
25	4			W	6-7	29.04	36.0	35.0		St.	10	o.q.r.		WSW	6	SW	7			0-4 : Rain and sleet intermittently throughout watch.
	8			WSW	6	29.08	33.3	32.2		"St.-Cu., St."	10	o.c.		SW	5	SW	6-7	33.8		
	12	61 34	168 31 W	WSW	4-5	29.10	34.1	31.5	A.-Cu.	"St.-Cu., St."	8	o.c.		SW	5	SW	6	33.0	428	15.40 : Heavy snow shower lasting 20 minutes.
	16			WSW	4-5	29.10	31.0	29.5		"St.-Cu., St., Nb."	10	o.c.s.		SW	5	SW	6	32.4		Dogs : Light snow on and off all the watch.
	20	62 20	167 45 W (21 h.)	SW	2	29.07	32.9	32.5	A.-Cu.	"St.-Cu., St., Nb."	10	o.c.1/4s.		Sly	3	SWly	6			
	24			WSW	5	29.08	33.0			"St.-Cu., Nb."	10	o.c.s.		SWly	5	SWly	6			
26	4			WSW	5	29.12	32.5		A.-Cu.	St.	8	o.c.		SWIy	5	SWly	6			"0-4 : Low drifting scud, almost mist."
	8	63 16	166 40 W (7.24)	WSW	5	29.14	32.7			"St.-Cu., St."	10	o.c.		SW	5	SW S	"6, 6"	31.2		
	12	63 43	166 36 W	W	5	29.12	32.1	31.4		"St.-Cu., St."	10	o.c.		SW	5	SW S	"6, 6"	31.1	405	
	16			W	5	29.09	32.0	31.2		"St.-Cu., Nb."	10	o.3s.		SW	5	SWly S	"6, 6"	31.0		
	20	64 33	166 30 W	W	4	29.03	32.1	31.0	A.-Cu.	"St.-Cu., St."	9	o.c.		SW	4	SW	6			First : Occasional snow showers.
	24			W	5	29.03	31.1	30.0	A.-St.	"St.-Cu., St., Nb."	10	o.c.		SW	4-5	SW	6	30.8	380	Midnight : Colour of sea due to diatoms.
27	4	65 25	166 1 W (6 h.)	WSW	6	28.98	31.2	29.8		"St.-Cu., St."	10	o.c.q.		SW	5	SW	5			
	8			WSW	3	28.93	31.0	28.2	A.-Cu.	"St., St.-Cu."	8	o.c.		SWly	3	SWly S	"5, 5"	31.8		
	12	65 53	165 56 W	ENE	2-3	28.80				"St.-Cu., St"	10	o.c.		SWIy	3	SWly Confused	5	31.2	335	
	16			NNE	2-3	28.73	32.8	30.0		"St.-Cu., St."	10	o.c.			3	SWly Confused	6	31.0		
	20	66 30	166 8 W	SSE	2	28.82	31.8	28.9		"Cu.,
St.-Cu., St."	9	o.c.			3	SWly Confused	5			
	24			W	2-3	28.97	30.5	30.5		"St.-Cu., St"	10	o.c.		SW	2	SW	4			
28	4			NW	4	28.98	30.5	29.0		"St.-Cu., St."	10	o.c.		W	4	SW	3			
	8			N	4.5	28.88	30.3	30.3		"St.-Cu., St."	10	o.c.1/2s.		Wly	3	Wly Confused	4	30.4		Forenoon : Snow (moderate) off and on during watch.
	12	67 50	166 24 W	NW	4-5	28.75	31.0	30.5		"St.-Cu., St., Nb."	10	o.c.3s.		Wly	2	Wly Confused	4	30.3	340	Afternoon : Fog (moderate) all watch. Occasional light snow.
	16			NNW	3-4	28.66	31.2	31.0		St.	10	o.2s.f.		Wly	2	Wly Confused	4	30.4		First Dog : Fog increased in density (3-4) all watch.
