	"METEOROLOGICAL OBSERVATIONS, BY THE UNITED STATES EXPLORING EXPEDITION"														
	U.S. SHIP VINCENNES 														

Pg. 1															

															
YEAR	MONTH	DAY	HOUR	LAT	LONG	THERMOMETERS					WIND				
				North	West	Air	Water	Masthead	Barom	Hygrom	Direct	Force	 Clouds	Weather	Remarks
1838	8	20	100			76.0	76.0				Nd. & Ed.	2	 Cum. st.	b. c.	Steering to southward
			200			76.0	76.0								and eastward
			300			75.0	76.0		30.300						
			400			75.0	76.0								
			500			76.0	77.0								
			600			76.0	77.0								
			700			78.0	77.0								
			800			78.0	79.0					4			
			900			79.0	81.0		30.300						
			1000												
			1100											c.	
			1200	35 08	74 23	79.0	82.3								
			1300			81.0	83.0				N.E.by E.				
			1400			80.0	83.0								
			1500			80.0	83.0		30.300						
			1600			80.0	83.0				NE by E				
			1700			79.0	83.0							b.c.	
			1800			79.0	83.0					5			
			1900			78.0	83.0								
			2000			77.0	82.0								
			2100			76.0	81.0		30.310			4			
			2200			76.0	82.0				Nd.&Ed.				
			2300			76.0	81.0								
			2400			76.0	80.0								
			Mean.			77.5	80.2		30.302						
						77.5	80.2	#DIV/0!	30.303						
		21	100			76.0	80.0				E. N. E.	4	Cum.st.	c.	
			200			74.0	80.0				NE by E				
			300			73.0	80.0		30.310		N.E.				
			400			72.0	79.0					5			
			500			74.0	80.0				N.E.byE.				
			600			76.0	80.0								
			700			78.0	81.0				Nd.&Ed.				
			800			78.0	82.0								
			900			79.0	81.0	73.0	30.320	80° 58°					
			1000			79.0	81.0								
			1100			79.0	82.0							b.c.	
			1200	33 48	73 08	79.0	82.0								Steering to southward
			1300			77.0	82.0								and eastward
			1400			75.0	80.0								
			1500			76.0	80.0	70.0	30.320	81° 59°					
			1600			75.5	80.0								
			1700			75.0	80.0								
			1800									4			
			1900			74.0	79.0				E. 1/2 N.				
			2000			72.0	80.0				East.				
			2100			74.0	81.0		30.300	80°59°					
			2200			75.0	79.0				E. by N.				
			2300			74.0	79.0								
			2400			74.0	79.0								
			Mean.			75.6	80.3	71.5	30.312						
						75.6	80.3	71.50	30.313						
		22	100			74.0	79.0				E.by N.	4	Cum. St	b. c.	Steering to southward
			200			73.0	79.0								
			300			74.0	79.0		30.320	82°60°					
			400			74.0	79.0					5			
			500			74.0	79.0								
			600			75.0	79.0								
			700			75.0	79.0								
			800			77.0	79.0								Outer edge of Gulf
			900			78.0	79.0	77.0	30.310	83°70°	Nd. & Ed.				Stream.
			1000			80.0	79.0								
			1100			78.0	79.0								
			1200	32 52	72 08	78.0	79.0								
			1300								E. 1/2 N.	4			Quantities of Gulf weed
			1400			80.0	79.0								
			1500			79.0	81.0	75.0	30.310	82°60°	E. by N.				
			1600			80.0	81.0								
			1700			77.0	80.0				E. by S.				Steering to northward
			1800			77.0	80.0								
			1900			77.0	80.0								
			2000			77.0	80.0				Sd & Ed	3			
			2100			77.0	80.0		30.300	83°64°					
			2200			79.0	79.0								
			2300			77.0	77.0					2			
			2400			75.0	78.0					3			
			Mean.			76.7	79.3	76.0	30.310						
						76.7	79.3	76.00	30.310						
		23	100			74.0	78.0				Sd & Ed	2	 Clear.	b.	
			200			73.0	80.0								
			300			73.0	79.0	75.0	30.310	80° 57°					Relief parted company
			400			73.0	79.0								
			500			73.0	78.0								
			600			74.0	77.0				E. 1/2 N.				
			700			76.0	77.0					3			
			800			79.0	77.0				E. by S.	4			Current to the westward
			900			76.0	77.0	73.3	30.310	83°64°					
			1000			78.0	77.0								
			1100			78.0	77.0								
			1200	34 39	72 01	75.0	77.0				East.	3			
			1300			75.0	77.0				E. 1/2 N.	2			
			1400			76.0	77.0								
			1500			77.0	77.0	74.0	30.320	82°65°					
			1600			77.0	78.0					3		b. c.	
			1700			76.0	78.0								
			1800			74.0	76.0					2	Cumuli		
			1900			74.0	77.0								Steering north
			2000			74.0	78.0								
			2100			75.0	77.0	70.5	30.310	81°68°	East.				
			2200			74.0	77.0				E. 1/2 S.				
			2300			74.0	77.0				East.				
			2400			73.0	78.0								
			Mean.			75.0	77.5	73.2	30.312						
						75.0	77.5	73.20	30.313						
		24	100			73.0	78.0				East	3	Cumuli	b.c.	Steering north
			200			73.0	77.0								
			300			73.0	77.0		30.300	80° 67°					
			400			74.0	76.0								
			500			74.0	78.0						Cum st.		
			600			76.0	78.0								Many dolphins seen and caught
			700			79.0	79.0								
			800			79.0	79.0				Sd & Ed.				
			900			79.0	79.0	75.0	30.310	82°70°	.				
			1000			80.0	80.0								Gulf-weed and bamboo picked up
			1100			83.0	82.0								
			1200	36 08	71 24	83.5	83.5								
			1300			84.0	83.0								
			1400			83.0	83.0						Cumuli.		
			1500			82.0	84.0	84.0	30.310	82°64°					
			1600			82.0	84.0								
			1700			82.0	83.0								
			1800			80.0	83.0								
			1900												
			2000			76.0	83.0								NNE
			2100			77.0	82.0		30.310	81°69°					
			2200			78.0	82.0								
			2300			78.0	82.0								
			2400			79.0	82.0								
			Mean.			78.6	80.7	79.50	30.307						
						78.6	80.8	79.50	30.308						
		25	100			79.0	82.0				Sd & Ed.	3	Cum. st	c.	Steering E by N
			200			78.0	82.0								
			300			78.0	82.0	77.0	30.280	80°65°					
			400			78.0	83.0								
			500			78.0	83.0								
			600			79.0	83.0								Influenced by easterly
			700			79.0	83.0								currents
			800			80.0	83.0					4			
			900			80.5	82.0	78.0	30.200	83°74°					
			1000			81.0	81.0								
			1100			81.0	80.0								
			1200	36 43	69 34	80.5	80.0								
			1300			80.0	81.0							c.u.	
			1400			80.0	80.5							c.	
			1500			80.0	80.0	73.0	30.200	82°70°					
			1600			80.0	80.0								
			1700			80.0	80.0					5		c.q.	
			1800			79.0	80.5								
			1900			78.0	79.0								
			2000			77.0	79.0					6			
			2100			77.0	79.0		30.150	82°71°		5			
			2200			78.0	78.0								
			2300			78.0	78.0								
			2400			78.0	78.0								
			Mean.			79.0	80.7	76.0	30.208						
						79.0	80.7	76.00	30.208						
		26	100			77.0	77.0				S.Ed	5		c.q.p.	Course N.79° E.
			200			77.0	77.0					6			
			300			77.0	77.0	76.0	30.100	82° 72°					
			400			77.0	77.0					7		c.q.p.	
			500			76.0	77.0				Sd.				
			600			76.0	78.0								
			700			76.0	80.0				S. S. W.				Influence of easterly
			800			76.0	80.0								current
			900			79.0	82.0	74.0	29.890	83°75°		6			
			1000			79.0	82.0								
			1100			79.0	82.0						Nimbi.	c.	
